Frequency Spectrum for Input Signal

Data Shown:    J6 (Danley Sound Labs)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 130°

Freq [Hz]	Signal Level [dBSPL]
22.4	-138.9
23	-139.7
23.6	115.1
24	114.6
25	114.2
25.8	113.8
26.5	113.6
27.2	113.4
28	113.2
29	113.1
30	113
30.7	113
31.5	113
32.5	113
33.5	113
34.5	113.1
35.5	113.1
36.5	113.2
37.5	113.2
38.7	113.3
40	113.4
41.2	113.5
42.5	113.6
43.7	113.7
45	113.8
46.2	113.9
47.5	114
48.7	114
50	114.1
51.5	114.1
53	114.1
54.5	114.2
56	114.2
58	114.2
60	114.2
61.5	114.2
63	114.1
65	114.1
67	114.1
69	114
71	113.9
73	113.8
75	113.7
77.5	113.5
80	113.3
82.5	113.1
85	112.8
87.5	112.6
90	112.3
92.5	112
95	111.7
97.5	111.4
100	111.2
103	111.1
106	111
109	111.1
112	111.2
115	111.4
118	111.6
122	111.9
125	112.2
128	112.5
132	112.7
136	112.9
140	112.9
145	112.8
150	112.4
155	111.7
160	110.8
165	110.1
170	109.8
175	109.8
180	110
185	110.2
190	110.3
195	110.5
200	110.6
206	110.7
212	110.7
218	110.6
224	110.2
230	109.7
236	108.8
240	107.6
250	106.4
258	105.6
265	105.8
272	106.6
280	107.2
290	107
300	105.9
307	104.3
315	103.4
325	103.3
335	103.1
345	102.2
355	100.3
365	99.2
375	100.5
387	101.4
400	101.2
412	99.3
425	96
437	93.4
450	95
462	96.7
475	97.2
487	96.1
500	94.1
515	93.9
530	96.7
545	97.6
560	96.9
580	95.6
600	95.5
615	97
630	96.6
650	95.8
670	95.3
690	94.6
710	94.3
730	92.6
750	91.4
775	92.3
800	91.5
825	92.8
850	93.6
875	93.3
900	93.9
925	94.2
950	92.3
975	89.8
1000	88.1
1030	86.8
1060	90
1090	90.6
1120	92.8
1150	93.6
1180	94.2
1220	94.9
1250	94.7
1280	92.4
1320	91.2
1360	90.9
1400	89.5
1450	90.3
1500	90.4
1550	90.2
1600	88.2
1650	87.6
1700	86.9
1750	85.6
1800	85.1
1850	84.3
1900	84.6
1950	89.7
2000	90.2
2060	90
2120	88.4
2180	89.3
2240	88.5
2300	88.6
2360	87.9
2400	85.9
2500	85.1
2580	84.4
2650	85.3
2720	86.4
2800	85.7
2900	86.4
3000	86.2
3070	85.2
3150	85.7
3250	84.2
3350	84.9
3450	86.3
3550	84.4
3650	85.6
3750	89
3870	86.8
4000	88.7
4120	87
4250	86.8
4370	86.1
4500	85.4
4620	82.9
4750	85.8
4870	86.5
5000	79
5150	79.2
5300	86.3
5450	84.9
5600	80.2
5800	80.4
6000	83.2
6150	80
6300	80.9
6500	80
6700	80.5
6900	80.1
7100	77
7300	85.1
7500	82
7750	80.2
8000	85.9
8250	75.5
8500	70.1
8750	75.1
9000	74.6
9250	79
9500	81.1
9750	75.2
10000	78.8
10300	74
10600	74
10900	76.1
11200	79.5
11500	79.3
11800	78.3
12200	78.6
12500	81.6
12800	84.8
13200	84.7
13600	76.2
14000	73.4
14500	72.4
15000	63
15500	65.4
16000	70.2
16500	73.8
17000	73
17500	70.3
18000	71.9
18500	72.9
19000	67.7
19500	66
20000	56.5
20600	52.3
21200	55
21800	57.5
22400	55
