Frequency Spectrum for Input Signal

Data Shown:    SH50 Ver4 (Danley Sound Labs)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 180°  

Freq [Hz]	Signal Level [dBSPL]
22.4	63.5
23	64.5
23.6	65.6
24	66.6
25	67.6
25.8	68.5
26.5	69.5
27.2	70.4
28	71.3
29	72.1
30	73
30.7	73.8
31.5	74.6
32.5	75.4
33.5	76.2
34.5	77
35.5	77.7
36.5	78.5
37.5	79.2
38.7	80
40	80.8
41.2	81.5
42.5	82.2
43.7	83
45	83.7
46.2	84.4
47.5	85.1
48.7	85.9
50	86.6
51.5	87.2
53	87.9
54.5	88.6
56	89.2
58	89.8
60	90.3
61.5	90.9
63	91.4
65	91.9
67	92.4
69	92.8
71	93.2
73	93.6
75	93.9
77.5	94.2
80	94.4
82.5	94.6
85	94.8
87.5	94.8
90	94.8
92.5	94.7
95	94.5
97.5	94.2
100	93.8
103	93.3
106	92.6
109	91.8
112	90.8
115	89.8
118	88.7
122	87.7
125	87.1
128	86.9
132	87.2
136	87.8
140	88.6
145	89.3
150	89.8
155	90.2
160	90.3
165	90.4
170	90.3
175	90.2
180	90.4
185	90.9
190	91.7
195	92.6
200	93.2
206	93.5
212	93.3
218	92.6
224	91.4
230	90.1
236	89.8
240	90.3
250	90.7
258	90.2
265	89
272	88.1
280	88.3
290	88.7
300	88.4
307	87
315	85.2
325	83.8
335	83.5
345	83.4
355	82.6
365	81.8
375	81.9
387	82.3
400	81.7
412	79.7
425	77.7
437	78.3
450	79.3
462	79
475	77.7
487	76.9
500	77.9
515	79.4
530	79.1
545	79.3
560	79.8
580	78.3
600	77
615	75.4
630	75.8
650	77.7
670	76.5
690	76.7
710	76.9
730	74.8
750	72.9
775	73.7
800	73.4
825	71.6
850	71.2
875	70.9
900	66.2
925	70.2
950	71.8
975	73
1000	75.5
1030	79.2
1060	79
1090	77.6
1120	76.9
1150	76.8
1180	76
1220	76.8
1250	76.9
1280	75.5
1320	72.4
1360	71.5
1400	74.2
1450	75.7
1500	75.7
1550	76
1600	74.8
1650	71.3
1700	70
1750	68.2
1800	68.6
1850	67.6
1900	69.9
1950	68.5
2000	67.6
2060	64.9
2120	64.1
2180	59.8
2240	61.8
2300	62.4
2360	61.4
2400	60.8
2500	60.4
2580	56
2650	56.4
2720	60.1
2800	57.2
2900	55.9
3000	62.6
3070	61.1
3150	61.8
3250	60.7
3350	60.3
3450	64.5
3550	66.5
3650	62.1
3750	59.1
3870	60.1
4000	57.6
4120	57.5
4250	61.5
4370	60.7
4500	58.9
4620	61.2
4750	60.2
4870	61.1
5000	59.3
5150	61.1
5300	60.1
5450	60.7
5600	57.6
5800	56.9
6000	58.4
6150	55.1
6300	56.4
6500	57.3
6700	57.3
6900	58.2
7100	59.3
7300	60.7
7500	58.6
7750	60.6
8000	56.7
8250	59.8
8500	57.2
8750	55.9
9000	56
9250	54.1
9500	55.1
9750	51.7
10000	52.3
10300	51
10600	54.5
10900	52.6
11200	53.4
11500	53.4
11800	53.8
12200	51.2
12500	53.4
12800	49.7
13200	54.5
13600	51.4
14000	52.2
14500	50
15000	47.1
15500	51.5
16000	52.2
16500	47.1
17000	48.4
17500	46.2
18000	44.8
18500	40.2
19000	35.3
19500	32
20000	30.9
20600	27.9
21200	28
21800	24.4
22400	24
