Frequency Spectrum for Input Signal

Data Shown:    SH60ver4 (Danley Sound Labs)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 40°  

Freq [Hz]	Signal Level [dBSPL]
22.4	54.4
23	56.6
23.6	57.3
24	58.2
25	59.8
25.8	61.3
26.5	62.5
27.2	64.1
28	65.5
29	66.8
30	68.3
30.7	69.7
31.5	70.8
32.5	72.1
33.5	73.5
34.5	74.7
35.5	76
36.5	77.2
37.5	78.2
38.7	79.3
40	80.5
41.2	81.8
42.5	83
43.7	84.2
45	85.4
46.2	86.6
47.5	87.8
48.7	89.1
50	90.3
51.5	91.4
53	92.4
54.5	93.3
56	93.9
58	94.4
60	94.8
61.5	95
63	95.5
65	96.1
67	96.5
69	96.7
71	97
73	97.5
75	98.1
77.5	98.8
80	99.2
82.5	99.4
85	99.5
87.5	99.4
90	99.6
92.5	99.8
95	99.9
97.5	100
100	100.1
103	99.5
106	99.2
109	99.1
112	99.3
115	99.1
118	98.4
122	98.3
125	98.7
128	98.2
132	97
136	96.7
140	96.6
145	96.1
150	95.4
155	95.3
160	95.1
165	95
170	94.6
175	95.2
180	96.4
185	96
190	95.1
195	96.5
200	97.3
206	95.2
212	94.7
218	96.6
224	97.4
230	97.2
236	97
240	97.5
250	97.6
258	97.6
265	97.6
272	97.3
280	96.8
290	96.2
300	95.6
307	95.2
315	94.8
325	94.5
335	94.3
345	94.1
355	94.1
365	94
375	93.6
387	93.2
400	93
412	93.2
425	93.3
437	93.1
450	92.9
462	92.6
475	92.5
487	92.5
500	92.5
515	92.5
530	92.4
545	92.4
560	92.2
580	91.7
600	91.9
615	92.4
630	93
650	93.4
670	93.8
690	94.2
710	94.3
730	93.9
750	93.3
775	92.7
800	92.6
825	93.1
850	93.1
875	92.8
900	92.2
925	91
950	91.1
975	91.7
1000	92.6
1030	93.2
1060	91.9
1090	91.4
1120	91.4
1150	91.2
1180	90.5
1220	87.8
1250	87.7
1280	88.4
1320	87.7
1360	86.3
1400	85.9
1450	86.2
1500	86.4
1550	86.8
1600	87.8
1650	87.2
1700	87.9
1750	88.2
1800	89
1850	89.3
1900	89.9
1950	91.4
2000	90.8
2060	90.9
2120	90.7
2180	90.3
2240	91.4
2300	92.2
2360	90.9
2400	90.1
2500	89.2
2580	90.3
2650	89.2
2720	90.2
2800	90.6
2900	90.8
3000	90.8
3070	90.9
3150	91.9
3250	93.1
3350	93
3450	92.8
3550	94.4
3650	94.4
3750	93.9
3870	94.6
4000	93.2
4120	93.2
4250	93.3
4370	93.4
4500	90.9
4620	91.5
4750	91.2
4870	90.6
5000	91.3
5150	91.8
5300	91.6
5450	91.6
5600	91.1
5800	90.3
6000	88.2
6150	88
6300	86.2
6500	83.2
6700	82.6
6900	83.2
7100	86.3
7300	87.8
7500	86.4
7750	86.2
8000	85.5
8250	83.8
8500	80.5
8750	81.6
9000	83.2
9250	86.3
9500	89
9750	90.7
10000	91.4
10300	91.3
10600	90
10900	88
11200	87.1
11500	87
11800	86.1
12200	85.7
12500	84.5
12800	84.1
13200	84.7
13600	85.1
14000	83.1
14500	84
15000	87.2
15500	81.8
16000	84.1
16500	83.5
17000	82.7
17500	83
18000	81.4
18500	79
19000	74.4
19500	70.1
20000	69.2
20600	68.2
21200	63.9
21800	60.1
22400	57
