Frequency Spectrum for Input Signal

Data Shown:    SM60M ver4 (Danley Sound Labs)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 70°  

Freq [Hz]	Signal Level [dBSPL]
22.4	11.6
23	12.8
23.6	14.2
24	15.5
25	16.8
25.8	18
26.5	19.1
27.2	20.2
28	21.2
29	22.3
30	23.2
30.7	24
31.5	24.1
32.5	23.9
33.5	23.6
34.5	23.1
35.5	22.7
36.5	22.5
37.5	23.3
38.7	25.1
40	27.2
41.2	29.2
42.5	30.9
43.7	32.2
45	33.3
46.2	34.3
47.5	35.1
48.7	35.8
50	36.6
51.5	37.2
53	37.9
54.5	38.6
56	39.3
58	39.9
60	40.6
61.5	41.2
63	41.9
65	42.6
67	43.3
69	44.1
71	44.9
73	45.7
75	46.5
77.5	47.3
80	48.1
82.5	48.8
85	49.5
87.5	50.2
90	50.9
92.5	51.6
95	52.3
97.5	53
100	53.8
103	54.7
106	55.8
109	57
112	58.5
115	60.3
118	62.1
122	64
125	65.8
128	67.4
132	69
136	70.4
140	71.8
145	73.1
150	74.2
155	75
160	75.4
165	75.6
170	76.4
175	77.7
180	79.1
185	80.2
190	81
195	81.5
200	81.8
206	82
212	82.3
218	83.1
224	84.4
230	85.6
236	86.6
240	86.7
250	85.8
258	85.8
265	87.8
272	88.8
280	88.6
290	87.7
300	86.9
307	86.6
315	87.8
325	89.1
335	89
345	88.2
355	88.2
365	88.4
375	88
387	87.2
400	86.7
412	86.8
425	86.8
437	85.6
450	84.9
462	85.6
475	86.4
487	86.9
500	87.4
515	86.9
530	85.6
545	85.9
560	85.8
580	84.9
600	83.5
615	84.1
630	84.6
650	84.9
670	85
690	86.1
710	85.8
730	85
750	85.3
775	84.8
800	84.3
825	82.6
850	84.6
875	83.7
900	85.1
925	82.9
950	81.7
975	81.2
1000	81.8
1030	82.2
1060	84.6
1090	85.8
1120	85.3
1150	83.9
1180	80.4
1220	79.6
1250	78.7
1280	79.4
1320	80.5
1360	80.2
1400	79.5
1450	78.7
1500	78.4
1550	78.1
1600	78.6
1650	77.8
1700	78.4
1750	78.7
1800	80.3
1850	80.9
1900	81.4
1950	81.3
2000	81.4
2060	80.5
2120	80.2
2180	81.2
2240	79.9
2300	79.9
2360	81.1
2400	81.3
2500	79.9
2580	78.9
2650	77
2720	75.4
2800	72.4
2900	73
3000	76.3
3070	79.7
3150	82.8
3250	83.4
3350	81.6
3450	80.7
3550	79.4
3650	77.9
3750	77.4
3870	77.6
4000	76.6
4120	77
4250	77.8
4370	79.4
4500	80.6
4620	80.7
4750	79.7
4870	77
5000	77.9
5150	78.9
5300	79.4
5450	81.2
5600	77.6
5800	73.8
6000	78.1
6150	79.7
6300	77.1
6500	78.8
6700	78
6900	75.9
7100	79
7300	79.3
7500	81.4
7750	83
8000	75.2
8250	81.4
8500	80.5
8750	75.5
9000	71.8
9250	77.4
9500	78.9
9750	74.8
10000	76.8
10300	76
10600	76.2
10900	73.2
11200	74
11500	71.7
11800	69.2
12200	76.2
12500	73.2
12800	70
13200	73.6
13600	72.7
14000	69.9
14500	73.9
15000	71.8
15500	75.6
16000	68.8
16500	73.4
17000	69.5
17500	70.1
18000	64.8
18500	70.5
19000	70.7
19500	71.6
20000	64.1
20600	61.7
21200	63.1
21800	60
22400	62.9
