Frequency Spectrum for Input Signal

Data Shown:    SM80ver4 (Danley Sound Labs)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 140°

Freq [Hz]	Signal Level [dBSPL]
22.4	59.7
23	60.6
23.6	61.5
24	62.3
25	63.1
25.8	63.9
26.5	64.7
27.2	65.4
28	66.1
29	66.7
30	67.4
30.7	68
31.5	68.7
32.5	69.2
33.5	69.6
34.5	70
35.5	70.4
36.5	70.8
37.5	71.2
38.7	71.6
40	71.9
41.2	72.3
42.5	72.6
43.7	72.9
45	73.3
46.2	73.6
47.5	73.9
48.7	74.3
50	74.7
51.5	75.2
53	75.6
54.5	76.2
56	76.7
58	77.2
60	77.6
61.5	78
63	78.3
65	78.6
67	78.9
69	79.3
71	79.8
73	80.3
75	80.9
77.5	81.6
80	82.4
82.5	83.3
85	84
87.5	84.5
90	85
92.5	85.4
95	86.1
97.5	86.7
100	87.3
103	88
106	88.8
109	89.3
112	89.6
115	89.8
118	89.8
122	89.9
125	90.1
128	90.7
132	91.5
136	92.4
140	93.3
145	94
150	94.3
155	94.2
160	94
165	93.6
170	93.2
175	92.9
180	92.8
185	92.9
190	93.1
195	93.4
200	93.6
206	93.5
212	92.9
218	91.7
224	90.2
230	89.9
236	90.6
240	91.1
250	90.8
258	89.7
265	88.3
272	87.2
280	86.2
290	85
300	83.5
307	80.9
315	77
325	75.7
335	77.5
345	78.8
355	80.1
365	80.6
375	79.6
387	78.6
400	79.7
412	80.9
425	79.5
437	73.8
450	70.1
462	75.1
475	78.4
487	81.4
500	82.1
515	80.6
530	81.5
545	82.9
560	82.9
580	83.1
600	83.5
615	83.7
630	83.8
650	84
670	83.8
690	83.1
710	81.8
730	80.8
750	76.1
775	77.5
800	78
825	78.2
850	76.8
875	70.6
900	72.1
925	69.1
950	71.8
975	72.9
1000	77.2
1030	79.2
1060	78.6
1090	77.9
1120	76.7
1150	77.7
1180	75.3
1220	74
1250	73
1280	71.6
1320	70.2
1360	72.5
1400	70.8
1450	71
1500	74.7
1550	74.9
1600	74.5
1650	75.7
1700	77.7
1750	77.3
1800	75
1850	76.5
1900	79.1
1950	76.6
2000	69.6
2060	76.5
2120	78.4
2180	77.1
2240	77.6
2300	77.3
2360	75.2
2400	77.6
2500	77.9
2580	75.9
2650	74.9
2720	71
2800	74.9
2900	74.4
3000	77.4
3070	75.2
3150	74.7
3250	73.3
3350	68.3
3450	68.1
3550	69.8
3650	69.3
3750	66.9
3870	64.4
4000	68.5
4120	67
4250	66.3
4370	64.7
4500	65.8
4620	69.6
4750	68.3
4870	66.8
5000	63.8
5150	64.6
5300	67
5450	66.7
5600	61.8
5800	61.1
6000	64
6150	61.2
6300	56.6
6500	57
6700	62.1
6900	62.3
7100	66.3
7300	62
7500	64.3
7750	64.3
8000	61.8
8250	58.2
8500	60.4
8750	61.2
9000	60.5
9250	58.5
9500	62.6
9750	63.1
10000	59.9
10300	60.7
10600	60.2
10900	59.9
11200	60.5
11500	56
11800	58.9
12200	58.8
12500	59.4
12800	61.4
13200	56.9
13600	54.4
14000	54.7
14500	62.3
15000	62.8
15500	60.8
16000	59.1
16500	52.9
17000	52.5
17500	53.8
18000	54.7
18500	53.1
19000	54.2
19500	56.2
20000	55.7
20600	56.1
21200	55.4
21800	55.7
22400	58.2
