Frequency Spectrum for Input Signal

Data Shown:    SM80ver4 (Danley Sound Labs)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 20°  

Freq [Hz]	Signal Level [dBSPL]
22.4	59.1
23	60
23.6	61
24	61.9
25	62.7
25.8	63.6
26.5	64.3
27.2	65.1
28	65.8
29	66.5
30	67.1
30.7	67.8
31.5	68.5
32.5	69.1
33.5	69.4
34.5	69.9
35.5	70.3
36.5	70.7
37.5	71
38.7	71.4
40	71.7
41.2	72
42.5	72.2
43.7	72.5
45	72.8
46.2	73.1
47.5	73.3
48.7	73.6
50	74
51.5	74.4
53	74.8
54.5	75.2
56	75.8
58	76.2
60	76.6
61.5	76.9
63	77.3
65	77.6
67	78
69	78.4
71	79
73	79.6
75	80.3
77.5	81.1
80	82
82.5	82.9
85	83.7
87.5	84.2
90	84.8
92.5	85.3
95	85.9
97.5	86.6
100	87.4
103	88.2
106	89.1
109	89.9
112	90.4
115	90.8
118	91
122	91.1
125	91.3
128	91.7
132	92.4
136	93
140	93.6
145	94.2
150	94.5
155	94.6
160	95
165	95.4
170	96
175	96.6
180	97
185	97.2
190	97.4
195	97.4
200	97.3
206	97.2
212	97.2
218	97.2
224	97.2
230	97
236	96.7
240	96.4
250	96.1
258	95.9
265	95.8
272	95.5
280	94.8
290	94
300	93.1
307	92.5
315	92.2
325	92.1
335	92.1
345	92.2
355	92.7
365	93.4
375	94.2
387	94.9
400	95.5
412	95.9
425	96.2
437	96.7
450	97.2
462	97.5
475	97.6
487	97.5
500	97.1
515	96.7
530	96.6
545	96.9
560	97.2
580	97.5
600	97.8
615	97.9
630	98
650	97.8
670	97.7
690	97.5
710	97.2
730	97
750	96.7
775	96.4
800	96
825	96
850	96.2
875	96.3
900	96.4
925	96.4
950	96.5
975	96.9
1000	98
1030	99.1
1060	99.6
1090	99.4
1120	98.9
1150	98.2
1180	97.6
1220	96.7
1250	95.6
1280	95.4
1320	95.5
1360	95.6
1400	96.3
1450	96.9
1500	97
1550	98
1600	98.6
1650	99
1700	98.8
1750	99.2
1800	100.1
1850	99.9
1900	99.1
1950	99.3
2000	100.4
2060	101.4
2120	101.7
2180	100.5
2240	99.3
2300	98.9
2360	99
2400	100.4
2500	101
2580	99.1
2650	98.3
2720	99.2
2800	100.1
2900	100.2
3000	100.1
3070	98.5
3150	98.4
3250	98
3350	97.6
3450	97
3550	96.7
3650	96.2
3750	95.8
3870	94.8
4000	94
4120	92.7
4250	91.3
4370	88.9
4500	85.7
4620	89.4
4750	93.1
4870	94.4
5000	93.8
5150	93.1
5300	93.1
5450	93.9
5600	95.2
5800	95.7
6000	97
6150	96.9
6300	95.8
6500	96.1
6700	93.3
6900	95.5
7100	97.6
7300	97.2
7500	98.8
7750	97.1
8000	97.3
8250	97.8
8500	97.2
8750	92.8
9000	93.4
9250	94.9
9500	93.1
9750	92.6
10000	93
10300	95
10600	94.5
10900	93.6
11200	95.7
11500	92.7
11800	94
12200	93.9
12500	94.2
12800	94.3
13200	92.3
13600	91.6
14000	83.1
14500	91.4
15000	89.7
15500	89.9
16000	89.9
16500	88.5
17000	83.4
17500	92.2
18000	90.4
18500	86.3
19000	76.6
19500	77.3
20000	76.2
20600	74.2
21200	67.5
21800	63.4
22400	67
