Frequency Spectrum for Input Signal

Data Shown:    SM80Fver4 (Danley Sound Labs)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 70°  

Freq [Hz]	Signal Level [dBSPL]
22.4	110.8
23	111.1
23.6	111.4
24	111.6
25	111.9
25.8	112.1
26.5	112.3
27.2	112.4
28	112.6
29	112.8
30	112.9
30.7	113
31.5	113.1
32.5	113.2
33.5	113.2
34.5	113.3
35.5	113.3
36.5	113.4
37.5	113.4
38.7	113.4
40	113.3
41.2	113.3
42.5	113.2
43.7	113.2
45	113.1
46.2	113
47.5	112.9
48.7	112.7
50	112.6
51.5	112.4
53	112.3
54.5	112.1
56	111.9
58	111.7
60	111.5
61.5	111.4
63	111.1
65	110.9
67	110.7
69	110.5
71	110.3
73	110.2
75	110
77.5	109.9
80	109.7
82.5	109.6
85	109.5
87.5	109.4
90	109.3
92.5	109.2
95	109.1
97.5	109
100	108.8
103	108.6
106	108.4
109	108.2
112	107.9
115	107.6
118	107.2
122	106.8
125	106.3
128	105.8
132	105.2
136	104.6
140	104
145	103.3
150	102.6
155	101.8
160	101.1
165	100.4
170	99.7
175	99.1
180	98.5
185	98
190	97.6
195	97.3
200	97
206	96.8
212	96.7
218	96.6
224	96.7
230	96.7
236	96.8
240	96.9
250	97
258	97
265	97
272	96.9
280	96.9
290	96.9
300	96.9
307	97
315	97
325	96.9
335	96.8
345	96.7
355	96.4
365	96
375	95.5
387	95
400	94.4
412	93.8
425	93.3
437	92.8
450	92.4
462	92
475	91.5
487	90.8
500	90.2
515	89.8
530	89.3
545	88.5
560	87.2
580	86
600	85.8
615	86.1
630	86
650	85.3
670	84.8
690	84.6
710	84.1
730	83.4
750	82.6
775	81.9
800	82.5
825	83.6
850	83.8
875	84
900	84.7
925	83.8
950	82.1
975	81.6
1000	81.8
1030	82.2
1060	79.8
1090	79.4
1120	87.4
1150	94.3
1180	98
1220	91.6
1250	87.7
1280	81.5
1320	76
1360	78.4
1400	83.2
1450	88.3
1500	88.6
1550	87.7
1600	89.2
1650	88.3
1700	84.3
1750	80.4
1800	79.7
1850	81
1900	84.3
1950	88.3
2000	90.4
2060	90.3
2120	90.7
2180	90.3
2240	91.8
2300	93.3
2360	92.9
2400	89.5
2500	89.3
2580	89.8
2650	90.2
2720	91.2
2800	89.4
2900	91.9
3000	100.2
3070	93.6
3150	82
3250	79.8
3350	72.7
3450	70.7
3550	79.3
3650	82.7
3750	84.1
3870	84.5
4000	82.2
4120	76.6
4250	79.2
4370	78
4500	80.2
4620	86
4750	87.5
4870	87.5
5000	86.7
5150	80.3
5300	77.5
5450	81.6
5600	81.6
5800	83.3
6000	80.9
6150	84.2
6300	84.4
6500	83
6700	78
6900	75.1
7100	82
7300	85.2
7500	76.9
7750	74.4
8000	77.2
8250	80.8
8500	77.4
8750	78.6
9000	78.6
9250	73.8
9500	79.4
9750	86.5
10000	84
10300	79.5
10600	86.6
10900	81.8
11200	81.2
11500	76.7
11800	77.2
12200	86.4
12500	80.9
12800	83.1
13200	77
13600	77.4
14000	76.3
14500	80
15000	78.2
15500	86.9
16000	87.6
16500	75.4
17000	78.3
17500	80.4
18000	73.3
18500	73.4
19000	78.2
19500	83
20000	74.6
20600	82.3
21200	91.5
21800	74.4
22400	80.7
