"Vertical Reflections"
"Floor Reflection"		"Ceiling Reflection"		"Total Vertical Reflection"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	57.225	20.5078	49.4251	20.5078	54.8815
21.9727	58.3764	21.9727	50.7385	21.9727	56.0564
23.4375	59.1861	23.4375	53.5607	23.4375	57.2269
24.9023	59.9767	24.9023	55.3039	24.9023	58.2406
26.3672	61.2092	26.3672	57.4143	26.3672	59.7137
27.832	61.6332	27.832	59.4472	27.832	60.6763
29.2969	62.8311	29.2969	60.876	29.2969	61.9626
30.7617	63.759	30.7617	62.8994	30.7617	63.3504
32.2266	63.9884	32.2266	64.3551	32.2266	64.1756
33.6914	65.4885	33.6914	67.274	33.6914	66.4723
35.1563	67.6915	35.1563	68.6966	35.1563	68.2231
36.6211	68.9384	36.6211	70.049	36.6211	69.5292
38.0859	69.7415	38.0859	71.1393	38.0859	70.4964
39.5508	70.1888	39.5508	72.1812	39.5508	71.2983
41.0156	73.2776	41.0156	75.0367	41.0156	74.2456
42.4805	74.7248	42.4805	75.2405	42.4805	74.9903
43.9453	74.9689	43.9453	75.4551	43.9453	75.2188
45.4102	74.9617	45.4102	76.3286	45.4102	75.6987
46.875	76.8206	46.875	78.4316	46.875	77.7004
48.3398	78.2133	48.3398	79.3597	48.3398	78.8242
51.2695	79.6722	51.2695	80.7264	51.2695	80.2312
52.7344	80.4893	52.7344	81.4132	52.7344	80.9758
54.1992	81.2191	54.1992	82.069	54.1992	81.6648
55.6641	82.0899	55.6641	82.7872	55.6641	82.4525
58.5938	82.5879	58.5938	83.3598	58.5938	82.991
60.0586	83.4364	60.0586	84.2308	60.0586	83.8518
62.9883	84.62	62.9883	85.1404	62.9883	84.888
64.4531	84.8105	64.4531	85.232	64.4531	85.0264
67.3828	85.0796	67.3828	85.4734	67.3828	85.2809
68.8477	85.3362	68.8477	85.7372	68.8477	85.5414
71.7773	85.8646	71.7773	86.1919	71.7773	86.0313
74.707	86.5332	74.707	86.799	74.707	86.6682
77.6367	87.0701	77.6367	87.2357	77.6367	87.1537
79.1016	87.0976	79.1016	87.2224	79.1016	87.1605
82.0313	87.245	82.0313	87.3837	82.0313	87.3149
84.9609	87.5901	84.9609	87.6668	84.9609	87.6286
87.8906	87.6855	87.8906	87.7135	87.8906	87.6995
90.8203	87.738	90.8203	87.7385	90.8203	87.7382
95.2148	87.8315	95.2148	87.7759	95.2148	87.8038
98.1445	87.8679	98.1445	87.7603	98.1445	87.8144
101.074	87.8749	101.074	87.7436	101.074	87.8098
105.469	87.8708	105.469	87.7197	105.469	87.7959
108.398	87.9373	108.398	87.7726	108.398	87.8557
112.793	88.0213	112.793	87.7893	112.793	87.9068
117.188	88.0912	117.188	87.8064	117.188	87.9512
120.117	88.1233	120.117	87.8236	120.117	87.976
124.512	88.1381	124.512	87.7737	124.512	87.9597
128.906	88.0632	128.906	87.6493	128.906	87.8612
133.301	87.9665	133.301	87.5132	133.301	87.7458
139.16	87.8353	139.16	87.3066	139.16	87.579
143.555	87.7445	143.555	87.1557	143.555	87.4601
147.949	87.6731	147.949	87.0309	147.949	87.3639
153.809	87.5455	153.809	86.8667	153.809	87.2194
159.668	87.5799	159.668	86.7794	159.668	87.198
165.527	87.6711	165.527	86.9222	165.527	87.3128
171.387	87.5254	171.387	86.823	171.387	87.1884
177.246	87.3502	177.246	86.603	177.246	86.9926
183.105	87.1184	183.105	86.2592	183.105	86.71
188.965	87.0421	188.965	86.1791	188.965	86.632
196.289	86.9833	196.289	86.1107	196.289	86.5689
203.613	86.8272	203.613	86.0126	203.613	86.439
210.938	86.7711	210.938	85.7552	210.938	86.2928
218.262	86.569	218.262	85.5405	218.262	86.0851
225.586	86.5087	225.586	85.379	225.586	85.9805
232.91	86.8121	232.91	85.67	232.91	86.2785
241.699	86.5946	241.699	85.4162	241.699	86.0452
250.488	86.5447	250.488	85.0689	250.488	85.8691
259.277	86.7829	259.277	85.4004	259.277	86.1464
268.066	86.2535	268.066	84.828	268.066	85.599
276.855	86.3834	276.855	84.7934	276.855	85.6608
287.109	86.303	287.109	84.9729	287.109	85.6887
297.363	86.0952	297.363	84.8847	297.363	85.532
307.617	86.1636	307.617	84.9571	307.617	85.6021
319.336	85.7553	319.336	84.6136	319.336	85.2219
329.59	85.9415	329.59	84.4204	329.59	85.2472
341.309	85.5476	341.309	84.0462	341.309	84.8615
353.027	85.4795	353.027	83.4894	353.027	84.5975
366.211	85.3789	366.211	83.5931	366.211	84.5771
379.395	85.5636	379.395	83.7092	379.395	84.7346
392.578	85.4506	392.578	82.8257	392.578	84.3335
405.762	85.566	405.762	83.2028	405.762	84.5432
420.41	85.9486	420.41	82.7269	420.41	84.6299
435.059	86.1409	435.059	83.0117	435.059	84.8522
451.172	85.7133	451.172	84.2445	451.172	85.0407
465.82	85.0807	465.82	84.2986	465.82	84.7072
483.398	84.4986	483.398	84.0266	483.398	84.269
499.512	84.1325	499.512	83.9154	499.512	84.0253
517.09	83.4786	517.09	84.1831	517.09	83.8451
536.133	83.6567	536.133	83.447	536.133	83.5531
555.176	85.8084	555.176	81.2625	555.176	84.105
574.219	85.403	574.219	80.7416	574.219	83.6698
594.727	87.8386	594.727	82.2893	594.727	85.8959
615.234	89.6814	615.234	84.5219	615.234	87.8266
637.207	88.7644	637.207	84.3168	637.207	87.0867
659.18	87.9357	659.18	83.6035	659.18	86.2888
682.617	86.9835	682.617	82.7341	682.617	85.359
707.52	86.0533	707.52	82.1063	707.52	84.5136
732.422	84.3414	732.422	81.7076	732.422	83.2212
757.324	84.2031	757.324	82.8178	757.324	83.5654
785.156	85.7467	785.156	84.1948	785.156	85.0397
811.523	84.6549	811.523	83.156	811.523	83.9698
840.82	84.5011	840.82	83.2055	840.82	83.9014
870.117	83.8086	870.117	82.2401	870.117	83.0948
900.879	83.7041	900.879	82.5901	900.879	83.1827
933.105	83.3989	933.105	81.9917	933.105	82.7521
965.332	83.4192	965.332	81.9146	965.332	82.7317
1,000.49	83.5893	1,000.49	81.0418	1,000.49	82.4997
1,035.64	83.1991	1,035.64	80.9008	1,035.64	82.2002
1,072.27	83.3849	1,072.27	80.1187	1,072.27	82.0519
1,108.89	83.2221	1,108.89	79.9997	1,108.89	81.9032
1,148.44	84.3295	1,148.44	81.7695	1,148.44	83.2355
1,189.45	85.035	1,189.45	82.5697	1,189.45	83.9749
1,230.47	84.783	1,230.47	82.0626	1,230.47	83.6324
1,274.41	84.3612	1,274.41	81.3351	1,274.41	83.1065
1,319.82	84.1531	1,319.82	80.7324	1,319.82	82.7712
1,366.7	83.6457	1,366.7	80.5129	1,366.7	82.3559
1,413.57	82.8593	1,413.57	80.1621	1,413.57	81.7168
1,463.38	82.1383	1,463.38	79.1414	1,463.38	80.8934
1,516.11	82.0137	1,516.11	78.4782	1,516.11	80.5962
1,568.85	82.0752	1,568.85	76.2676	1,568.85	80.0774
1,624.51	81.6023	1,624.51	75.639	1,624.51	79.5726
1,681.64	80.9907	1,681.64	76.037	1,681.64	79.1849
1,741.7	81.0128	1,741.7	75.6008	1,741.7	79.1003
1,803.22	81.0117	1,803.22	74.6635	1,803.22	78.9069
1,866.21	80.3242	1,866.21	73.8702	1,866.21	78.1997
1,932.13	80.2752	1,932.13	72.8483	1,932.13	77.9868
1,999.51	79.7439	1,999.51	70.9935	1,999.51	77.2772
2,069.82	79.8945	2,069.82	71.6765	2,069.82	77.494
2,143.07	79.4357	2,143.07	71.4371	2,143.07	77.0645
2,219.24	78.6983	2,219.24	72.3584	2,219.24	76.5951
2,296.88	79.771	2,296.88	75.4839	2,296.88	78.1362
2,378.91	78.8225	2,378.91	74.4717	2,378.91	77.1706
2,462.4	78.0126	2,462.4	74.7082	2,462.4	76.6674
2,548.83	76.4369	2,548.83	76.2231	2,548.83	76.3313
2,639.65	75.6791	2,639.65	77.6968	2,639.65	76.8041
2,731.93	76.4094	2,731.93	78.5192	2,731.93	77.5912
2,828.61	76.8966	2,828.61	80.2564	2,828.61	78.8936
2,928.22	77.7213	2,928.22	80.6636	2,928.22	79.437
3,030.76	78.5491	3,030.76	81.2357	3,030.76	80.0969
3,137.7	79.514	3,137.7	81.6341	3,137.7	80.7021
3,249.02	80.601	3,249.02	81.6169	3,249.02	81.1386
3,363.28	81.0887	3,363.28	81.5822	3,363.28	81.3424
3,481.93	81.1519	3,481.93	81.5691	3,481.93	81.3655
3,604.98	82.5912	3,604.98	81.6752	3,604.98	82.1573
3,732.42	83.3623	3,732.42	82.6242	3,732.42	83.0089
3,864.26	84.0315	3,864.26	83.1424	3,864.26	83.6096
4,000.49	84.0681	4,000.49	83.2922	4,000.49	83.6975
4,141.11	84.2285	4,141.11	83.4432	4,141.11	83.8536
4,287.6	84.1227	4,287.6	82.8119	4,287.6	83.5166
4,438.48	84.3823	4,438.48	83.1679	4,438.48	83.8174
4,595.21	84.1893	4,595.21	82.8182	4,595.21	83.5576
4,756.35	84.7059	4,756.35	82.9048	4,756.35	83.8981
4,924.8	84.9545	4,924.8	83.2778	4,924.8	84.1966
5,097.66	84.9528	5,097.66	83.1143	5,097.66	84.1301
5,277.83	85.1807	5,277.83	83.26	5,277.83	84.3257
5,463.87	84.8728	5,463.87	83.3198	5,463.87	84.1653
5,657.23	84.6883	5,657.23	83.1004	5,657.23	83.9665
5,856.45	84.6302	5,856.45	82.9034	5,856.45	83.8521
6,062.99	84.6503	6,062.99	83.1812	6,062.99	83.9776
6,276.86	85.044	6,276.86	83.174	6,276.86	84.2089
6,498.05	85.0656	6,498.05	82.9928	6,498.05	84.1517
6,726.56	85.1311	6,726.56	82.5889	6,726.56	84.0434
6,963.87	85.0389	6,963.87	82.1935	6,963.87	83.8452
7,209.96	85.1241	7,209.96	81.8383	7,209.96	83.7848
7,464.84	85.168	7,464.84	81.2335	7,464.84	83.6319
7,727.05	84.6918	7,727.05	80.7081	7,727.05	83.1416
7,999.51	84.2853	7,999.51	80.442	7,999.51	82.7756
8,282.23	84.2503	8,282.23	80.2525	8,282.23	82.696
8,573.73	83.9471	8,573.73	79.9332	8,573.73	82.3882
8,876.95	83.8236	8,876.95	79.5484	8,876.95	82.1921
9,188.96	83.7006	9,188.96	79.1273	9,188.96	81.99
9,514.16	83.563	9,514.16	78.8623	9,514.16	81.8198
9,849.61	83.7039	9,849.61	78.4433	9,849.61	81.8257
10,196.8	83.8748	10,196.8	77.7863	10,196.8	81.8201
10,555.7	83.8732	10,555.7	77.0009	10,555.7	81.6745
10,927.7	83.6428	10,927.7	76.4752	10,927.7	81.3951
11,313	83.0561	11,313	76.8734	11,313	80.9829
11,712.9	82.4464	11,712.9	77.6962	11,712.9	80.6907
12,126	81.1336	12,126	77.8136	12,126	79.7834
12,553.7	80.6878	12,553.7	78.0982	12,553.7	79.5832
12,996.1	81.987	12,996.1	77.9846	12,996.1	80.4314
13,454.6	82.7387	13,454.6	77.0827	13,454.6	80.7729
13,929.2	82.5208	13,929.2	75.079	13,929.2	80.2301
14,419.9	82.1018	14,419.9	73.2953	14,419.9	79.6285
14,928.2	81.0971	14,928.2	71.0526	14,928.2	78.4967
