Freq[Hz]     dBSPL  Phase[Deg]
22.4 -36.46068154174944 0.0
23.0 -33.86392621525968 0.0
23.6 -30.56665858736426 0.0
24.0 -29.067782564097115 0.0
25.0 -27.96861019548956 0.0
25.8 -30.666334668028895 0.0
26.5 -31.066134488970874 0.0
27.2 -30.165982887355796 0.0
28.0 -28.76711324941317 0.0
29.0 -25.56895875328061 0.0
30.0 -25.36862731161284 0.0
30.7 -25.268617849634325 0.0
31.5 -25.467452874452817 0.0
32.5 -21.370313279935246 0.0
33.5 -17.77136897190516 0.0
34.5 -16.071796012560426 0.0
35.5 -16.271857541951263 0.0
36.5 -15.671532489515045 0.0
37.5 -12.77182533224574 0.0
38.7 -9.972047037545991 0.0
40.0 -8.97223547947695 0.0
41.2 -7.872342161482663 0.0
42.5 -8.172283540516219 0.0
43.7 -6.472267096554205 0.0
45.0 -5.572442194995588 0.0
46.2 -4.772574328050155 0.0
47.5 -4.2726598950979024 0.0
48.7 -3.772539022105846 0.0
50.0 -3.1725651976466196 0.0
51.5 -2.57260177454647 0.0
53.0 -2.372625850480688 0.0
54.5 -2.8723787542743793 0.0
56.0 -2.1725106255465505 0.0
58.0 -2.372128708697332 0.0
60.0 -2.3717662665906403 0.0
61.5 -2.071307863057271 0.0
63.0 -1.5707725158270875 0.0
65.0 -1.1701830058970728 0.0
67.0 -0.36918393456703313 0.0
69.0 0.33167807346313793 0.0
71.0 0.6328841468945257 0.0
73.0 0.13532373963212763 0.0
75.0 0.3365522920356909 0.0
77.5 0.13822637686944006 0.0
80.0 -0.1602531074330784 0.0
82.5 -0.6567613371626635 0.0
85.0 -0.5556044783294283 0.0
87.5 -0.7530281095863103 0.0
90.0 -1.049536474496989 0.0
92.5 -1.3447966569558076 0.0
95.0 -1.1406354537380707 0.0
97.5 -0.9358594221184262 0.0
100.0 -0.23183174138038964 0.0
103.0 -0.02296322505731041 0.0
106.0 0.2850815642202349 0.0
109.0 0.09922872923225157 0.0
112.0 -0.28111323246361053 0.0
115.0 0.22429036257892676 0.0
118.0 0.011801438660583585 0.0
122.0 0.03362327153256217 0.0
125.0 0.06728271787349627 0.0
128.0 -0.30267853640602027 0.0
132.0 -0.47322786786475035 0.0
136.0 -0.8360741873362088 0.0
140.0 -1.3824131329951115 0.0
145.0 -1.2364050013151626 0.0
150.0 -1.078861056482694 0.0
155.0 -1.0012767632436095 0.0
160.0 -0.733527399181753 0.0
165.0 -0.4699453721844691 0.0
170.0 -0.3916458426476055 0.0
175.0 -0.03682875504762251 0.0
180.0 0.1309999206074366 0.0
185.0 0.43405646327809677 0.0
190.0 0.5495684410361292 0.0
195.0 0.6664842408930269 0.0
200.0 0.5372109515968759 0.0
206.0 0.07979197024727114 0.0
212.0 -0.47929756181964933 0.0
218.0 -1.0495379220533465 0.0
224.0 -1.5370904418550566 0.0
230.0 -2.0647619126091854 0.0
236.0 -2.2568362915821183 0.0
240.0 -2.3014437804833676 0.0
250.0 -2.026067549280924 0.0
258.0 -1.5109698692618423 0.0
265.0 -1.1919411212883517 0.0
272.0 -1.0117195295757 0.0
280.0 -0.9623639687993943 0.0
290.0 -1.229623511773525 0.0
300.0 -1.7035955727079255 0.0
307.0 -2.2548028244689817 0.0
315.0 -2.960515024022442 0.0
325.0 -2.958944525030148 0.0
335.0 -1.0727057034480652 0.0
345.0 -0.36327169504487244 0.0
355.0 -0.2103461452701083 0.0
365.0 -0.3332918799815019 0.0
375.0 -0.6478335541036699 0.0
387.0 -1.2959406723324491 0.0
400.0 -2.2242904026001042 0.0
412.0 -2.5444181711474556 0.0
425.0 -2.3231448196884372 0.0
437.0 -2.545555687526729 0.0
450.0 -2.5178121491433245 0.0
462.0 -2.708627275780472 0.0
475.0 -3.1920750282004775 0.0
487.0 -3.3073417757608183 0.0
500.0 -3.413450768135263 0.0
515.0 -4.1522406645606935 0.0
530.0 -4.638195665290809 0.0
