Freq[Hz]     dBSPL  Phase[Deg]
22.4 -37.06025860586848 0.0
23.0 -37.95893570946757 0.0
23.6 -35.6621199034075 0.0
24.0 -31.865665749467922 0.0
25.0 -29.06804836310016 0.0
25.8 -26.96849045826559 0.0
26.5 -23.77015746147208 0.0
27.2 -22.37002631003915 0.0
28.0 -19.370829529923427 0.0
29.0 -19.071130418725744 0.0
30.0 -17.7712570995579 0.0
30.7 -15.971734974418723 0.0
31.5 -16.371579465825505 0.0
32.5 -14.472008466391316 0.0
33.5 -13.172186213535099 0.0
34.5 -12.772142235035403 0.0
35.5 -11.372453960312129 0.0
36.5 -10.272491529090729 0.0
37.5 -8.57238804156465 0.0
38.7 -8.072217268248423 0.0
40.0 -6.972427826228355 0.0
41.2 -6.172504189106732 0.0
42.5 -5.57225799980786 0.0
43.7 -5.372584935067394 0.0
45.0 -4.872567422261113 0.0
46.2 -4.072590747183185 0.0
47.5 -3.5724665485062133 0.0
48.7 -3.3726324234004323 0.0
50.0 -2.7726293402352695 0.0
51.5 -2.3726294743435687 0.0
53.0 -2.37269668647356 0.0
54.5 -3.672374102158045 0.0
56.0 -4.5721259125023295 0.0
58.0 -5.271884850434034 0.0
60.0 -5.271421543589753 0.0
61.5 -4.6707817943772625 0.0
63.0 -4.37042615688226 0.0
65.0 -3.5692744305252972 0.0
67.0 -2.6682529467014433 0.0
69.0 -2.367567602694564 0.0
71.0 -1.7656240807219916 0.0
73.0 -1.8633995371348817 0.0
75.0 -1.462119911467454 0.0
77.5 -1.360372623449834 0.0
80.0 -1.5585035028115328 0.0
82.5 -1.7559722862824287 0.0
85.0 -1.953228179042199 0.0
87.5 -2.24923640732527 0.0
90.0 -2.646029833796348 0.0
92.5 -3.337869940716942 0.0
95.0 -3.7312677432062316 0.0
97.5 -3.9234355914564247 0.0
100.0 -3.5167916673261175 0.0
103.0 -3.203929708608868 0.0
106.0 -2.4973222167081133 0.0
109.0 -2.3821103694839962 0.0
112.0 -3.1477861660383297 0.0
115.0 -2.632654436483733 0.0
118.0 -2.9358141987310375 0.0
122.0 -3.0342363383313398 0.0
125.0 -3.0863544202224915 0.0
128.0 -3.4439448658054914 0.0
132.0 -3.7014442147230397 0.0
136.0 -4.3438367361739125 0.0
140.0 -4.8787531091512335 0.0
145.0 -5.301151885506641 0.0
150.0 -5.696054315956218 0.0
155.0 -6.152732060872239 0.0
160.0 -6.575603313807534 0.0
165.0 -7.0696152054436965 0.0
170.0 -7.619900069100936 0.0
175.0 -7.986886958860055 0.0
180.0 -8.47902002448592 0.0
185.0 -8.552283371099364 0.0
190.0 -7.152352593066979 0.0
195.0 -6.441610900252002 0.0
200.0 -6.899921471539031 0.0
206.0 -7.106561062871606 0.0
212.0 -7.399122229873342 0.0
218.0 -7.9107446875441525 0.0
224.0 -8.862076139212562 0.0
230.0 -10.019686835730752 0.0
236.0 -9.441894971604881 0.0
240.0 -9.40693536351472 0.0
250.0 -8.931406586242304 0.0
258.0 -9.077987889634642 0.0
265.0 -9.464252349751632 0.0
272.0 -9.517535988951892 0.0
280.0 -10.332940905126534 0.0
290.0 -10.237776669611804 0.0
300.0 -9.177434714896322 0.0
307.0 -8.411388833217586 0.0
315.0 -8.437882344262434 0.0
325.0 -8.616616621253712 0.0
335.0 -9.749266307710968 0.0
345.0 -10.196813600091048 0.0
355.0 -10.366631563343446 0.0
365.0 -10.57734347869021 0.0
375.0 -10.057821076865409 0.0
387.0 -9.483457860306373 0.0
400.0 -8.751855467509898 0.0
412.0 -8.447561280666378 0.0
425.0 -8.244202205142017 0.0
437.0 -8.460875694871135 0.0
450.0 -9.537971083826307 0.0
462.0 -10.31964053347565 0.0
475.0 -10.492452099239074 0.0
487.0 -10.96541994665887 0.0
500.0 -12.096823311929853 0.0
515.0 -12.626099057019474 0.0
530.0 -12.43180901536077 0.0
545.0 -11.098046593628055 0.0
560.0 -10.067414524954827 0.0
580.0 -10.708284110792192 0.0
600.0 -11.699788701832162 0.0
615.0 -12.947355285310053 0.0
630.0 -13.143518414199178 0.0
650.0 -12.272183324320196 0.0
670.0 -11.608774080050281 0.0
690.0 -12.251275903706627 0.0
710.0 -12.98768591067629 0.0
730.0 -14.273152841912093 0.0
750.0 -14.800668496797314 0.0
775.0 -14.054222413215399 0.0
800.0 -13.780092793731612 0.0
825.0 -14.166685009389838 0.0
850.0 -15.46487958545265 0.0
875.0 -16.60165685174293 0.0
