"Contour Plot"
""
"Frequency / Hz"	"Sound Pressure Level / dB (re 20 µPa)"	"Theta / deg"
23.6	50.1845	-180
24.3	50.3311	-180
25	50.4736	-180
25.8	50.6315	-180
26.5	50.7658	-180
27.2	50.8966	-180
28	51.0419	-180
29	51.222	-180
30	51.409	-180
30.7	51.5418	-180
31.5	51.6916	-180
32.5	51.8738	-180
33.5	52.0504	-180
34.5	52.2233	-180
35.5	52.397	-180
36.5	52.5725	-180
37.5	52.746	-180
38.7	52.9482	-180
40	53.1608	-180
41.2	53.3547	-180
42.5	53.5648	-180
43.7	53.7555	-180
45	53.9563	-180
46.2	54.1376	-180
47.5	54.3319	-180
48.7	54.5094	-180
50	54.6979	-180
51.5	54.9098	-180
53	55.1176	-180
54.5	55.3223	-180
56	55.5227	-180
58	55.7826	-180
60	56.0361	-180
61.5	56.222	-180
63	56.4039	-180
65	56.6408	-180
67	56.872	-180
69	57.097	-180
71	57.3163	-180
73	57.5302	-180
75	57.7387	-180
77.5	57.9921	-180
80	58.2377	-180
82.5	58.4759	-180
85	58.707	-180
87.5	58.9312	-180
90	59.1487	-180
92.5	59.3599	-180
95	59.5648	-180
97.5	59.7639	-180
100	59.9572	-180
103	60.1818	-180
106	60.3986	-180
109	60.608	-180
112	60.8102	-180
115	61.0054	-180
118	61.1939	-180
122	61.4352	-180
125	61.6089	-180
128	61.7764	-180
132	61.9907	-180
136	62.1952	-180
140	62.3901	-180
145	62.6202	-180
150	62.8366	-180
155	63.04	-180
160	63.231	-180
165	63.4102	-180
170	63.5777	-180
175	63.7339	-180
180	63.8794	-180
185	64.0152	-180
190	64.1416	-180
195	64.2592	-180
200	64.3681	-180
206	64.488	-180
212	64.597	-180
218	64.6957	-180
224	64.785	-180
230	64.8653	-180
236	64.9373	-180
243	65.0117	-180
250	65.0767	-180
258	65.1407	-180
265	65.1882	-180
272	65.2283	-180
280	65.2662	-180
290	65.3031	-180
300	65.3299	-180
307	65.3429	-180
315	65.352	-180
325	65.3562	-180
335	65.3527	-180
345	65.3418	-180
355	65.3236	-180
365	65.2982	-180
375	65.2656	-180
387	65.2164	-180
400	65.1511	-180
412	65.0793	-180
425	64.9889	-180
437	64.8938	-180
450	64.7783	-180
462	64.6609	-180
475	64.5227	-180
487	64.3866	-180
500	64.2316	-180
515	64.0474	-180
530	63.8624	-180
545	63.683	-180
560	63.5169	-180
580	63.3265	-180
600	63.1811	-180
615	63.1056	-180
630	63.059	-180
650	63.0288	-180
670	63.0154	-180
690	62.9941	-180
710	62.9377	-180
730	62.8208	-180
750	62.6176	-180
775	62.2213	-180
800	61.6509	-180
825	60.8996	-180
850	59.9873	-180
875	58.9701	-180
900	57.9486	-180
925	57.0593	-180
950	56.4278	-180
975	56.0949	-180
1,000	55.9864	-180
1,030	55.9503	-180
1,060	55.8031	-180
1,090	55.4178	-180
1,120	54.7625	-180
1,150	53.8827	-180
1,180	52.9001	-180
1,220	51.7156	-180
1,250	51.1659	-180
1,280	50.9934	-180
1,320	51.1096	-180
1,360	51.1779	-180
1,400	50.8004	-180
1,450	49.3722	-180
1,500	46.924	-180
1,550	45.0833	-180
1,600	45.8411	-180
1,650	47.6976	-180
1,700	48.3678	-180
1,750	46.9634	-180
1,800	43.6244	-180
1,850	41.3649	-180
1,900	42.584	-180
1,950	45.3096	-180
2,000	46.8193	-180
2,060	47.4364	-180
2,120	48.309	-180
2,180	49.943	-180
2,240	51.7367	-180
2,300	53.0088	-180
2,360	53.5342	-180
2,430	53.4587	-180
2,500	53.3545	-180
2,580	53.7203	-180
2,650	53.894	-180
2,720	53.2027	-180
2,800	51.7845	-180
2,900	50.509	-180
3,000	48.8764	-180
3,070	46.8754	-180
3,150	45.1442	-180
3,250	44.984	-180
3,350	45.2502	-180
3,450	45.5883	-180
3,550	45.8759	-180
3,650	45.7055	-180
3,750	45.6637	-180
3,870	45.6052	-180
4,000	44.3732	-180
4,120	42.8369	-180
4,250	38.675	-180
4,370	34.9256	-180
4,500	34.3363	-180
4,620	35.7167	-180
4,750	38.904	-180
4,870	40.2095	-180
5,000	39.171	-180
5,150	41.3604	-180
5,300	43.7767	-180
5,450	44.2396	-180
5,600	44.5776	-180
5,800	43.4784	-180
6,000	44.0843	-180
6,150	43.9989	-180
6,300	43.9506	-180
6,500	45.4837	-180
6,700	47.1786	-180
6,900	47.8827	-180
7,100	47.1008	-180
7,300	46.917	-180
7,500	45.6547	-180
7,750	43.0973	-180
8,000	43.9769	-180
8,250	45.3448	-180
8,500	45.5717	-180
8,750	45.5229	-180
9,000	44.9272	-180
9,250	43.8865	-180
9,500	43.2884	-180
9,750	42.3883	-180
10,000	40.5869	-180
10,300	38.8139	-180
10,600	37.9038	-180
10,900	36.0213	-180
11,200	33.8935	-180
11,500	33.2019	-180
11,800	32.7898	-180
12,200	31.2499	-180
12,500	29.5467	-180
12,800	28.0918	-180
13,200	27.0623	-180
13,600	27.2479	-180
14,000	26.6521	-180
14,500	25.8082	-180
15,000	28.4946	-180
15,500	28.5603	-180
16,000	29.8395	-180
16,500	29.8263	-180
17,000	30.2467	-180
17,500	29.6904	-180
18,000	28.7217	-180
18,500	29.3709	-180
19,000	29.2632	-180
19,500	26.0632	-180
23.6	51.8109	-170
24.3	51.9401	-170
25	52.0656	-170
25.8	52.2048	-170
26.5	52.3231	-170
27.2	52.4384	-170
28	52.5665	-170
29	52.7256	-170
30	52.8922	-170
30.7	53.011	-170
31.5	53.1454	-170
32.5	53.3086	-170
33.5	53.467	-170
34.5	53.6221	-170
35.5	53.7785	-170
36.5	53.9373	-170
37.5	54.0945	-170
38.7	54.2777	-170
40	54.4704	-170
41.2	54.6464	-170
42.5	54.8378	-170
43.7	55.0116	-170
45	55.1946	-170
46.2	55.36	-170
47.5	55.5373	-170
48.7	55.6995	-170
50	55.8719	-170
51.5	56.0656	-170
53	56.2555	-170
54.5	56.4426	-170
56	56.6259	-170
58	56.8635	-170
60	57.0951	-170
61.5	57.2649	-170
63	57.431	-170
65	57.6471	-170
67	57.8579	-170
69	58.0629	-170
71	58.2625	-170
73	58.457	-170
75	58.6464	-170
77.5	58.8764	-170
80	59.0991	-170
82.5	59.3148	-170
85	59.5239	-170
87.5	59.7265	-170
90	59.923	-170
92.5	60.1137	-170
95	60.2986	-170
97.5	60.4782	-170
100	60.6526	-170
103	60.8552	-170
106	61.0509	-170
109	61.2401	-170
112	61.423	-170
115	61.5999	-170
118	61.771	-170
122	61.9906	-170
125	62.1492	-170
128	62.3027	-170
132	62.5	-170
136	62.6892	-170
140	62.8705	-170
145	63.0866	-170
150	63.2917	-170
155	63.4864	-170
160	63.6712	-170
165	63.8466	-170
170	64.0126	-170
175	64.1694	-170
180	64.3175	-170
185	64.4573	-170
190	64.589	-170
195	64.7128	-170
200	64.8286	-170
206	64.9574	-170
212	65.0753	-170
218	65.1826	-170
224	65.2795	-170
230	65.3661	-170
236	65.4426	-170
243	65.5195	-170
250	65.5838	-170
258	65.6425	-170
265	65.6809	-170
272	65.7078	-170
280	65.7254	-170
290	65.7299	-170
300	65.7175	-170
307	65.6996	-170
315	65.6702	-170
325	65.6234	-170
335	65.5679	-170
345	65.5056	-170
355	65.4388	-170
365	65.3696	-170
375	65.2996	-170
387	65.2161	-170
400	65.1277	-170
412	65.0484	-170
425	64.9641	-170
437	64.8866	-170
450	64.8009	-170
462	64.7182	-170
475	64.6223	-170
487	64.5264	-170
500	64.4131	-170
515	64.2705	-170
530	64.1165	-170
545	63.9538	-170
560	63.7869	-170
580	63.5671	-170
600	63.3615	-170
615	63.2223	-170
630	63.0989	-170
650	62.9557	-170
670	62.8275	-170
690	62.6988	-170
710	62.5497	-170
730	62.3596	-170
750	62.107	-170
775	61.6869	-170
800	61.1397	-170
825	60.4627	-170
850	59.6718	-170
875	58.8061	-170
900	57.9316	-170
925	57.1386	-170
950	56.5176	-170
975	56.116	-170
1,000	55.9131	-170
1,030	55.8175	-170
1,060	55.7347	-170
1,090	55.556	-170
1,120	55.2336	-170
1,150	54.7863	-170
1,180	54.3045	-170
1,220	53.805	-170
1,250	53.6738	-170
1,280	53.7678	-170
1,320	54.0369	-170
1,360	54.1478	-170
1,400	53.7742	-170
1,450	52.3571	-170
1,500	50.0773	-170
1,550	48.3869	-170
1,600	48.6834	-170
1,650	49.8317	-170
1,700	50.1961	-170
1,750	49.5218	-170
1,800	48.8457	-170
1,850	49.2014	-170
1,900	50.2506	-170
1,950	50.8926	-170
2,000	50.5685	-170
2,060	49.4584	-170
2,120	48.9364	-170
2,180	49.5007	-170
2,240	50.211	-170
2,300	50.1967	-170
2,360	49.7292	-170
2,430	49.6853	-170
2,500	50.5332	-170
2,580	51.5353	-170
2,650	51.9463	-170
2,720	52.3547	-170
2,800	52.9038	-170
2,900	53.1231	-170
3,000	53.429	-170
3,070	53.7305	-170
3,150	53.6907	-170
3,250	53.7541	-170
3,350	54.6292	-170
3,450	54.3064	-170
3,550	53.7217	-170
3,650	53.854	-170
3,750	53.1993	-170
3,870	52.0903	-170
4,000	51.6675	-170
4,120	50.6288	-170
4,250	50.4152	-170
4,370	49.3752	-170
4,500	47.5781	-170
4,620	45.7316	-170
4,750	42.7134	-170
4,870	40.9819	-170
5,000	39.3935	-170
5,150	38.6608	-170
5,300	36.4647	-170
5,450	34.8198	-170
5,600	38.4374	-170
5,800	41.2697	-170
6,000	40.953	-170
6,150	40.0035	-170
6,300	39.3472	-170
6,500	40.9643	-170
6,700	40.1965	-170
6,900	36.1635	-170
7,100	35.8143	-170
7,300	34.776	-170
7,500	29.3336	-170
7,750	23.587	-170
8,000	22.9163	-170
8,250	22.3542	-170
8,500	21.4743	-170
8,750	28.512	-170
9,000	33.4233	-170
9,250	29.6492	-170
9,500	25.8921	-170
9,750	25.1286	-170
10,000	23.7516	-170
10,300	19.9994	-170
10,600	21.4077	-170
10,900	24.1193	-170
11,200	21.8765	-170
11,500	20.5003	-170
11,800	22.5353	-170
12,200	24.0232	-170
12,500	23.9938	-170
12,800	24.1988	-170
13,200	22.0322	-170
13,600	19.2505	-170
14,000	21.7887	-170
14,500	27.1026	-170
15,000	26.7023	-170
15,500	26.6628	-170
16,000	24.915	-170
16,500	24.6116	-170
17,000	25.2257	-170
17,500	24.6591	-170
18,000	26.2085	-170
18,500	26.0668	-170
19,000	21.832	-170
19,500	17.696	-170
23.6	47.3456	-160
24.3	47.5901	-160
25	47.8276	-160
25.8	48.0911	-160
26.5	48.315	-160
27.2	48.5331	-160
28	48.7755	-160
29	49.0702	-160
30	49.3587	-160
30.7	49.5566	-160
31.5	49.7778	-160
32.5	50.0465	-160
33.5	50.3071	-160
34.5	50.5605	-160
35.5	50.8083	-160
36.5	51.0512	-160
37.5	51.2883	-160
38.7	51.5646	-160
40	51.8546	-160
41.2	52.1152	-160
42.5	52.3911	-160
43.7	52.6392	-160
45	52.9004	-160
46.2	53.1352	-160
47.5	53.384	-160
48.7	53.6086	-160
50	53.8463	-160
51.5	54.113	-160
53	54.3729	-160
54.5	54.6266	-160
56	54.8739	-160
58	55.194	-160
60	55.5042	-160
61.5	55.7306	-160
63	55.9519	-160
65	56.2392	-160
67	56.5183	-160
69	56.7896	-160
71	57.0532	-160
73	57.3097	-160
75	57.5594	-160
77.5	57.8621	-160
80	58.1551	-160
82.5	58.4387	-160
85	58.7133	-160
87.5	58.9793	-160
90	59.237	-160
92.5	59.4868	-160
95	59.7289	-160
97.5	59.9637	-160
100	60.1913	-160
103	60.4551	-160
106	60.7094	-160
109	60.9543	-160
112	61.1902	-160
115	61.4174	-160
118	61.636	-160
122	61.9148	-160
125	62.1147	-160
128	62.3067	-160
132	62.5511	-160
136	62.783	-160
140	63.0025	-160
145	63.2594	-160
150	63.4986	-160
155	63.721	-160
160	63.9273	-160
165	64.1182	-160
170	64.2941	-160
175	64.4551	-160
180	64.6025	-160
185	64.7372	-160
190	64.8601	-160
195	64.9718	-160
200	65.0725	-160
206	65.1801	-160
212	65.2743	-160
218	65.3565	-160
224	65.4276	-160
230	65.4888	-160
236	65.5411	-160
243	65.5924	-160
250	65.6348	-160
258	65.6741	-160
265	65.7018	-160
272	65.7242	-160
280	65.7448	-160
290	65.7646	-160
300	65.7794	-160
307	65.787	-160
315	65.7926	-160
325	65.7953	-160
335	65.7923	-160
345	65.7822	-160
355	65.7633	-160
365	65.7342	-160
375	65.6928	-160
387	65.6244	-160
400	65.5258	-160
412	65.41	-160
425	65.2568	-160
437	65.0899	-160
450	64.8828	-160
462	64.6697	-160
475	64.4186	-160
487	64.1727	-160
500	63.8968	-160
515	63.5765	-160
530	63.2659	-160
545	62.9783	-160
560	62.7281	-160
580	62.466	-160
600	62.292	-160
615	62.2168	-160
630	62.1806	-160
650	62.1617	-160
670	62.138	-160
690	62.0725	-160
710	61.9331	-160
730	61.6954	-160
750	61.3356	-160
775	60.698	-160
800	59.8365	-160
825	58.7457	-160
850	57.4752	-160
875	56.1744	-160
900	55.1037	-160
925	54.5183	-160
950	54.4738	-160
975	54.7831	-160
1,000	55.1735	-160
1,030	55.4898	-160
1,060	55.5154	-160
1,090	55.2382	-160
1,120	54.7298	-160
1,150	54.1189	-160
1,180	53.5645	-160
1,220	53.0693	-160
1,250	52.8966	-160
1,280	52.8344	-160
1,320	52.773	-160
1,360	52.6515	-160
1,400	52.4505	-160
1,450	52.0177	-160
1,500	51.0849	-160
1,550	49.1431	-160
1,600	45.9697	-160
1,650	43.6149	-160
1,700	44.8165	-160
1,750	47.8522	-160
1,800	49.9827	-160
1,850	50.7732	-160
1,900	50.8388	-160
1,950	50.7161	-160
2,000	50.6686	-160
2,060	50.7201	-160
2,120	50.8279	-160
2,180	51.0194	-160
2,240	51.1956	-160
2,300	51.1128	-160
2,360	50.6298	-160
2,430	49.7138	-160
2,500	49.0234	-160
2,580	49.3618	-160
2,650	50.5931	-160
2,720	51.6709	-160
2,800	51.388	-160
2,900	49.8521	-160
3,000	50.8305	-160
3,070	52.2804	-160
3,150	52.6951	-160
3,250	50.5997	-160
3,350	49.1293	-160
3,450	50.681	-160
3,550	51.0891	-160
3,650	47.355	-160
3,750	44.5808	-160
3,870	46.2865	-160
4,000	43.8967	-160
4,120	40.0784	-160
4,250	43.1093	-160
4,370	45.1329	-160
4,500	47.0153	-160
4,620	49.3167	-160
4,750	49.4686	-160
4,870	49.5204	-160
5,000	50.3132	-160
5,150	50.1193	-160
5,300	49.8747	-160
5,450	49.8078	-160
5,600	48.2735	-160
5,800	44.5585	-160
6,000	40.758	-160
6,150	36.1923	-160
6,300	29.9353	-160
6,500	28.2154	-160
6,700	36.0367	-160
6,900	40.5005	-160
7,100	40.3131	-160
7,300	40.5321	-160
7,500	42.3517	-160
7,750	41.671	-160
8,000	41.473	-160
8,250	39.6139	-160
8,500	35.8506	-160
8,750	34.807	-160
9,000	31.864	-160
9,250	28.8472	-160
9,500	29.1805	-160
9,750	32.5677	-160
10,000	36.2696	-160
10,300	34.0179	-160
10,600	27.208	-160
10,900	23.6856	-160
11,200	26.144	-160
11,500	28.5837	-160
11,800	27.567	-160
12,200	27.1655	-160
12,500	25.3895	-160
12,800	22.6085	-160
13,200	22.7337	-160
13,600	23.7352	-160
14,000	21.2108	-160
14,500	22.4587	-160
15,000	26.9237	-160
15,500	29.4063	-160
16,000	27.3902	-160
16,500	23.1971	-160
17,000	22.3423	-160
17,500	28.1227	-160
18,000	31.9266	-160
18,500	31.9289	-160
19,000	31.8139	-160
19,500	28.5207	-160
23.6	52.5337	-150
24.3	52.6694	-150
25	52.8012	-150
25.8	52.9475	-150
26.5	53.0718	-150
27.2	53.1928	-150
28	53.3274	-150
29	53.4942	-150
30	53.6677	-150
30.7	53.7909	-150
31.5	53.9301	-150
32.5	54.0993	-150
33.5	54.2633	-150
34.5	54.4239	-150
35.5	54.5851	-150
36.5	54.748	-150
37.5	54.9091	-150
38.7	55.0968	-150
40	55.2941	-150
41.2	55.4738	-150
42.5	55.6683	-150
43.7	55.8447	-150
45	56.0304	-150
46.2	56.198	-150
47.5	56.3772	-150
48.7	56.5405	-150
50	56.714	-150
51.5	56.9088	-150
53	57.0993	-150
54.5	57.2865	-150
56	57.4696	-150
58	57.7065	-150
60	57.9369	-150
61.5	58.1053	-150
63	58.2699	-150
65	58.4837	-150
67	58.6915	-150
69	58.8934	-150
71	59.0895	-150
73	59.28	-150
75	59.4653	-150
77.5	59.6897	-150
80	59.9064	-150
82.5	60.1158	-150
85	60.3182	-150
87.5	60.5139	-150
90	60.7032	-150
92.5	60.8863	-150
95	61.0636	-150
97.5	61.2354	-150
100	61.4018	-150
103	61.5946	-150
106	61.7804	-150
109	61.9595	-150
112	62.1322	-150
115	62.2989	-150
118	62.4598	-150
122	62.6658	-150
125	62.8142	-150
128	62.9577	-150
132	63.1416	-150
136	63.3178	-150
140	63.4864	-150
145	63.687	-150
150	63.8773	-150
155	64.058	-150
160	64.2294	-150
165	64.3922	-150
170	64.5465	-150
175	64.6924	-150
180	64.8305	-150
185	64.9611	-150
190	65.0844	-150
195	65.2006	-150
200	65.3096	-150
206	65.4311	-150
212	65.5426	-150
218	65.6442	-150
224	65.736	-150
230	65.8181	-150
236	65.8904	-150
243	65.9626	-150
250	66.0222	-150
258	66.0751	-150
265	66.1079	-150
272	66.1281	-150
280	66.1368	-150
290	66.1274	-150
300	66.0978	-150
307	66.0652	-150
315	66.0159	-150
325	65.9395	-150
335	65.8488	-150
345	65.7452	-150
355	65.6304	-150
365	65.5066	-150
375	65.3752	-150
387	65.2093	-150
400	65.0218	-150
412	64.8428	-150
425	64.6433	-150
437	64.4541	-150
450	64.2439	-150
462	64.0452	-150
475	63.8251	-150
487	63.6186	-150
500	63.3931	-150
515	63.1347	-150
530	62.8832	-150
545	62.6446	-150
560	62.4251	-150
580	62.166	-150
600	61.9444	-150
615	61.7976	-150
630	61.6592	-150
650	61.469	-150
670	61.2467	-150
690	60.9649	-150
710	60.5988	-150
730	60.1313	-150
750	59.5543	-150
775	58.7084	-150
800	57.8093	-150
825	57.0034	-150
850	56.4554	-150
875	56.2428	-150
900	56.3035	-150
925	56.4811	-150
950	56.6118	-150
975	56.5831	-150
1,000	56.34	-150
1,030	55.7896	-150
1,060	55.0871	-150
1,090	54.4637	-150
1,120	54.1574	-150
1,150	54.2338	-150
1,180	54.5299	-150
1,220	54.8738	-150
1,250	54.866	-150
1,280	54.5424	-150
1,320	53.7269	-150
1,360	52.7429	-150
1,400	51.9255	-150
1,450	51.2647	-150
1,500	50.514	-150
1,550	49.0461	-150
1,600	46.9382	-150
1,650	45.6015	-150
1,700	46.2458	-150
1,750	47.9222	-150
1,800	49.261	-150
1,850	49.9715	-150
1,900	50.2822	-150
1,950	50.3407	-150
2,000	50.1925	-150
2,060	49.8971	-150
2,120	49.7475	-150
2,180	49.7554	-150
2,240	49.5822	-150
2,300	49.0509	-150
2,360	48.4884	-150
2,430	48.1264	-150
2,500	47.5704	-150
2,580	46.1434	-150
2,650	45.161	-150
2,720	45.2284	-150
2,800	45.7609	-150
2,900	45.3129	-150
3,000	44.1762	-150
3,070	44.1587	-150
3,150	44.8591	-150
3,250	45.439	-150
3,350	45.9513	-150
3,450	47.0117	-150
3,550	46.7317	-150
3,650	45.3439	-150
3,750	45.3987	-150
3,870	46.9432	-150
4,000	47.0192	-150
4,120	46.9792	-150
4,250	48.2379	-150
4,370	49.0485	-150
4,500	48.8689	-150
4,620	48.1138	-150
4,750	46.4319	-150
4,870	45.4823	-150
5,000	45.5061	-150
5,150	45.2036	-150
5,300	44.6111	-150
5,450	44.8227	-150
5,600	44.8216	-150
5,800	44.2003	-150
6,000	44.6006	-150
6,150	46.1558	-150
6,300	47.5208	-150
6,500	47.9346	-150
6,700	48.5157	-150
6,900	48.721	-150
7,100	48.3239	-150
7,300	47.7135	-150
7,500	47.2238	-150
7,750	46.6307	-150
8,000	43.9884	-150
8,250	42.525	-150
8,500	40.9978	-150
8,750	36.9717	-150
9,000	32.6958	-150
9,250	29.9515	-150
9,500	26.6377	-150
9,750	26.1997	-150
10,000	29.5539	-150
10,300	33.9838	-150
10,600	33.7117	-150
10,900	31.9328	-150
11,200	27.9988	-150
11,500	24.0814	-150
11,800	22.7194	-150
12,200	23.5552	-150
12,500	24.8171	-150
12,800	26.948	-150
13,200	29.637	-150
13,600	30.7663	-150
14,000	30.1408	-150
14,500	29.0121	-150
15,000	30.5976	-150
15,500	29.7153	-150
16,000	29.1829	-150
16,500	30.5165	-150
17,000	30.7782	-150
17,500	30.5767	-150
18,000	30.6528	-150
18,500	32.8061	-150
19,000	34.2849	-150
19,500	30.6202	-150
23.6	51.8644	-140
24.3	52.0292	-140
25	52.1893	-140
25.8	52.3669	-140
26.5	52.5178	-140
27.2	52.6648	-140
28	52.8283	-140
29	53.0296	-140
30	53.2349	-140
30.7	53.3793	-140
31.5	53.5418	-140
32.5	53.7393	-140
33.5	53.9309	-140
34.5	54.1179	-140
35.5	54.3039	-140
36.5	54.4898	-140
37.5	54.6728	-140
38.7	54.8861	-140
40	55.1101	-140
41.2	55.313	-140
42.5	55.5307	-140
43.7	55.7273	-140
45	55.9344	-140
46.2	56.1209	-140
47.5	56.3195	-140
48.7	56.4997	-140
50	56.6906	-140
51.5	56.905	-140
53	57.1142	-140
54.5	57.319	-140
56	57.5188	-140
58	57.7773	-140
60	58.028	-140
61.5	58.211	-140
63	58.3897	-140
65	58.6216	-140
67	58.8467	-140
69	59.0652	-140
71	59.2773	-140
73	59.4834	-140
75	59.6836	-140
77.5	59.926	-140
80	60.1602	-140
82.5	60.3865	-140
85	60.6052	-140
87.5	60.8167	-140
90	61.0213	-140
92.5	61.2193	-140
95	61.4111	-140
97.5	61.597	-140
100	61.7771	-140
103	61.9858	-140
106	62.187	-140
109	62.381	-140
112	62.568	-140
115	62.7485	-140
118	62.9226	-140
122	63.1453	-140
125	63.3057	-140
128	63.4605	-140
132	63.6586	-140
136	63.8479	-140
140	64.0286	-140
145	64.2426	-140
150	64.4445	-140
155	64.6348	-140
160	64.8142	-140
165	64.9831	-140
170	65.1415	-140
175	65.2896	-140
180	65.4279	-140
