Frequency Spectrum for Input Signal

Data Shown:    J12A (FBT)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 80°  

Freq [Hz]	Signal Level [dBSPL]
22.4	38.8
23	39.6
23.6	40.3
24	40.6
25	40.9
25.8	41.2
26.5	41.4
27.2	41.7
28	43.8
29	45.9
30	47.4
30.7	48.8
31.5	50.8
32.5	54.6
33.5	57.1
34.5	58.8
35.5	60.7
36.5	64.4
37.5	66.8
38.7	68.5
40	69.6
41.2	70
42.5	70.3
43.7	71.2
45	74.5
46.2	76.8
47.5	78.7
48.7	81.5
50	83.6
51.5	85.5
53	87.7
54.5	89.4
56	91.8
58	93.9
60	95.2
61.5	95.9
63	96.4
65	96.9
67	97.4
69	98
71	98.5
73	98.1
75	97.5
77.5	97.6
80	97.4
82.5	96.2
85	95.9
87.5	96.4
90	96.3
92.5	96.2
95	95.9
97.5	94.6
100	93.7
103	93.3
106	92.6
109	92.9
112	93
115	92.6
118	92.4
122	92.9
125	92.6
128	92.7
132	92
136	92.4
140	93.4
145	94.3
150	94.8
155	92.8
160	91.4
165	91
170	90.9
175	92.7
180	93.4
185	92.5
190	92.8
195	93.9
200	92.8
206	89.9
212	91.5
218	93.6
224	92.2
230	93
236	92.9
240	91.7
250	90
258	91.2
265	92.8
272	90.9
280	91.6
290	92.4
300	91
307	90.3
315	90.4
325	90.6
335	90.7
345	90.7
355	90.7
365	90.6
375	90.5
387	90.5
400	90.4
412	90.2
425	89.8
437	89.4
450	88.9
462	88.5
475	88.2
487	88
500	87.8
515	87.7
530	87.6
545	87.7
560	87.7
580	87.4
600	87
615	86.4
630	85.9
650	85.5
670	85.2
690	85.1
710	85.3
730	85.5
750	85.5
775	85.4
800	85.3
825	85.1
850	85
875	85.3
900	86.2
925	87.8
950	89.5
975	90.9
1000	91.6
1030	92
1060	91.7
1090	91
1120	90.6
1150	90.6
1180	90.7
1220	90.1
1250	88.2
1280	85.2
1320	83.8
1360	84.4
1400	84.3
1450	82.7
1500	80.6
1550	79.7
1600	79.6
1650	78.9
1700	78.3
1750	79
1800	80
1850	79.8
1900	78.4
1950	78
2000	78.9
2060	78.8
2120	77.9
2180	77.7
2240	77.6
2300	76.7
2360	74.9
2400	72.8
2500	71.2
2580	69.8
2650	68.8
2720	68.9
2800	69.6
2900	70.9
3000	71.9
3070	72.9
3150	73.6
3250	74
3350	74
3450	73.5
3550	73
3650	72.2
3750	72
3870	72.6
4000	73.3
4120	74.8
4250	75.7
4370	77
4500	78.1
4620	79.1
4750	80.2
4870	80.6
5000	80.4
5150	80.6
5300	80.9
5450	80.2
5600	79.7
5800	80
6000	79.9
6150	78.8
6300	77.4
6500	76
6700	74.8
6900	74.2
7100	73.7
7300	73.2
7500	72.2
7750	70.9
8000	69.8
8250	69.6
8500	70
8750	70.3
9000	70.6
9250	70.8
9500	71.4
9750	72.1
10000	72.8
10300	73.3
10600	73.4
10900	73.2
11200	73.6
11500	74.8
11800	74.1
12200	73
12500	71.6
12800	69.7
13200	66.6
13600	71.1
14000	68.5
14500	70.9
15000	71.1
15500	71.2
16000	70.4
16500	68.8
17000	64.3
17500	61.2
18000	63.6
18500	63
19000	59.4
19500	52.6
20000	42.8
20600	29.2
21200	34.9
21800	34.4
22400	30
