Frequency Spectrum for Input Signal

Data Shown:    Mitus 115A (FBT)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 120°

Freq [Hz]	Signal Level [dBSPL]
22.4	79.3
23	79.7
23.6	80.1
24	80.4
25	80.7
25.8	81.1
26.5	81.4
27.2	81.7
28	82
29	82.2
30	82.6
30.7	83
31.5	83.4
32.5	83.8
33.5	84.1
34.5	84.5
35.5	84.8
36.5	85.2
37.5	85.5
38.7	85.8
40	86.2
41.2	86.6
42.5	87
43.7	87.5
45	87.8
46.2	88.2
47.5	88.6
48.7	88.9
50	89.3
51.5	89.8
53	90.2
54.5	90.6
56	90.9
58	91.3
60	91.6
61.5	92
63	92.4
65	92.8
67	93.1
69	93.5
71	93.8
73	94.2
75	94.5
77.5	94.9
80	95.2
82.5	95.5
85	95.8
87.5	96.1
90	96.4
92.5	96.7
95	97
97.5	97.2
100	97.5
103	97.7
106	98
109	98.2
112	98.4
115	98.6
118	98.8
122	99
125	99.1
128	99.3
132	99.4
136	99.4
140	99.5
145	99.5
150	99.5
155	99.5
160	99.4
165	99.3
170	99.2
175	99
180	98.8
185	98.5
190	98.2
195	97.9
200	97.6
206	97.2
212	96.7
218	96.3
224	95.8
230	95.3
236	94.9
240	94.4
250	94
258	93.7
265	93.5
272	93.5
280	93.6
290	93.8
300	94
307	94.1
315	94.2
325	94.2
335	94.1
345	93.9
355	93.5
365	93.1
375	92.5
387	91.8
400	91.4
412	91.4
425	92.1
437	93.3
450	94.5
462	95.6
475	96.4
487	97
500	97.4
515	97.6
530	97.6
545	97.3
560	96.7
580	95.4
600	93.2
615	90.9
630	89.9
650	90.2
670	90.9
690	91.2
710	90.8
730	89.8
750	88.7
775	88.4
800	89.3
825	90.6
850	91.6
875	91.7
900	91
925	89.4
950	87
975	84.4
1000	81.9
1030	79.8
1060	80.7
1090	83.8
1120	85.7
1150	87.1
1180	88.4
1220	88.6
1250	87.6
1280	87.8
1320	88.7
1360	88.8
1400	88.4
1450	89.4
1500	90.8
1550	90.6
1600	89.9
1650	90
1700	89
1750	88.4
1800	88.6
1850	86.8
1900	84.2
1950	82.1
2000	76.5
2060	69.4
2120	71.1
2180	73.2
2240	78.8
2300	81.2
2360	81.6
2400	79.3
2500	80.6
2580	81.1
2650	80.6
2720	83.1
2800	85.1
2900	84.4
3000	84.2
3070	81.8
3150	79.1
3250	75.3
3350	71
3450	64.6
3550	72
3650	76.5
3750	80.9
3870	81.8
4000	81
4120	80.4
4250	80.8
4370	81
4500	79.7
4620	75.1
4750	70.2
4870	68.3
5000	74.4
5150	74.4
5300	74.5
5450	73.8
5600	73.4
5800	67.5
6000	68.2
6150	72.9
6300	78
6500	79.3
6700	77.6
6900	74.3
7100	72.7
7300	66.6
7500	67
7750	72.2
8000	70.7
8250	68.2
8500	70.2
8750	72.3
9000	69.9
9250	64.2
9500	65
9750	62.4
10000	68.8
10300	67.6
10600	65
10900	63.1
11200	65.1
11500	62.8
11800	71.7
12200	68.7
12500	70.8
12800	68.7
13200	72.4
13600	66.8
14000	69
14500	70.9
15000	67.8
15500	60.8
16000	70.7
16500	69.1
17000	62.2
17500	56.8
18000	52.9
18500	53.3
19000	58.5
19500	64.8
20000	47
20600	48.5
21200	50.3
21800	53
22400	40.6
