Frequency Spectrum for Input Signal

Data Shown:    Mitus 115A (FBT)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 60°  

Freq [Hz]	Signal Level [dBSPL]
22.4	85.9
23	86.1
23.6	86.2
24	86.4
25	86.6
25.8	86.8
26.5	86.9
27.2	87
28	87.1
29	87.2
30	87.4
30.7	87.6
31.5	87.8
32.5	88
33.5	88.2
34.5	88.4
35.5	88.6
36.5	88.8
37.5	88.9
38.7	89.1
40	89.3
41.2	89.6
42.5	89.9
43.7	90.1
45	90.4
46.2	90.6
47.5	90.8
48.7	91.1
50	91.4
51.5	91.7
53	92
54.5	92.3
56	92.6
58	92.8
60	93.1
61.5	93.4
63	93.8
65	94.1
67	94.4
69	94.7
71	95
73	95.3
75	95.6
77.5	96
80	96.2
82.5	96.6
85	96.9
87.5	97.2
90	97.5
92.5	97.8
95	98.1
97.5	98.4
100	98.6
103	98.9
106	99.2
109	99.4
112	99.6
115	99.9
118	100.1
122	100.3
125	100.5
128	100.6
132	100.8
136	100.9
140	101
145	101.1
150	101.2
155	101.2
160	101.2
165	101.2
170	101.2
175	101.1
180	101.1
185	101
190	100.9
195	100.8
200	100.7
206	100.7
212	100.6
218	100.5
224	100.5
230	100.5
236	100.5
240	100.5
250	100.5
258	100.5
265	100.5
272	100.4
280	100.3
290	100.1
300	99.9
307	99.6
315	99.4
325	99.1
335	98.8
345	98.7
355	98.6
365	98.6
375	98.9
387	99.2
400	99.7
412	100.1
425	100.4
437	100.6
450	100.7
462	100.7
475	100.6
487	100.5
500	100.4
515	100.3
530	100.4
545	100.4
560	100.6
580	100.4
600	99.6
615	98.3
630	96.4
650	94
670	90.5
690	86.8
710	88.6
730	92.6
750	95.5
775	97.6
800	98.8
825	99.2
850	99
875	98.8
900	99
925	99.6
950	99.6
975	99
1000	97.8
1030	96.4
1060	96.1
1090	97.8
1120	98.8
1150	98.9
1180	97.7
1220	94.7
1250	92.9
1280	93.4
1320	94.5
1360	95.6
1400	96.5
1450	96.9
1500	94.7
1550	88
1600	90.1
1650	95.8
1700	97.5
1750	96.6
1800	95.1
1850	91.7
1900	92
1950	94.5
2000	93.1
2060	91.8
2120	92.7
2180	91.6
2240	87.4
2300	82.4
2360	87.6
2400	89.4
2500	85.8
2580	84.4
2650	89.8
2720	90.4
2800	84.4
2900	88.3
3000	90.9
3070	88.7
3150	85.1
3250	87.2
3350	87.5
3450	87.1
3550	87.4
3650	90.2
3750	90.6
3870	89.4
4000	90.1
4120	88.8
4250	87.9
4370	86.3
4500	88.4
4620	90.9
4750	90.4
4870	89.7
5000	86.1
5150	84.3
5300	85.9
5450	88.5
5600	87
5800	83.4
6000	82.9
6150	86
6300	88.5
6500	88.8
6700	89.7
6900	89.2
7100	86.6
7300	83.5
7500	82.3
7750	84.7
8000	90.1
8250	90.2
8500	89.7
8750	90.4
9000	86.5
9250	83.1
9500	84.8
9750	89.5
10000	89.2
10300	86.2
10600	79.3
10900	86.6
11200	87
11500	90.4
11800	86
12200	84.8
12500	87.6
12800	91.2
13200	87
13600	86.5
14000	91.4
14500	83.7
15000	73.9
15500	82.4
16000	91.6
16500	90.6
17000	80.3
17500	80.1
18000	74.2
18500	69.6
19000	69.4
19500	70.6
20000	56.2
20600	55.6
21200	57.4
21800	64.7
22400	47.2
