Frequency Spectrum for Input Signal

Data Shown:    Mitus152A (FBT)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 170°

Freq [Hz]	Signal Level [dBSPL]
22.4	51
23	51.5
23.6	53.7
24	59.6
25	62.4
25.8	64.2
26.5	65.6
27.2	66.8
28	70.3
29	73.1
30	74.9
30.7	76.1
31.5	77.7
32.5	80.7
33.5	82.7
34.5	84
35.5	85.2
36.5	86.7
37.5	87.9
38.7	88.8
40	89.4
41.2	89.3
42.5	89.2
43.7	89.4
45	91.3
46.2	92.8
47.5	94
48.7	95.2
50	96.2
51.5	96.9
53	97.7
54.5	98.4
56	99.1
58	99.9
60	100.1
61.5	99.6
63	99
65	98.5
67	98.2
69	98.2
71	98.3
73	97.6
75	96.9
77.5	97
80	96.7
82.5	95.6
85	95.5
87.5	95.9
90	95.7
92.5	95.7
95	95.7
97.5	94.5
100	93.3
103	92.6
106	92.4
109	92.8
112	93
115	92.7
118	92.4
122	93.1
125	92.9
128	93
132	91.6
136	92
140	93.3
145	94.3
150	94.6
155	92.7
160	91.7
165	91
170	91
175	92.8
180	93.5
185	92.4
190	92.6
195	93.6
200	91.3
206	87.9
212	89.3
218	91.7
224	89.1
230	90.8
236	92.8
240	93.1
250	92.9
258	93.6
265	94.2
272	93
280	92.3
290	92.9
300	91.3
307	89.1
315	88.9
325	88.6
335	88.2
345	87.8
355	87.4
365	87.1
375	86.8
387	86.5
400	86.1
412	86
425	86
437	86.2
450	86.4
462	86.6
475	86.9
487	87.2
500	87.5
515	87.6
530	87.5
545	87.5
560	87.4
580	87
600	86.4
615	85.7
630	84.8
650	83.7
670	82.6
690	81.5
710	80.3
730	79.4
750	78.7
775	78.3
800	78.3
825	78.5
850	79
875	79.7
900	80.2
925	80.8
950	81
975	81.1
1000	80.6
1030	79.5
1060	78.1
1090	76.7
1120	75.5
1150	74.3
1180	72.6
1220	70
1250	66.7
1280	63.3
1320	59.4
1360	53.6
1400	58.1
1450	62.4
1500	65.9
1550	69
1600	70.8
1650	71.6
1700	72.5
1750	73.8
1800	74.1
1850	73.3
1900	72.9
1950	72.7
2000	71.9
2060	71
2120	69.8
2180	67.2
2240	66.9
2300	68.5
2360	69.1
2400	69.8
2500	69.8
2580	69.9
2650	70.4
2720	71.1
2800	70.8
2900	69.1
3000	68.8
3070	68.6
3150	69.3
3250	69.1
3350	68.5
3450	68.4
3550	68.8
3650	67.2
3750	64.8
3870	63.3
4000	62.4
4120	61.4
4250	61.2
4370	61.6
4500	61.8
4620	63
4750	61.7
4870	60.6
5000	60.8
5150	59.8
5300	57.6
5450	56.4
5600	58.3
5800	57.4
6000	57.3
6150	56.8
6300	54.5
6500	53.5
6700	58.3
6900	61.2
7100	63
7300	62.7
7500	63.5
7750	64.1
8000	63.4
8250	66
8500	64.1
8750	62.1
9000	64.7
9250	62.8
9500	61.1
9750	59.6
10000	57.5
10300	58.9
10600	56.7
10900	55.7
11200	61.4
11500	59.6
11800	61.5
12200	64.6
12500	61.4
12800	62.1
13200	60.8
13600	70.4
14000	70.5
14500	69.8
15000	68.8
15500	64.3
16000	62.3
16500	60.4
17000	64.3
17500	59.7
18000	63.5
18500	62
19000	48.9
19500	56.8
20000	44.4
20600	44.3
21200	40.4
21800	39
22400	35.1
