Frequency Spectrum for Input Signal

Data Shown:    Mitus152A (FBT)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 20°  

Freq [Hz]	Signal Level [dBSPL]
22.4	48.1
23	48.5
23.6	50.6
24	56.4
25	59.2
25.8	61
26.5	62.2
27.2	63.3
28	66.8
29	69.4
30	71.1
30.7	72.4
31.5	74
32.5	77
33.5	79
34.5	80.4
35.5	81.6
36.5	83.1
37.5	84.4
38.7	85.4
40	86
41.2	86.1
42.5	86.2
43.7	86.6
45	88.7
46.2	90.4
47.5	91.7
48.7	93.1
50	94.4
51.5	95.5
53	96.6
54.5	97.5
56	98.6
58	99.5
60	100.1
61.5	99.9
63	99.7
65	99.6
67	99.5
69	99.9
71	100.3
73	99.9
75	99.5
77.5	99.9
80	99.9
82.5	99
85	99.1
87.5	99.8
90	99.8
92.5	99.9
95	100.2
97.5	99.1
100	98.1
103	97.5
106	97.4
109	98.1
112	98.4
115	98.2
118	98.1
122	98.9
125	98.8
128	99.1
132	97.8
136	98.3
140	99.8
145	100.9
150	101.4
155	99.6
160	98.7
165	98
170	98
175	99.9
180	100.5
185	99.5
190	99.6
195	100.5
200	98.1
206	94.6
212	95.9
218	98.2
224	95.4
230	97
236	98.9
240	99
250	98.8
258	99.5
265	100.1
272	99
280	98.5
290	99.4
300	98.1
307	96.4
315	96.7
325	97.1
335	97.5
345	97.9
355	98.4
365	98.9
375	99.3
387	99.6
400	99.7
412	99.7
425	99.7
437	99.7
450	99.5
462	99.1
475	98.8
487	98.5
500	98.3
515	98
530	97.8
545	97.8
560	97.8
580	97.6
600	97.4
615	97.3
630	96.9
650	96.4
670	95.8
690	95.2
710	94.5
730	94
750	93.8
775	93.8
800	94.1
825	94.5
850	95
875	95.6
900	96
925	96.4
950	96.5
975	96.5
1000	96.1
1030	95.3
1060	94.4
1090	93.7
1120	93.5
1150	93.6
1180	93.6
1220	93.3
1250	92.7
1280	92.3
1320	91.9
1360	91.5
1400	90.7
1450	90
1500	89.9
1550	90
1600	89.4
1650	88.2
1700	87.6
1750	87.7
1800	87.3
1850	86.4
1900	86.4
1950	87.1
2000	87.3
2060	87.7
2120	87.9
2180	86.7
2240	87.8
2300	90.5
2360	92.2
2400	93.8
2500	94.4
2580	94.9
2650	95.6
2720	96.3
2800	95.9
2900	93.9
3000	93.4
3070	92.9
3150	93.4
3250	93.2
3350	92.9
3450	93.4
3550	94.5
3650	94
3750	92.8
3870	92.7
4000	93.2
4120	93.5
4250	94.3
4370	95.3
4500	96
4620	97.3
4750	96
4870	95
5000	95.3
5150	94.7
5300	92.9
5450	92.4
5600	95.2
5800	95.2
6000	96.1
6150	96.3
6300	94.3
6500	92.9
6700	96.9
6900	98.4
7100	99
7300	97.5
7500	97.4
7750	97.5
8000	96.5
8250	99.1
8500	97.7
8750	96.3
9000	99.9
9250	99.2
9500	98.8
9750	98.7
10000	97.9
10300	100
10600	97.6
10900	95.9
11200	100.4
11500	97.1
11800	97.7
12200	99.6
12500	95.4
12800	95.4
13200	93.7
13600	103
14000	102.9
14500	102.1
15000	101.2
15500	96.7
16000	94.7
16500	92.8
17000	96.6
17500	91.8
18000	95.3
18500	93.5
19000	79.8
19500	86.8
20000	72.8
20600	72.6
21200	68.7
21800	67.3
22400	63.5
