Frequency Spectrum for Input Signal

Data Shown:    ProMaxX 114 (FBT)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 150°

Freq [Hz]	Signal Level [dBSPL]
22.4	73.2
23	73.4
23.6	73.6
24	73.7
25	73.9
25.8	74
26.5	74.1
27.2	74.2
28	74.3
29	74.4
30	74.5
30.7	74.6
31.5	74.6
32.5	74.7
33.5	74.8
34.5	74.8
35.5	74.8
36.5	74.9
37.5	74.9
38.7	75
40	75.1
41.2	75.4
42.5	76
43.7	76.8
45	77.9
46.2	79.2
47.5	80.6
48.7	82
50	83.4
51.5	84.8
53	86.1
54.5	87.3
56	88.4
58	89.3
60	90
61.5	90.6
63	91.2
65	91.8
67	92.4
69	93.2
71	93.9
73	94.6
75	95.3
77.5	95.9
80	96.3
82.5	96.7
85	97.2
87.5	97.7
90	98.2
92.5	98.8
95	99.3
97.5	99.7
100	100.1
103	100.3
106	100.6
109	100.8
112	100.9
115	101.1
118	101.3
122	101.4
125	101.4
128	101.4
132	101.3
136	101.2
140	101.1
145	101.1
150	101.2
155	101.3
160	101.4
165	101.5
170	101.5
175	101.5
180	101.5
185	101.4
190	101.4
195	101.4
200	101.3
206	101.1
212	101
218	100.8
224	100.6
230	100.4
236	100.3
240	100.3
250	100.3
258	100.4
265	100.4
272	100.4
280	100.3
290	100
300	99.7
307	99.2
315	98.6
325	97.9
335	97.1
345	96.2
355	95.4
365	94.6
375	94
387	93.6
400	93.4
412	93.3
425	93.2
437	93.2
450	93.2
462	93.1
475	93.1
487	92.9
500	92.5
515	91.8
530	90.9
545	89.9
560	89.2
580	89
600	89.2
615	89.6
630	89.9
650	89.9
670	89.3
690	88.3
710	86.8
730	85.3
750	84.3
775	84.1
800	84.5
825	84.7
850	84.1
875	82.9
900	82.7
925	84.5
950	86.8
975	88.4
1000	89.1
1030	89.1
1060	88.7
1090	88.4
1120	88.3
1150	88
1180	87.3
1220	86.1
1250	84.8
1280	84.1
1320	83.7
1360	82.9
1400	81.6
1450	80.4
1500	80.9
1550	82.1
1600	82.4
1650	81.7
1700	80.8
1750	80.6
1800	80.9
1850	81.3
1900	81.5
1950	81.3
2000	81
2060	80.4
2120	80.1
2180	80.9
2240	81.4
2300	81.2
2360	80.3
2400	78.3
2500	76.4
2580	75
2650	74.7
2720	74.6
2800	74.4
2900	74.5
3000	75.5
3070	76.5
3150	76.9
3250	77.1
3350	76
3450	75.2
3550	74.6
3650	73.9
3750	74.2
3870	74.2
4000	74.8
4120	74.3
4250	73
4370	71.9
4500	70.8
4620	70.7
4750	71.6
4870	72.3
5000	72.6
5150	72.8
5300	72.7
5450	72.1
5600	71.1
5800	70
6000	68.8
6150	67.7
6300	68.5
6500	70.2
6700	70.4
6900	69.9
7100	68.9
7300	67.2
7500	67.2
7750	68.9
8000	70.9
8250	70.5
8500	69.8
8750	68.7
9000	67.9
9250	69.4
9500	70.1
9750	69.6
10000	68.5
10300	66.6
10600	65.9
10900	65.4
11200	64.5
11500	63.2
11800	62
12200	62
12500	62.2
12800	61.5
13200	60.4
13600	59.7
14000	60.5
14500	61.4
15000	62.1
15500	61.4
16000	61.2
16500	59.8
17000	57.1
17500	55.7
18000	53.8
18500	54
19000	52.7
19500	49.5
20000	49.3
20600	49.4
21200	50.4
21800	48
22400	45.1
