Frequency Spectrum for Input Signal

Data Shown:    CCX1565 (Fulcrum Acoustic, LLC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 50°

Freq [Hz]	Signal Level [dBSPL]
22.4	22.2
23	22.8
23.6	23.7
24	26.3
25	28.2
25.8	30
26.5	31.6
27.2	33.1
28	34.5
29	35.9
30	37.7
30.7	40.5
31.5	43
32.5	45.2
33.5	47
34.5	48.7
35.5	50.4
36.5	53.1
37.5	55.4
38.7	57.4
40	59
41.2	60.6
42.5	62.7
43.7	64.8
45	66.5
46.2	68
47.5	69.5
48.7	71.5
50	73.3
51.5	74.9
53	76.3
54.5	78
56	79.6
58	81.1
60	82.6
61.5	84.1
63	85.4
65	86.6
67	87.9
69	89.2
71	90.4
73	91.4
75	92.3
77.5	93.1
80	93.7
82.5	94.3
85	94.9
87.5	95.4
90	95.7
92.5	96
95	96.1
97.5	96.4
100	96.6
103	96.8
106	96.9
109	97.2
112	97.4
115	97.4
118	97.5
122	97.6
125	97.6
128	97.5
132	97.5
136	97.5
140	97.5
145	97.5
150	97.4
155	97.4
160	97.5
165	97.5
170	97.5
175	97.5
180	97.5
185	97.6
190	97.6
195	97.6
200	97.6
206	97.7
212	97.7
218	97.7
224	97.7
230	97.7
236	97.7
240	97.6
250	97.5
258	97.4
265	97.2
272	97.1
280	96.9
290	96.7
300	96.5
307	96.3
315	96.1
325	96
335	95.8
345	95.7
355	95.6
365	95.6
375	95.6
387	95.6
400	95.5
412	95.4
425	95.3
437	95.1
450	95
462	94.9
475	94.9
487	94.8
500	94.9
515	95
530	95.1
545	95.2
560	95.3
580	95.3
600	95.2
615	95.1
630	95.1
650	95
670	95
690	95
710	94.9
730	94.7
750	94.3
775	93.7
800	93.4
825	93
850	92.6
875	92.1
900	91.4
925	90.8
950	90.3
975	89.8
1000	89
1030	87.8
1060	86.4
1090	85.6
1120	85.1
1150	84.6
1180	84.1
1220	83.9
1250	83.7
1280	83.4
1320	83.2
1360	83.4
1400	83.4
1450	83.3
1500	83.3
1550	83.4
1600	83.5
1650	83.6
1700	83.9
1750	84.1
1800	84.3
1850	84.4
1900	84.6
1950	84.8
2000	85.1
2060	85.4
2120	85.9
2180	86.2
2240	86.4
2300	86.5
2360	86.6
2400	86.9
2500	87.3
2580	87.6
2650	87.6
2720	87.1
2800	86.5
2900	86
3000	85.8
3070	85.7
3150	85.5
3250	85
3350	84.3
3450	84
3550	84.4
3650	84.9
3750	85.4
3870	85.9
4000	86
4120	85.8
4250	85.9
4370	86.4
4500	86.8
4620	86.5
4750	86.1
4870	85.9
5000	85.5
5150	84.6
5300	83.6
5450	83.1
5600	83
5800	83.2
6000	83.4
6150	83.8
6300	84
6500	84.1
6700	84.4
6900	84.8
7100	84.8
7300	84.6
7500	84.4
7750	84.3
8000	84.4
8250	84.5
8500	84.5
8750	84.6
9000	84.2
9250	83.7
9500	83.4
9750	83.2
10000	83
10300	83.1
10600	83.1
10900	82.8
11200	82.7
11500	82.3
11800	81.7
12200	81.5
12500	81.6
12800	81.2
13200	79.9
13600	78.7
14000	78.2
14500	79.6
15000	80
15500	78.7
16000	77
16500	75.9
17000	76.1
17500	74.9
18000	75.4
18500	75.1
19000	68.5
19500	70.9
20000	72.2
20600	69.1
21200	63.3
21800	60.1
22400	55.1
