Frequency Spectrum for Input Signal

Data Shown:    CCX1577 (Fulcrum Acoustic, LLC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 30°  

Freq [Hz]	Signal Level [dBSPL]
22.4	30.4
23	31.1
23.6	32.2
24	35.1
25	37.2
25.8	39
26.5	40.6
27.2	42
28	43.3
29	44.5
30	46.1
30.7	48.5
31.5	50.6
32.5	52.2
33.5	53.7
34.5	55
35.5	56.4
36.5	58.7
37.5	60.7
38.7	62.3
40	63.7
41.2	65
42.5	66.8
43.7	68.6
45	70.1
46.2	71.5
47.5	72.8
48.7	74.6
50	76.2
51.5	77.6
53	79
54.5	80.4
56	81.8
58	83.3
60	84.6
61.5	85.9
63	87.1
65	88.2
67	89.3
69	90.5
71	91.5
73	92.4
75	93.2
77.5	93.9
80	94.5
82.5	95.1
85	95.7
87.5	96.2
90	96.6
92.5	96.9
95	97.1
97.5	97.4
100	97.7
103	98
106	98.2
109	98.5
112	98.7
115	98.9
118	99
122	99.1
125	99.1
128	99
132	99
136	99
140	98.9
145	98.7
150	98.6
155	98.4
160	98.3
165	98.2
170	98.1
175	98
180	97.9
185	97.9
190	97.8
195	97.7
200	97.6
206	97.7
212	97.7
218	97.7
224	97.8
230	97.9
236	97.9
240	98
250	98
258	98
265	97.9
272	97.8
280	97.6
290	97.5
300	97.3
307	97.2
315	97
325	96.8
335	96.7
345	96.7
355	96.7
365	96.9
375	97
387	97.2
400	97.3
412	97.4
425	97.4
437	97.3
450	97.2
462	97
475	96.8
487	96.5
500	96.4
515	96.4
530	96.4
545	96.5
560	96.6
580	96.6
600	96.5
615	96.4
630	96.3
650	96.3
670	96.5
690	96.6
710	96.7
730	96.6
750	96.4
775	96.1
800	96.2
825	96.4
850	96.5
875	96.4
900	96.2
925	96.5
950	97
975	97.2
1000	96.9
1030	96.1
1060	95.5
1090	95.3
1120	95.1
1150	95.2
1180	95.6
1220	95.4
1250	95
1280	94.9
1320	94.9
1360	94.7
1400	94.7
1450	94.9
1500	94.7
1550	94.2
1600	94
1650	93.9
1700	94.1
1750	94.6
1800	95.2
1850	95.6
1900	95.9
1950	95.9
2000	96
2060	96
2120	96
2180	96.2
2240	96.1
2300	95.7
2360	95.4
2400	95.4
2500	95.8
2580	96.4
2650	96.5
2720	96
2800	95.2
2900	94.7
3000	94.6
3070	94.9
3150	95
3250	94.6
3350	94.2
3450	94.6
3550	94.6
3650	94.1
3750	93.8
3870	93.8
4000	93.8
4120	93.9
4250	93.8
4370	93.8
4500	93.5
4620	92.9
4750	92.6
4870	92.8
5000	93.3
5150	93.5
5300	93.3
5450	93.6
5600	94.3
5800	95.1
6000	95.5
6150	95.9
6300	96.1
6500	96.1
6700	96.2
6900	95.8
7100	94.8
7300	94.9
7500	95.2
7750	95
8000	94.6
8250	93.8
8500	93
8750	92.6
9000	92.8
9250	92.9
9500	92.9
9750	93.7
10000	94.4
10300	94.9
10600	95
10900	95.2
11200	95.5
11500	95.3
11800	93.7
12200	92.8
12500	93.1
12800	93
13200	91.4
13600	89.6
14000	88.7
14500	88.1
15000	88.2
15500	89.7
16000	90.2
16500	89.6
17000	89.8
17500	87.8
18000	85.7
18500	82.1
19000	82.3
19500	76
20000	73.1
20600	71.8
21200	72.7
21800	71
22400	64.4
