Frequency Spectrum for Input Signal

Data Shown:    DX1526 (Fulcrum Acoustic, LLC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 60°

Freq [Hz]	Signal Level [dBSPL]
22.4	54.4
23	55.8
23.6	57
24	58.1
25	59.2
25.8	62.6
26.5	65.6
27.2	67.9
28	69.8
29	71.4
30	72.8
30.7	75
31.5	77.9
32.5	80.2
33.5	82
34.5	83.6
35.5	85.1
36.5	86.9
37.5	88.5
38.7	89.8
40	91
41.2	92.2
42.5	93.2
43.7	94.1
45	95
46.2	95.7
47.5	96.1
48.7	96.5
50	96.9
51.5	97.2
53	97.5
54.5	97.8
56	98.1
58	98.5
60	98.8
61.5	99.1
63	99.3
65	99.5
67	99.8
69	100.1
71	100.4
73	100.7
75	100.9
77.5	101.1
80	101.2
82.5	101.2
85	101.3
87.5	101.4
90	101.4
92.5	101.4
95	101.3
97.5	101.3
100	101.3
103	101.3
106	101.4
109	101.4
112	101.4
115	101.3
118	101.2
122	101.2
125	101.1
128	101.1
132	101
136	101
140	101
145	100.9
150	100.8
155	100.8
160	100.8
165	100.7
170	100.7
175	100.7
180	100.6
185	100.6
190	100.5
195	100.3
200	100.3
206	100.2
212	100.1
218	100.1
224	100
230	100
236	100
240	100
250	99.9
258	99.8
265	99.7
272	99.6
280	99.4
290	99.2
300	99
307	98.7
315	98.5
325	98.3
335	98.1
345	98
355	97.9
365	97.9
375	97.8
387	97.8
400	97.8
412	97.8
425	97.7
437	97.6
450	97.6
462	97.4
475	97.4
487	97.3
500	97.2
515	97.1
530	96.9
545	96.7
560	96.4
580	96.1
600	95.7
615	95.3
630	95
650	94.9
670	94.9
690	95
710	95.1
730	95.2
750	95.5
775	95.8
800	96.3
825	96.6
850	96.6
875	96.1
900	95.5
925	95.2
950	95
975	94.4
1000	93.8
1030	93.7
1060	93.8
1090	93.8
1120	93.6
1150	93.6
1180	93.7
1220	93.4
1250	92.8
1280	91.8
1320	91.3
1360	91.5
1400	91.9
1450	92.5
1500	93.2
1550	93.5
1600	93.5
1650	93.8
1700	94.2
1750	94.2
1800	93.8
1850	93.7
1900	94.6
1950	94.5
2000	93.7
2060	93.3
2120	93.3
2180	93.4
2240	93.3
2300	93.3
2360	93.3
2400	93.4
2500	93.3
2580	93.1
2650	92.6
2720	92.3
2800	92.2
2900	92.7
3000	93.5
3070	93.9
3150	93
3250	91.2
3350	90.6
3450	92.2
3550	93.6
3650	93.5
3750	92.9
3870	92.9
4000	93
4120	93.4
4250	94
4370	94.4
4500	94.9
4620	95.4
4750	95.7
4870	95.8
5000	95.1
5150	93.3
5300	90.4
5450	90.3
5600	93.3
5800	95.8
6000	97
6150	97
6300	96.5
6500	96.5
6700	96.6
6900	95.8
7100	94.3
7300	94.3
7500	96
7750	97.6
8000	99.1
8250	99.9
8500	99.4
8750	98
9000	95.1
9250	94.4
9500	97.4
9750	99.1
10000	98.7
10300	95.8
10600	93.6
10900	95.9
11200	98.7
11500	100
11800	98.3
12200	92.4
12500	85
12800	92.8
13200	94.2
13600	91.2
14000	87.3
14500	88
15000	90.2
15500	90.1
16000	84.8
16500	83
17000	86.6
17500	87.1
18000	84.9
18500	84
19000	83.4
19500	80.7
20000	77.5
20600	77.3
21200	75.7
21800	71.9
22400	72.6
