Frequency Spectrum for Input Signal

Data Shown:    GX1200 (Fulcrum Acoustic, LLC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 10°

Freq [Hz]	Signal Level [dBSPL]
22.4	32
23	33.3
23.6	34.5
24	35.5
25	36.7
25.8	40.7
26.5	43.9
27.2	46.2
28	48.1
29	49.7
30	51
30.7	53.6
31.5	56.9
32.5	59.4
33.5	61.4
34.5	63.1
35.5	64.9
36.5	67.9
37.5	70.2
38.7	72.1
40	73.7
41.2	75.9
42.5	78.4
43.7	80.4
45	82.1
46.2	83.7
47.5	85.3
48.7	86.7
50	88
51.5	89.1
53	90.1
54.5	91.1
56	92
58	93
60	93.8
61.5	94.5
63	94.9
65	95.4
67	95.8
69	96.1
71	96.4
73	96.6
75	96.9
77.5	97
80	97.2
82.5	97.4
85	97.5
87.5	97.7
90	97.8
92.5	97.9
95	98
97.5	98
100	98
103	98.1
106	98.1
109	98.2
112	98.3
115	98.3
118	98.3
122	98.3
125	98.2
128	98.2
132	98.1
136	98.1
140	98
145	97.9
150	97.8
155	97.8
160	97.6
165	97.6
170	97.5
175	97.4
180	97.5
185	97.5
190	97.5
195	97.6
200	97.6
206	97.8
212	97.9
218	97.9
224	98
230	98.1
236	98.1
240	98.2
250	98.2
258	98.2
265	98.2
272	98.1
280	98
290	98
300	97.9
307	97.9
315	97.8
325	97.8
335	97.8
345	97.7
355	97.7
365	97.8
375	97.8
387	97.8
400	97.9
412	97.9
425	97.9
437	98
450	97.9
462	97.9
475	97.9
487	97.9
500	97.8
515	97.7
530	97.6
545	97.5
560	97.5
580	97.5
600	97.5
615	97.5
630	97.5
650	97.4
670	97.4
690	97.2
710	97
730	96.9
750	96.8
775	96.8
800	96.8
825	96.7
850	96.8
875	96.7
900	96.8
925	96.9
950	97
975	97
1000	96.9
1030	96.9
1060	97.1
1090	97.3
1120	97.3
1150	97.2
1180	97
1220	96.9
1250	96.8
1280	96.6
1320	96.4
1360	96.3
1400	96.3
1450	96.4
1500	96.6
1550	96.8
1600	96.9
1650	97.1
1700	97.3
1750	97.6
1800	97.8
1850	97.6
1900	97.2
1950	96.8
2000	96.5
2060	96.3
2120	96.3
2180	96.3
2240	96.3
2300	96.4
2360	96.8
2400	97
2500	96.9
2580	96.7
2650	96.7
2720	97.1
2800	97.5
2900	97.4
3000	97
3070	96.9
3150	97
3250	97
3350	96.6
3450	95.8
3550	95.1
3650	94.5
3750	93.8
3870	94.1
4000	94.8
4120	94.8
4250	94.9
4370	95.2
4500	94.9
4620	94.2
4750	94.7
4870	95.5
5000	96
5150	96
5300	95.1
5450	94.5
5600	94.5
5800	94.7
6000	95
6150	95.3
6300	94.2
6500	90.7
6700	89.6
6900	92.5
7100	95.1
7300	96.7
7500	96.6
7750	95.8
8000	95
8250	94.9
8500	94.8
8750	94.3
9000	93.3
9250	94.1
9500	95.7
9750	95.9
10000	95.3
10300	95
10600	94.7
10900	94.7
11200	95
11500	95.3
11800	95.2
12200	95
12500	94.8
12800	94.5
13200	94.8
13600	95.9
14000	96
14500	95.2
15000	94.9
15500	94.9
16000	93.9
16500	94
17000	93.3
17500	92
18000	89.8
18500	87.2
19000	85.9
19500	85.5
20000	81.6
20600	80.2
21200	77.1
21800	76.2
22400	74.4
