Frequency Spectrum for Input Signal

Data Shown:    GX1526 (Fulcrum Acoustic, LLC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 120°  

Freq [Hz]	Signal Level [dBSPL]
22.4	48.1
23	49.8
23.6	51.4
24	52.7
25	53.9
25.8	55.8
26.5	58.1
27.2	60
28	61.7
29	63.2
30	64.5
30.7	66.5
31.5	69
32.5	70.9
33.5	72.5
34.5	73.9
35.5	75.3
36.5	77.1
37.5	78.6
38.7	80
40	81.2
41.2	82.6
42.5	84.1
43.7	85.4
45	86.6
46.2	87.6
47.5	88.5
48.7	89.2
50	90
51.5	90.5
53	91
54.5	91.4
56	91.8
58	92.1
60	92.4
61.5	92.6
63	92.8
65	93
67	93.1
69	93.2
71	93.2
73	93.3
75	93.4
77.5	93.5
80	93.6
82.5	93.7
85	93.7
87.5	93.8
90	93.8
92.5	93.8
95	93.8
97.5	93.7
100	93.7
103	93.7
106	93.7
109	93.6
112	93.5
115	93.4
118	93.2
122	93.1
125	92.9
128	92.8
132	92.6
136	92.3
140	92.1
145	91.9
150	91.7
155	91.5
160	91.3
165	91.1
170	90.9
175	90.8
180	90.7
185	90.6
190	90.5
195	90.4
200	90.4
206	90.4
212	90.5
218	90.5
224	90.5
230	90.6
236	90.6
240	90.6
250	90.5
258	90.4
265	90.2
272	89.9
280	89.6
290	89.1
300	88.6
307	88
315	87.4
325	86.8
335	86
345	85.3
355	84.8
365	84.2
375	83.7
387	83.1
400	82.6
412	82.2
425	81.8
437	81.5
450	81.2
462	81
475	80.7
487	80.5
500	80.3
515	80.1
530	79.8
545	79.6
560	79.5
580	79.7
600	80
615	80.5
630	81
650	81.3
670	81.6
690	81.8
710	81.8
730	81.5
750	81.1
775	80.8
800	80.4
825	80.1
850	79.8
875	79.3
900	79.3
925	79.5
950	80
975	80.5
1000	81.1
1030	81.8
1060	82.4
1090	83
1120	83.4
1150	83.8
1180	84.3
1220	84.7
1250	84.9
1280	85
1320	85.1
1360	84.9
1400	83.8
1450	82.1
1500	80.6
1550	79.2
1600	78.1
1650	77
1700	75.2
1750	73.7
1800	72.7
1850	71.9
1900	71.2
1950	70.6
2000	70.1
2060	70.2
2120	70.7
2180	71.1
2240	71.2
2300	71
2360	70.4
2400	69.7
2500	69.1
2580	68.4
2650	67.7
2720	67.3
2800	67.1
2900	67
3000	66.8
3070	66.5
3150	65.1
3250	62.5
3350	60.3
3450	60.1
3550	61.2
3650	61.1
3750	60
3870	58.9
4000	58.2
4120	58.2
4250	58.9
4370	59.8
4500	60.4
4620	60.6
4750	60.6
4870	59.9
5000	58.4
5150	55.4
5300	54.4
5450	57.4
5600	60
5800	61.4
6000	61.4
6150	60.6
6300	59.5
6500	58.5
6700	57.9
6900	57.5
7100	57.7
7300	58.4
7500	59.1
7750	59.1
8000	58.1
8250	56.1
8500	53.5
8750	54.2
9000	58.4
9250	61.6
9500	61
9750	58.2
10000	55
10300	53.7
10600	56.7
10900	58.6
11200	57.5
11500	54.4
11800	55.3
12200	58.8
12500	60.1
12800	58.9
13200	56.9
13600	56.6
14000	56.4
14500	54.3
15000	53
15500	54.3
16000	53.4
16500	50
17000	48.3
17500	49
18000	48.6
18500	47.3
19000	47.4
19500	45.8
20000	40.6
20600	38.5
21200	39.2
21800	39.8
22400	38.4
