Frequency Spectrum for Input Signal

Data Shown:    4010 (GENELEC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 70°  

Freq [Hz]	Signal Level [dBSPL]
22.4	61.9
23	62
23.6	62.2
24	62.4
25	62.6
25.8	62.7
26.5	62.8
27.2	63
28	63.1
29	63.2
30	63.3
30.7	63.3
31.5	63.4
32.5	63.5
33.5	63.6
34.5	63.6
35.5	63.6
36.5	63.7
37.5	63.7
38.7	63.8
40	63.8
41.2	63.8
42.5	63.9
43.7	63.9
45	63.9
46.2	63.9
47.5	64
48.7	64
50	64
51.5	64
53	64
54.5	64
56	64
58	64
60	64
61.5	64
63	64
65	64
67	64
69	64
71	64
73	64
75	64.1
77.5	64.1
80	64.1
82.5	64.1
85	64.1
87.5	64.1
90	64.1
92.5	64.1
95	64.1
97.5	64.1
100	64.1
103	64
106	64
109	63.9
112	63.8
115	63.7
118	63.6
122	63.5
125	63.4
128	63.4
132	63.4
136	63.3
140	63.3
145	63.3
150	63.3
155	63.3
160	63.3
165	63.4
170	63.4
175	63.5
180	63.5
185	63.6
190	63.6
195	63.7
200	63.8
206	63.8
212	63.9
218	64
224	64
230	64.1
236	64.1
240	64.2
250	64.2
258	64.2
265	64.2
272	64.1
280	64
290	63.9
300	63.7
307	63.5
315	63.3
325	63
335	62.7
345	62.3
355	62
365	61.7
375	61.5
387	61.3
400	61.2
412	61.3
425	61.4
437	61.6
450	61.8
462	62
475	62.2
487	62.3
500	62.3
515	62.2
530	62
545	61.7
560	61.4
580	61.1
600	60.8
615	60.5
630	60.3
650	60.2
670	60.2
690	60.2
710	60.3
730	60.4
750	60.6
775	60.7
800	60.9
825	61
850	61.2
875	61.3
900	61.4
925	61.4
950	61.4
975	61.4
1000	61.4
1030	61.3
1060	61.2
1090	61
1120	60.8
1150	60.6
1180	60.3
1220	60.1
1250	59.8
1280	59.6
1320	59.4
1360	59.2
1400	59
1450	58.9
1500	58.8
1550	58.7
1600	58.7
1650	58.8
1700	58.8
1750	58.9
1800	59
1850	59
1900	58.9
1950	58.7
2000	58.4
2060	58
2120	57.4
2180	56.8
2240	56
2300	55
2360	54.1
2400	53
2500	51.9
2580	50.7
2650	49.5
2720	48.4
2800	47.5
2900	46.7
3000	46.2
3070	46
3150	46.2
3250	46.8
3350	47.7
3450	48.9
3550	50.2
3650	51.5
3750	52.8
3870	53.9
4000	54.7
4120	55.2
4250	55.4
4370	55.4
4500	55.2
4620	54.9
4750	54.6
4870	54.4
5000	54.3
5150	54.3
5300	54.5
5450	54.8
5600	55.1
5800	55.5
6000	55.8
6150	56
6300	56.2
6500	56.2
6700	56.1
6900	55.9
7100	55.6
7300	55.4
7500	55.1
7750	54.9
8000	54.7
8250	54.7
8500	54.8
8750	54.9
9000	55.1
9250	55.2
9500	55.4
9750	55.6
10000	55.8
10300	55.8
10600	55.8
10900	55.8
11200	55.7
11500	55.6
11800	55.5
12200	55.4
12500	55.2
12800	55.1
13200	55
13600	54.9
14000	54.8
14500	54.6
15000	54.5
15500	54.4
16000	54.2
16500	54
17000	53.8
17500	53.6
18000	53.4
18500	53.1
19000	52.9
19500	52.6
20000	52.3
20600	52
21200	51.7
21800	51.3
22400	51
