Frequency Spectrum for Input Signal

Data Shown:    4020 (GENELEC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 150°

Freq [Hz]	Signal Level [dBSPL]
22.4	64.2
23	64.4
23.6	64.6
24	64.8
25	64.9
25.8	65
26.5	65.2
27.2	65.3
28	65.4
29	65.5
30	65.6
30.7	65.7
31.5	65.8
32.5	65.8
33.5	65.9
34.5	66
35.5	66
36.5	66
37.5	66.1
38.7	66.1
40	66.2
41.2	66.2
42.5	66.2
43.7	66.2
45	66.3
46.2	66.3
47.5	66.3
48.7	66.3
50	66.3
51.5	66.3
53	66.4
54.5	66.4
56	66.4
58	66.4
60	66.4
61.5	66.4
63	66.4
65	66.4
67	66.4
69	66.4
71	66.4
73	66.4
75	66.4
77.5	66.4
80	66.4
82.5	66.4
85	66.4
87.5	66.4
90	66.4
92.5	66.4
95	66.4
97.5	66.4
100	66.4
103	66.4
106	66.5
109	66.5
112	66.5
115	66.5
118	66.5
122	66.5
125	66.4
128	66.4
132	66.3
136	66.2
140	66.1
145	66
150	65.9
155	65.8
160	65.7
165	65.7
170	65.7
175	65.7
180	65.7
185	65.7
190	65.7
195	65.8
200	65.8
206	65.8
212	65.8
218	65.8
224	65.8
230	65.8
236	65.7
240	65.7
250	65.6
258	65.4
265	65.3
272	65.1
280	64.9
290	64.7
300	64.4
307	64.2
315	63.9
325	63.7
335	63.4
345	63.2
355	63
365	62.8
375	62.7
387	62.6
400	62.6
412	62.6
425	62.7
437	62.9
450	63
462	63
475	63
487	63
500	62.8
515	62.5
530	62
545	61.5
560	61
580	60.4
600	59.9
615	59.4
630	59
650	58.7
670	58.5
690	58.5
710	58.5
730	58.5
750	58.6
775	58.7
800	58.8
825	58.8
850	58.8
875	58.8
900	58.8
925	58.7
950	58.6
975	58.4
1000	58.2
1030	57.9
1060	57.6
1090	57.2
1120	56.8
1150	56.4
1180	55.9
1220	55.4
1250	55
1280	54.5
1320	54
1360	53.6
1400	53.2
1450	52.8
1500	52.4
1550	52.1
1600	51.8
1650	51.5
1700	51.3
1750	51
1800	50.8
1850	50.5
1900	50.2
1950	49.8
2000	49.4
2060	48.8
2120	48.2
2180	47.6
2240	47.1
2300	46.6
2360	46.2
2400	46
2500	46
2580	46.2
2650	46.6
2720	47.2
2800	47.8
2900	48.4
3000	49
3070	49.5
3150	49.8
3250	49.9
3350	49.9
3450	49.7
3550	49.4
3650	49
3750	48.6
3870	48.3
4000	48
4120	47.9
4250	47.8
4370	47.8
4500	47.8
4620	47.9
4750	48
4870	48
5000	48.1
5150	48.1
5300	48.1
5450	48.1
5600	48
5800	48
6000	47.9
6150	47.8
6300	47.8
6500	47.8
6700	47.7
6900	47.7
7100	47.7
7300	47.6
7500	47.5
7750	47.4
8000	47.3
8250	47.1
8500	46.9
8750	46.6
9000	46.4
9250	46.1
9500	45.9
9750	45.7
10000	45.5
10300	45.4
10600	45.2
10900	45.2
11200	45.1
11500	45.1
11800	45
12200	45
12500	45
12800	44.9
13200	44.8
13600	44.7
14000	44.6
14500	44.4
15000	44.3
15500	44.1
16000	43.9
16500	43.7
17000	43.5
17500	43.3
18000	43.1
18500	42.8
19000	42.6
19500	42.3
20000	42
20600	41.7
21200	41.4
21800	41.1
22400	40.7
