Frequency Spectrum for Input Signal

Data Shown:    4020 (GENELEC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 30°  

Freq [Hz]	Signal Level [dBSPL]
22.4	64
23	64.2
23.6	64.4
24	64.6
25	64.7
25.8	64.8
26.5	65
27.2	65.1
28	65.2
29	65.3
30	65.4
30.7	65.5
31.5	65.6
32.5	65.6
33.5	65.7
34.5	65.8
35.5	65.8
36.5	65.8
37.5	65.9
38.7	65.9
40	66
41.2	66
42.5	66
43.7	66
45	66.1
46.2	66.1
47.5	66.1
48.7	66.1
50	66.1
51.5	66.1
53	66.2
54.5	66.2
56	66.2
58	66.2
60	66.2
61.5	66.2
63	66.2
65	66.2
67	66.2
69	66.2
71	66.2
73	66.2
75	66.2
77.5	66.2
80	66.2
82.5	66.2
85	66.2
87.5	66.2
90	66.2
92.5	66.2
95	66.2
97.5	66.2
100	66.2
103	66.3
106	66.3
109	66.3
112	66.4
115	66.4
118	66.5
122	66.5
125	66.6
128	66.6
132	66.6
136	66.6
140	66.6
145	66.6
150	66.6
155	66.6
160	66.6
165	66.6
170	66.6
175	66.6
180	66.6
185	66.6
190	66.6
195	66.6
200	66.6
206	66.6
212	66.6
218	66.6
224	66.6
230	66.6
236	66.6
240	66.6
250	66.5
258	66.5
265	66.4
272	66.3
280	66.2
290	66.1
300	66
307	65.9
315	65.8
325	65.7
335	65.6
345	65.5
355	65.4
365	65.4
375	65.3
387	65.3
400	65.3
412	65.3
425	65.4
437	65.5
450	65.6
462	65.7
475	65.8
487	65.9
500	66
515	66.1
530	66.2
545	66.2
560	66.2
580	66.2
600	66.2
615	66.2
630	66.1
650	66
670	65.9
690	65.8
710	65.7
730	65.6
750	65.4
775	65.3
800	65.2
825	65.1
850	65.1
875	65
900	65
925	64.9
950	64.9
975	64.9
1000	65
1030	65
1060	65
1090	65.1
1120	65.2
1150	65.3
1180	65.3
1220	65.4
1250	65.5
1280	65.6
1320	65.7
1360	65.8
1400	65.9
1450	65.9
1500	66
1550	66
1600	66.1
1650	66.1
1700	66.1
1750	66
1800	66
1850	65.9
1900	65.8
1950	65.6
2000	65.3
2060	65
2120	64.7
2180	64.3
2240	63.9
2300	63.4
2360	63
2400	62.5
2500	62
2580	61.5
2650	61.1
2720	60.6
2800	60.3
2900	59.9
3000	59.7
3070	59.5
3150	59.4
3250	59.4
3350	59.6
3450	59.8
3550	60
3650	60.3
3750	60.6
3870	61
4000	61.3
4120	61.6
4250	61.8
4370	62.1
4500	62.3
4620	62.5
4750	62.6
4870	62.8
5000	62.9
5150	63
5300	63.2
5450	63.2
5600	63.3
5800	63.4
6000	63.5
6150	63.5
6300	63.5
6500	63.5
6700	63.5
6900	63.6
7100	63.6
7300	63.6
7500	63.6
7750	63.6
8000	63.6
8250	63.7
8500	63.7
8750	63.8
9000	63.9
9250	64
9500	64
9750	64.1
10000	64.1
10300	64.1
10600	64.1
10900	64
11200	64
11500	63.9
11800	63.8
12200	63.7
12500	63.6
12800	63.5
13200	63.4
13600	63.2
14000	63.1
14500	63
15000	62.8
15500	62.7
16000	62.5
16500	62.3
17000	62.1
17500	61.9
18000	61.7
18500	61.4
19000	61.2
19500	60.9
20000	60.6
20600	60.3
21200	60
21800	59.6
22400	59.3
