Frequency Spectrum for Input Signal

Data Shown:    4040 (GENELEC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 100°

Freq [Hz]	Signal Level [dBSPL]
22.4	72.5
23	72.7
23.6	72.9
24	73.1
25	73.2
25.8	73.4
26.5	73.5
27.2	73.6
28	73.7
29	73.8
30	73.9
30.7	74
31.5	74.1
32.5	74.2
33.5	74.2
34.5	74.3
35.5	74.3
36.5	74.4
37.5	74.4
38.7	74.4
40	74.5
41.2	74.5
42.5	74.5
43.7	74.6
45	74.6
46.2	74.6
47.5	74.6
48.7	74.6
50	74.6
51.5	74.7
53	74.7
54.5	74.7
56	74.7
58	74.7
60	74.7
61.5	74.7
63	74.7
65	74.7
67	74.7
69	74.7
71	74.7
73	74.7
75	74.7
77.5	74.7
80	74.7
82.5	74.8
85	74.8
87.5	74.9
90	74.9
92.5	75
95	74.9
97.5	74.9
100	74.8
103	74.6
106	74.4
109	74.1
112	73.8
115	73.5
118	73.2
122	72.9
125	72.6
128	72.3
132	72.1
136	71.9
140	71.7
145	71.5
150	71.4
155	71.3
160	71.2
165	71.2
170	71.1
175	71.1
180	71
185	71
190	71
195	71.1
200	71.1
206	71.1
212	71.1
218	71.2
224	71.2
230	71.2
236	71.1
240	71
250	70.9
258	70.8
265	70.6
272	70.4
280	70.1
290	69.8
300	69.5
307	69.2
315	68.8
325	68.5
335	68.1
345	67.8
355	67.5
365	67.3
375	67.2
387	67.2
400	67.4
412	67.7
425	68.1
437	68.6
450	69.1
462	69.6
475	70.1
487	70.6
500	70.8
515	71
530	71
545	71
560	70.8
580	70.6
600	70.3
615	70
630	69.8
650	69.5
670	69.3
690	69.1
710	69
730	68.8
750	68.7
775	68.6
800	68.4
825	68.3
850	68.2
875	68
900	67.9
925	67.7
950	67.4
975	67.2
1000	66.9
1030	66.6
1060	66.2
1090	65.8
1120	65.4
1150	64.9
1180	64.5
1220	64
1250	63.5
1280	63.1
1320	62.6
1360	62.2
1400	61.8
1450	61.4
1500	61
1550	60.7
1600	60.5
1650	60.2
1700	60.1
1750	60
1800	59.8
1850	59.8
1900	59.7
1950	59.6
2000	59.4
2060	59.3
2120	59.2
2180	59
2240	58.8
2300	58.6
2360	58.3
2400	58.1
2500	57.8
2580	57.5
2650	57.3
2720	57
2800	56.8
2900	56.6
3000	56.4
3070	56.3
3150	56.2
3250	56.2
3350	56.3
3450	56.4
3550	56.6
3650	56.8
3750	57
3870	57.3
4000	57.6
4120	57.9
4250	58.2
4370	58.6
4500	58.8
4620	59.1
4750	59.4
4870	59.6
5000	59.8
5150	59.9
5300	60
5450	60
5600	60
5800	60
6000	59.9
6150	59.8
6300	59.7
6500	59.5
6700	59.4
6900	59.2
7100	59
7300	58.8
7500	58.7
7750	58.5
8000	58.4
8250	58.3
8500	58.3
8750	58.2
9000	58.2
9250	58.2
9500	58.2
9750	58.2
10000	58.2
10300	58.2
10600	58.1
10900	58
11200	58
11500	57.9
11800	57.8
12200	57.7
12500	57.7
12800	57.6
13200	57.5
13600	57.4
14000	57.2
14500	57.1
15000	57
15500	56.8
16000	56.6
16500	56.4
17000	56.2
17500	56
18000	55.8
18500	55.6
19000	55.3
19500	55
20000	54.8
20600	54.4
21200	54.1
21800	53.8
22400	53.4
