Frequency Spectrum for Input Signal

Data Shown:    8351B (GENELEC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 70°

Freq [Hz]	Signal Level [dBSPL]
22.4	67.4
23	67.6
23.6	67.8
24	67.9
25	69.9
25.8	71.6
26.5	72.8
27.2	73.9
28	74.7
29	75.4
30	76.1
30.7	76.6
31.5	77.2
32.5	77.6
33.5	78
34.5	78.4
35.5	78.8
36.5	79.2
37.5	79
38.7	78.5
40	78.2
41.2	77.9
42.5	77.6
43.7	77.4
45	77.3
46.2	77.1
47.5	77
48.7	76.9
50	76.7
51.5	76.6
53	76.5
54.5	76.3
56	76.2
58	76.1
60	76
61.5	75.9
63	75.8
65	75.7
67	75.6
69	75.5
71	75.5
73	75.4
75	75.4
77.5	75.4
80	75.4
82.5	75.4
85	75.4
87.5	75.4
90	75.3
92.5	75.3
95	75.3
97.5	75.3
100	75.2
103	75.2
106	75.2
109	75.2
112	75.2
115	75.2
118	75.1
122	75
125	75
128	74.9
132	74.8
136	74.8
140	74.8
145	74.8
150	74.8
155	74.7
160	74.7
165	74.6
170	74.5
175	74.4
180	74.4
185	74.3
190	74.3
195	74.3
200	74.3
206	74.2
212	74.1
218	73.9
224	73.7
230	73.6
236	73.6
240	73.6
250	73.8
258	73.9
265	73.9
272	73.8
280	73.7
290	73.6
300	73.5
307	73.5
315	73.6
325	73.6
335	73.5
345	73.4
355	73.3
365	73.2
375	73.4
387	73.5
400	73.2
412	73.1
425	73.2
437	73.3
450	73.3
462	72.9
475	72.9
487	72.9
500	73.2
515	73.2
530	72.8
545	72.9
560	72.8
580	72.1
600	71.6
615	71.2
630	70.7
650	70.6
670	70.8
690	70.5
710	70.4
730	71
750	70.6
775	70.1
800	70
825	69.5
850	69.5
875	69.5
900	70
925	70.3
950	70.1
975	70
1000	70
1030	69.8
1060	69.1
1090	68.8
1120	68.2
1150	68.3
1180	68.4
1220	68.2
1250	68
1280	67.7
1320	68.2
1360	68.2
1400	67.7
1450	67.6
1500	68
1550	68
1600	67.9
1650	67.8
1700	67.8
1750	67.3
1800	67.2
1850	67.7
1900	67.9
1950	68
2000	67.6
2060	67.9
2120	67.8
2180	67.2
2240	66.8
2300	67.3
2360	67.3
2400	66.2
2500	65.4
2580	65.3
2650	65.6
2720	66
2800	65.7
2900	65.7
3000	65.2
3070	65.8
3150	66
3250	65.8
3350	65.9
3450	66.2
3550	66
3650	65.6
3750	65.4
3870	65.3
4000	65.1
4120	65.6
4250	65.6
4370	65.4
4500	65.1
4620	65.2
4750	64.2
4870	64
5000	63.5
5150	63.3
5300	63.8
5450	63.9
5600	64.1
5800	64.7
6000	65
6150	64.5
6300	64.4
6500	64.5
6700	64
6900	63.8
7100	63.5
7300	62.7
7500	62.6
7750	63.9
8000	64
8250	64.9
8500	64.5
8750	64.6
9000	64.9
9250	64.8
9500	64.3
9750	63.8
10000	64.4
10300	64.2
10600	63.6
10900	64
11200	64.7
11500	64.2
11800	64.1
12200	64.3
12500	64.1
12800	62.7
13200	61.6
13600	61.2
14000	61.6
14500	62.6
15000	62.7
15500	62.4
16000	61.5
16500	60.4
17000	59.8
17500	59.4
18000	58.9
18500	58.2
19000	57
19500	55.9
20000	55.3
20600	54.7
21200	53.6
21800	52.6
22400	52
