Frequency Spectrum for Input Signal

Data Shown:    8351B (GENELEC)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 110°  

Freq [Hz]	Signal Level [dBSPL]
22.4	69.8
23	69.6
23.6	69.3
24	69
25	73.4
25.8	76.8
26.5	78.8
27.2	80.2
28	81.3
29	82.2
30	82.9
30.7	83.5
31.5	84.1
32.5	84.6
33.5	85.1
34.5	85.5
35.5	85.9
36.5	86.2
37.5	85.5
38.7	84.1
40	82.9
41.2	81.9
42.5	81
43.7	80.2
45	79.4
46.2	78.6
47.5	77.8
48.7	77.1
50	76.6
51.5	76.4
53	76.2
54.5	76
56	75.9
58	75.7
60	75.5
61.5	75.3
63	75.2
65	75.2
67	75.2
69	75.1
71	75.1
73	75.1
75	75
77.5	75
80	74.9
82.5	74.8
85	74.7
87.5	74.7
90	74.7
92.5	74.8
95	74.8
97.5	74.9
100	74.8
103	74.5
106	74.2
109	73.9
112	73.6
115	73.4
118	73.2
122	73.1
125	72.9
128	72.8
132	72.7
136	72.5
140	72.3
145	72.1
150	71.9
155	71.7
160	71.6
165	71.5
170	71.5
175	71.4
180	71.4
185	71.3
190	71.1
195	71
200	70.8
206	70.6
212	70.4
218	70.1
224	69.9
230	69.7
236	69.4
240	69.1
250	68.6
258	67.9
265	67.2
272	66.6
280	66.3
290	66.4
300	66.4
307	66.3
315	65.9
325	65.3
335	65
345	65.6
355	66.7
365	67.6
375	68.2
387	68.1
400	67.3
412	66.5
425	66.4
437	67.2
450	67.8
462	67.5
475	66.9
487	66.6
500	67
515	67.4
530	67.3
545	68
560	68.9
580	68.3
600	67.9
615	67.9
630	67.1
650	66.4
670	67.3
690	68.2
710	68.4
730	68.9
750	69
775	68.4
800	67.2
825	65
850	63.8
875	62.8
900	63
925	62.5
950	61.3
975	61.8
1000	62.7
1030	62
1060	61
1090	62.4
1120	60.5
1150	59.8
1180	60.1
1220	61.1
1250	62.3
1280	62.6
1320	62.8
1360	60.7
1400	56.9
1450	61.5
1500	60.7
1550	58.4
1600	58.8
1650	60.8
1700	56.5
1750	59.2
1800	59.4
1850	57.9
1900	59.9
1950	63.3
2000	58.4
2060	57.6
2120	59.7
2180	56.6
2240	59.4
2300	58
2360	60.2
2400	57.6
2500	57
2580	57.9
2650	55.2
2720	59
2800	53
2900	56.1
3000	55.6
3070	55.8
3150	56.6
3250	54.4
3350	55.5
3450	53.3
3550	52.5
3650	54.2
3750	51.5
3870	55.1
4000	52.5
4120	57.1
4250	50.2
4370	55.9
4500	53
4620	55.7
4750	55.1
4870	55
5000	55.2
5150	54.5
5300	52.8
5450	50.3
5600	49.5
5800	51.3
6000	52.6
6150	52.5
6300	53.3
6500	56
6700	54.4
6900	51.8
7100	52.1
7300	52.4
7500	52.3
7750	48.6
8000	49.5
8250	52
8500	53.9
8750	52.6
9000	54
9250	52.3
9500	54.2
9750	53.7
10000	54
10300	53.1
10600	48.8
10900	49.8
11200	49.5
11500	51.8
11800	48.5
12200	50.2
12500	52.6
12800	49
13200	51.7
13600	49.2
14000	47.9
14500	50.8
15000	52.7
15500	51.9
16000	50.7
16500	45
17000	47.5
17500	49.4
18000	48.8
18500	49.1
19000	47.5
19500	46.4
20000	45.5
20600	44.2
21200	44
21800	42.6
22400	41.3
