Freq[Hz]     dBSPL  Phase[Deg]
5.00000     16.583  -169.274
5.07273     16.618  -168.924
5.14651     16.658  -168.663
5.22137     16.712  -168.649
5.29732     16.765  -168.636
5.37437     16.819  -168.623
5.45254     16.872  -168.609
5.53185     16.906  -168.763
5.61231     16.919  -169.094
5.69394     16.932  -169.425
5.77676     16.945  -169.756
5.86079     16.957  -170.087
5.94604     16.887  -170.390
6.03252     16.816  -170.693
6.12027     16.746  -170.996
6.20929     16.676  -171.299
6.29961     16.558  -171.106
6.39124     16.431  -170.801
6.48420     16.303  -170.497
6.57851     16.175  -170.193
6.67420     16.103  -169.169
6.77128     16.040  -168.027
6.86977     15.977  -166.886
6.96969     15.935  -165.748
7.07107     16.049  -164.636
7.17392     16.163  -163.524
7.27827     16.277  -162.412
7.38413     16.439  -161.969
7.49154     16.638  -162.043
7.60050     16.837  -162.117
7.71105     17.015  -162.417
7.82321     17.100  -163.708
7.93701     17.186  -164.999
8.05245     17.271  -166.290
8.16958     17.113  -167.815
8.28841     16.947  -169.349
8.40896     16.780  -170.883
8.53128     16.376  -171.019
8.65537     15.941  -170.976
8.78126     15.507  -170.933
8.90899     15.178  -167.401
9.03857     14.856  -163.642
9.17004     14.625  -159.803
9.30342     15.115  -155.335
9.43874     15.606  -150.868
9.57603     16.256  -148.317
9.71532     17.150  -148.693
9.85663     18.045  -149.070
10.0000     18.712  -152.723
10.1455     19.315  -157.288
10.2930     19.796  -162.515
10.4427     19.936  -169.593
10.5946     20.076  -176.670
10.7487     19.804   174.814
10.9051     19.450   166.011
11.0637     18.784   156.443
11.2246     17.788   146.065
11.3879     16.564   135.179
11.5535     14.511   122.439
11.7216     12.412   109.502
11.8921      7.571    84.957
12.0650      2.729    60.413
12.2405      3.708    -4.403
12.4186      5.437   -74.410
12.5992      8.201  -104.129
12.7825     11.195  -124.913
12.9684     12.678  -143.716
13.1570     13.811  -162.057
13.3484     14.366   177.831
13.5426     14.828   157.432
13.7395     15.256   134.942
13.9394     15.716   112.444
14.1421     16.435    90.501
14.3478     17.189    69.640
14.5565     18.021    51.108
14.7683     18.764    34.835
14.9831     19.440    20.307
15.2010     19.923     8.968
15.4221     20.351    -1.206
15.6464     20.683    -8.654
15.8740     21.052   -14.762
16.1049     21.451   -19.801
16.3392     22.003   -24.147
16.5768     22.584   -28.766
16.8179     23.196   -33.819
17.0626     23.696   -39.863
17.3107     24.075   -46.325
17.5625     24.292   -53.231
17.8180     24.177   -60.208
18.0771     23.825   -66.817
18.3401     23.212   -72.852
18.6068     22.153   -77.154
18.8775     20.681   -78.072
19.1521     19.016   -73.743
19.4306     17.430   -62.471
19.7133     17.683   -42.245
20.0000     19.569   -29.367
20.2909     21.854   -24.172
20.5860     23.906   -25.708
20.8855     25.431   -31.084
21.1893     26.288   -38.363
21.4975     26.585   -45.693
21.8102     26.345   -51.793
22.1274     25.632   -54.921
22.4492     24.713   -53.022
22.7758     24.164   -45.246
23.1071     24.712   -34.824
23.4432     26.197   -29.010
23.7841     27.645   -29.431
24.1301     28.606   -32.642
24.4811     29.064   -35.949
24.8372     29.181   -37.333
25.1984     29.285   -35.821
25.5649     29.737   -32.488
25.9368     30.598   -29.914
26.3141     31.605   -29.688
26.6968     32.463   -31.376
27.0851     33.060   -33.523
27.4791     33.472   -34.745
27.8788     33.913   -34.636
28.2843     34.530   -34.156
28.6957     35.280   -34.519
29.1131     35.999   -36.090
29.5365     36.557   -38.241
29.9661     36.946   -39.962
30.4020     37.278   -40.548
30.8442     37.735   -40.165
31.2929     38.347   -39.958
31.7480     39.016   -40.559
32.2098     39.625   -41.800
32.6783     40.127   -42.914
33.1536     40.621   -43.406
33.6359     41.200   -43.542
34.1251     41.883   -44.062
34.6215     42.570   -45.359
35.1250     43.176   -47.047
35.6359     43.693   -48.458
36.1543     44.217   -49.342
36.6802     44.816   -50.054
37.2137     45.474   -51.143
37.7550     46.115   -52.649
38.3041     46.704   -54.233
38.8613     47.283   -55.622
39.4265     47.891   -56.927
40.0000     48.523   -58.405
40.5818     49.148   -60.077
41.1721     49.764   -61.802
41.7710     50.383   -63.568
42.3785     51.002   -65.475
42.9949     51.605   -67.480
43.6203     52.194   -69.463
44.2548     52.791   -71.408
44.8985     53.396   -73.432
45.5515     53.998   -75.551
46.2141     54.596   -77.695
46.8863     55.201   -79.856
47.5683     55.815   -82.129
48.2602     56.424   -84.542
48.9621     57.022   -87.012
49.6743     57.617   -89.482
50.3968     58.220   -91.989
51.1299     58.827   -94.592
51.8736     59.435   -97.312
52.6281     60.039  -100.135
53.3936     60.637  -103.032
54.1702     61.233  -105.981
54.9581     61.832  -109.021
55.7575     62.430  -112.206
56.5685     63.014  -115.487
57.3914     63.594  -118.814
58.2261     64.172  -122.251
59.0730     64.738  -125.808
59.9323     65.293  -129.377
60.8040     65.854  -132.990
61.6884     66.418  -136.753
62.5857     66.977  -140.657
63.4960     67.531  -144.740
64.4196     68.067  -149.029
65.3566     68.572  -153.466
66.3073     69.048  -157.944
67.2717     69.505  -162.405
68.2502     69.953  -166.903
69.2429     70.384  -171.456
70.2501     70.809  -176.013
71.2719     71.235   179.310
72.3086     71.641   174.451
73.3603     72.020   169.479
74.4274     72.365   164.452
75.5099     72.686   159.449
76.6083     72.989   154.389
77.7226     73.259   149.341
78.8531     73.515   144.377
80.0000     73.760   139.359
81.1636     73.984   134.332
82.3442     74.189   129.256
83.5419     74.361   124.168
84.7570     74.505   119.179
85.9899     74.633   114.290
87.2406     74.755   109.454
88.5096     74.863   104.599
89.7970     74.950    99.721
91.1031     75.006    94.831
92.4282     75.016    90.024
93.7726     74.980    85.523
95.1366     74.943    81.513
96.5204     74.960    77.787
97.9243     75.015    73.899
99.3486     75.067    69.916
100.794     75.112    65.863
102.260     75.147    61.823
103.747     75.173    57.776
105.256     75.189    53.763
106.787     75.200    49.747
108.340     75.192    45.751
109.916     75.167    41.814
111.515     75.125    38.101
113.137     75.112    34.547
114.783     75.105    30.903
116.452     75.093    27.318
118.146     75.088    23.758
119.865     75.087    20.196
121.608     75.087    16.633
123.377     75.092    13.057
125.171     75.096     9.398
126.992     75.091     5.700
128.839     75.077     2.020
130.713     75.055    -1.764
132.615     74.985    -5.489
134.543     74.930    -8.811
136.500     74.927   -12.315
138.486     74.913   -15.684
140.500     74.866   -19.340
142.544     74.796   -23.058
144.617     74.750   -26.271
146.721     74.732   -29.398
148.855     74.740   -33.038
151.020     74.705   -36.871
153.217     74.651   -40.522
155.445     74.577   -44.196
157.706     74.453   -47.756
160.000     74.319   -50.715
162.327     74.311   -53.732
164.688     74.281   -56.902
167.084     74.303   -60.008
169.514     74.295   -64.900
