Freq[Hz]     dBSPL  Phase[Deg]
5.00000     10.122  -173.622
5.07273     10.159  -173.332
5.14651     10.201  -173.132
5.22137     10.257  -173.183
5.29732     10.313  -173.234
5.37437     10.369  -173.285
5.45254     10.425  -173.336
5.53185     10.462  -173.557
5.61231     10.477  -173.956
5.69394     10.492  -174.356
5.77676     10.508  -174.755
5.86079     10.522  -175.154
5.94604     10.455  -175.530
6.03252     10.388  -175.905
6.12027     10.320  -176.281
6.20929     10.253  -176.657
6.29961     10.139  -176.538
6.39124     10.015  -176.310
6.48420      9.890  -176.083
6.57851      9.765  -175.855
6.67420      9.697  -174.910
6.77128      9.639  -173.848
6.86977      9.580  -172.787
6.96969      9.542  -171.729
7.07107      9.660  -170.701
7.17392      9.778  -169.673
7.27827      9.896  -168.645
7.38413     10.062  -168.287
7.49154     10.265  -168.448
7.60050     10.468  -168.610
7.71105     10.651  -168.997
7.82321     10.741  -170.379
7.93701     10.832  -171.760
8.05245     10.923  -173.142
8.16958     10.770  -174.761
8.28841     10.609  -176.388
8.40896     10.447  -178.016
8.53128     10.049  -178.250
8.65537      9.620  -178.304
8.78126      9.191  -178.358
8.90899      8.869  -174.926
9.03857      8.553  -171.267
9.17004      8.328  -167.529
9.30342      8.826  -163.165
9.43874      9.323  -158.801
9.57603      9.980  -156.354
9.71532     10.882  -156.837
9.85663     11.783  -157.319
10.0000     12.458  -161.080
10.1455     13.068  -165.754
10.2930     13.557  -171.092
10.4427     13.705  -178.281
10.5946     13.853   174.530
10.7487     13.590   165.900
10.9051     13.245   156.983
11.0637     12.588   147.300
11.2246     11.601   136.806
11.3879     10.387   125.803
11.5535      8.344   112.943
11.7216      6.254    99.887
11.8921      1.424    75.222
12.0650     -3.407    50.556
12.2405     -2.418   -14.382
12.4186     -0.678   -84.513
12.5992      2.097  -114.357
12.7825      5.102  -135.266
12.9684      6.598  -154.195
13.1570      7.742  -172.663
13.3484      8.310   167.097
13.5426      8.783   146.569
13.7395      9.225   123.949
13.9394      9.699   101.321
14.1421     10.431    79.246
14.3478     11.198    58.253
14.5565     12.044    39.588
14.7683     12.803    23.181
14.9831     13.493     8.520
15.2010     13.991    -2.955
15.4221     14.434   -13.264
15.6464     14.782   -20.848
15.8740     15.167   -27.093
16.1049     15.583   -32.269
16.3392     16.152   -36.753
16.5768     16.750   -41.510
16.8179     17.380   -46.701
17.0626     17.897   -52.884
17.3107     18.295   -59.486
17.5625     18.530   -66.531
17.8180     18.435   -73.648
18.0771     18.103   -80.397
18.3401     17.509   -86.572
18.6068     16.471   -91.014
18.8775     15.019   -92.072
19.1521     13.375   -87.883
19.4306     11.810   -76.751
19.7133     12.085   -56.666
20.0000     13.993   -43.927
20.2909     16.301   -38.871
20.5860     18.376   -40.547
20.8855     19.923   -46.062
21.1893     20.805   -53.479
21.4975     21.126   -60.948
21.8102     20.911   -67.184
22.1274     20.223   -70.450
22.4492     19.329   -68.688
22.7758     18.806   -61.047
23.1071     19.380   -50.760
23.4432     20.893   -45.080
23.7841     22.367   -45.633
24.1301     23.355   -48.976
24.4811     23.842   -52.414
24.8372     23.988   -53.928
25.1984     24.120   -52.544
25.5649     24.600   -49.338
25.9368     25.491   -46.891
26.3141     26.528   -46.789
26.6968     27.417   -48.600
27.0851     28.045   -50.869
27.4791     28.488   -52.211
27.8788     28.959   -52.220
28.2843     29.608   -51.856
28.6957     30.391   -52.334
29.1131     31.142   -54.018
29.5365     31.733   -56.280
29.9661     32.155   -58.110
30.4020     32.522   -58.803
30.8442     33.012   -58.525
31.2929     33.657   -58.420
31.7480     34.361   -59.122
32.2098     35.005   -60.461
32.6783     35.543   -61.671
33.1536     36.071   -62.256
33.6359     36.686   -62.483
34.1251     37.405   -63.092
34.6215     38.127   -64.474
35.1250     38.770   -66.246
35.6359     39.324   -67.737
36.1543     39.885   -68.700
36.6802     40.521   -69.487
37.2137     41.216   -70.648
37.7550     41.894   -72.225
38.3041     42.520   -73.876
38.8613     43.138   -75.329
39.4265     43.783   -76.696
40.0000     44.452   -78.233
40.5818     45.116   -79.961
41.1721     45.770   -81.739
41.7710     46.426   -83.554
42.3785     47.083   -85.509
42.9949     47.725   -87.558
43.6203     48.353   -89.582
44.2548     48.988   -91.566
44.8985     49.631   -93.626
45.5515     50.273   -95.778
46.2141     50.910   -97.952
46.8863     51.553  -100.139
47.5683     52.204  -102.437
48.2602     52.851  -104.871
48.9621     53.487  -107.360
49.6743     54.121  -109.846
50.3968     54.761  -112.366
51.1299     55.407  -114.981
51.8736     56.053  -117.709
52.6281     56.694  -120.537
53.3936     57.329  -123.437
54.1702     57.963  -126.387
54.9581     58.599  -129.424
55.7575     59.234  -132.606
56.5685     59.855  -135.879
57.3914     60.472  -139.198
58.2261     61.086  -142.624
59.0730     61.688  -146.167
59.9323     62.279  -149.721
60.8040     62.876  -153.317
61.6884     63.475  -157.061
62.5857     64.069  -160.945
63.4960     64.658  -165.004
64.4196     65.229  -169.269
65.3566     65.769  -173.680
66.3073     66.278  -178.130
67.2717     66.769   177.438
68.2502     67.251   172.970
69.2429     67.715   168.449
70.2501     68.172   163.925
71.2719     68.631   159.282
72.3086     69.069   154.458
73.3603     69.479   149.522
74.4274     69.856   144.532
75.5099     70.209   139.567
76.6083     70.543   134.545
77.7226     70.843   129.536
78.8531     71.130   124.612
80.0000     71.405   119.633
81.1636     71.658   114.646
