Freq[Hz]     dBSPL  Phase[Deg]
5.00000     15.045  -153.334
5.07273     15.080  -152.756
5.14651     15.120  -152.263
5.22137     15.174  -152.005
5.29732     15.227  -151.748
5.37437     15.281  -151.490
5.45254     15.334  -151.232
5.53185     15.368  -151.134
5.61231     15.381  -151.204
5.69394     15.394  -151.274
5.77676     15.406  -151.344
5.86079     15.418  -151.413
5.94604     15.348  -151.438
6.03252     15.277  -151.463
6.12027     15.207  -151.489
6.20929     15.137  -151.514
6.29961     15.019  -151.028
6.39124     14.892  -150.429
6.48420     14.764  -149.830
6.57851     14.636  -149.232
6.67420     14.564  -147.898
6.77128     14.502  -146.445
6.86977     14.439  -144.992
6.96969     14.397  -143.540
7.07107     14.511  -142.100
7.17392     14.625  -140.659
7.27827     14.739  -139.219
7.38413     14.901  -138.438
7.49154     15.100  -138.167
7.60050     15.299  -137.895
7.71105     15.477  -137.847
7.82321     15.562  -138.775
7.93701     15.648  -139.704
8.05245     15.733  -140.633
8.16958     15.575  -141.780
8.28841     15.408  -142.934
8.40896     15.241  -144.089
8.53128     14.837  -143.832
8.65537     14.402  -143.393
8.78126     13.968  -142.954
8.90899     13.639  -139.011
9.03857     13.317  -134.838
9.17004     13.086  -130.585
9.30342     13.576  -125.688
9.43874     14.067  -120.791
9.57603     14.717  -117.803
9.71532     15.611  -117.734
9.85663     16.506  -117.664
10.0000     17.173  -120.857
10.1455     17.776  -124.959
10.2930     18.257  -129.718
10.4427     18.397  -136.316
10.5946     18.537  -142.913
10.7487     18.265  -150.935
10.9051     17.911  -159.241
11.0637     17.245  -168.304
11.2246     16.249  -178.167
11.3879     15.025   171.464
11.5535     12.972   159.254
11.7216     10.873   146.848
11.8921      6.032   122.851
12.0650      1.190    98.854
12.2405      2.169    34.601
12.4186      3.898   -34.843
12.5992      6.662   -63.983
12.7825      9.656   -84.186
12.9684     11.139  -102.394
13.1570     12.271  -120.137
13.3484     12.826  -139.636
13.5426     13.288  -159.421
13.7395     13.716   178.720
13.9394     14.177   156.856
14.1421     14.895   135.561
14.3478     15.649   115.354
14.5565     16.481    97.488
14.7683     17.224    81.889
14.9831     17.900    68.044
15.2010     18.383    57.401
15.4221     18.811    47.929
15.6464     19.143    41.198
15.8740     19.512    35.815
16.1049     19.911    31.509
16.3392     20.463    27.912
16.5768     21.043    24.049
16.8179     21.656    19.762
17.0626     22.155    14.500
17.3107     22.534     8.827
17.5625     22.752     2.722
17.8180     22.637    -3.439
18.0771     22.285    -9.223
18.3401     21.672   -14.423
18.6068     20.613   -17.874
18.8775     19.140   -17.928
19.1521     17.475   -12.725
19.4306     15.889    -0.568
19.7133     16.143    20.559
20.0000     18.029    34.351
20.2909     20.313    40.474
20.5860     22.365    39.877
20.8855     23.890    35.452
21.1893     24.747    29.142
21.4975     25.044    22.794
21.8102     24.804    17.691
22.1274     24.091    15.573
22.4492     23.172    18.496
22.7758     22.623    27.311
23.1071     23.170    38.788
23.4432     24.655    45.671
23.7841     26.103    46.337
24.1301     27.064    44.228
24.4811     27.522    42.039
24.8372     27.639    41.789
25.1984     27.743    44.452
25.5649     28.194    48.952
25.9368     29.055    52.709
26.3141     30.062    54.137
26.6968     30.921    53.667
27.0851     31.518    52.756
27.4791     31.930    52.789
27.8788     32.370    54.171
28.2843     32.987    55.943
28.6957     33.737    56.890
29.1131     34.456    56.648
29.5365     35.013    55.845
29.9661     35.402    55.491
30.4020     35.735    56.292
30.8442     36.192    58.084
31.2929     36.803    59.720
31.7480     37.472    60.567
32.2098     38.082    60.796
32.6783     38.583    61.174
33.1536     39.077    62.196
33.6359     39.655    63.595
34.1251     40.338    64.632
34.6215     41.025    64.915
35.1250     41.631    64.829
35.6359     42.148    65.046
36.1543     42.672    65.811
36.6802     43.271    66.773
37.2137     43.929    67.383
37.7550     44.570    67.599
38.3041     45.158    67.763
38.8613     45.738    68.147
39.4265     46.346    68.642
40.0000     46.977    68.988
40.5818     47.603    69.168
41.1721     48.218    69.322
41.7710     48.837    69.461
42.3785     49.456    69.488
42.9949     50.059    69.445
43.6203     50.648    69.452
44.2548     51.245    69.526
44.8985     51.849    69.551
45.5515     52.452    69.510
46.2141     53.050    69.474
46.8863     53.655    69.452
47.5683     54.268    69.348
48.2602     54.877    69.138
48.9621     55.475    68.902
49.6743     56.070    68.697
50.3968     56.673    68.490
51.1299     57.280    68.218
51.8736     57.888    67.864
52.6281     58.492    67.442
53.3936     59.090    66.980
54.1702     59.686    66.501
54.9581     60.284    65.969
55.7575     60.882    65.327
56.5685     61.466    64.627
57.3914     62.046    63.917
58.2261     62.624    63.134
59.0730     63.191    62.272
59.9323     63.745    61.436
60.8040     64.307    60.595
61.6884     64.870    59.647
62.5857     65.430    58.596
63.4960     65.983    57.409
64.4196     66.520    56.057
65.3566     67.025    54.600
66.3073     67.500    53.146
67.2717     67.957    51.752
68.2502     68.406    50.366
69.2429     68.837    48.970
70.2501     69.262    47.616
71.2719     69.688    46.189
72.3086     70.095    44.626
73.3603     70.473    42.999
74.4274     70.818    41.365
75.5099     71.140    39.805
76.6083     71.443    38.237
77.7226     71.713    36.732
78.8531     71.969    35.363
80.0000     72.215    33.991
81.1636     72.439    32.664
82.3442     72.644    31.341
83.5419     72.817    30.061
84.7570     72.961    28.935
85.9899     73.089    27.966
87.2406     73.211    27.106
88.5096     73.320    26.285
89.7970     73.407    25.499
91.1031     73.463    24.761
92.4282     73.474    24.166
93.7726     73.439    23.938
95.1366     73.402    24.263
96.5204     73.419    24.935
97.9243     73.475    25.510
99.3486     73.527    26.054
100.794     73.573    26.593
102.260     73.609    27.212
103.747     73.635    27.892
105.256     73.652    28.674
106.787     73.663    29.523
108.340     73.657    30.462
109.916     73.632    31.533
111.515     73.591    32.900
113.137     73.579    34.498
114.783     73.573    36.083
116.452     73.562    37.801
118.146     73.558    39.622
119.865     73.558    41.519
121.608     73.559    43.493
123.377     73.565    45.536
125.171     73.570    47.576
126.992     73.566    49.661
128.839     73.553    51.847
130.713     73.533    54.013
132.615     73.464    56.326
134.543     73.411    59.252
136.500     73.409    62.143
138.486     73.397    64.588
140.500     73.351    67.326
142.544     73.283    70.583
144.617     73.239    73.763
146.721     73.222    77.028
148.855     73.233    80.362
151.020     73.199    83.502
153.217     73.147    86.824
155.445     73.075    90.121
157.706     72.953    93.532
160.000     72.821    98.125
162.327     72.816   102.658
164.688     72.788   106.458
167.084     72.812   110.902
169.514     72.807   114.140
171.980     72.491   118.442
174.481     72.328   123.927
177.019     72.293   129.272
179.594     72.301   134.641
182.206     72.283   140.422
184.856     72.334   146.167
187.545     72.380   151.284
190.273     72.443   156.612
193.041     72.481   161.567
195.849     72.453   166.678
198.697     72.431   172.286
201.587     72.391   177.876
204.520     72.327  -176.221
207.494     72.330  -170.130
210.512     72.366  -164.265
213.574     72.212  -159.109
216.681     71.988  -152.414
219.833     71.917  -144.950
223.030     71.944  -137.639
226.274     71.906  -130.785
229.565     71.763  -123.405
232.905     71.709  -115.380
236.292     71.752  -107.455
239.729     71.812   -99.672
243.216     71.793   -92.111
246.754     71.769   -83.868
250.343     71.831   -75.367
253.984     71.854   -67.354
257.678     71.839   -59.052
261.426     71.861   -50.346
265.229     71.818   -42.278
