Freq[Hz]     dBSPL  Phase[Deg]
5.00000     18.675  -169.157
5.07273     18.710  -168.806
5.14651     18.750  -168.542
5.22137     18.804  -168.527
5.29732     18.857  -168.512
5.37437     18.911  -168.497
5.45254     18.964  -168.482
5.53185     18.998  -168.634
5.61231     19.011  -168.963
5.69394     19.024  -169.292
5.77676     19.037  -169.621
5.86079     19.049  -169.950
5.94604     18.979  -170.251
6.03252     18.908  -170.552
6.12027     18.838  -170.853
6.20929     18.768  -171.154
6.29961     18.650  -170.958
6.39124     18.523  -170.652
6.48420     18.395  -170.346
6.57851     18.267  -170.039
6.67420     18.195  -169.012
6.77128     18.132  -167.869
6.86977     18.069  -166.725
6.96969     18.027  -165.585
7.07107     18.141  -164.470
7.17392     18.255  -163.356
7.27827     18.369  -162.242
7.38413     18.531  -161.797
7.49154     18.730  -161.868
7.60050     18.929  -161.940
7.71105     19.107  -162.237
7.82321     19.192  -163.525
7.93701     19.278  -164.813
8.05245     19.363  -166.101
8.16958     19.205  -167.624
8.28841     19.039  -169.155
8.40896     18.872  -170.686
8.53128     18.468  -170.820
8.65537     18.033  -170.774
8.78126     17.599  -170.728
8.90899     17.270  -167.193
9.03857     16.948  -163.430
9.17004     16.717  -159.588
9.30342     17.207  -155.118
9.43874     17.697  -150.647
9.57603     18.347  -148.093
9.71532     19.242  -148.466
9.85663     20.137  -148.840
10.0000     20.804  -152.489
10.1455     21.407  -157.051
10.2930     21.888  -162.275
10.4427     22.027  -169.349
10.5946     22.167  -176.423
10.7487     21.895   175.065
10.9051     21.542   166.266
11.0637     20.876   156.701
11.2246     19.879   146.328
11.3879     18.655   135.445
11.5535     16.602   122.709
11.7216     14.503   109.775
11.8921      9.662    85.235
12.0650      4.821    60.694
12.2405      5.799    -4.117
12.4186      7.528   -74.121
12.5992     10.292  -103.835
12.7825     13.286  -124.615
12.9684     14.769  -143.414
13.1570     15.902  -161.750
13.3484     16.457   178.142
13.5426     16.919   157.748
13.7395     17.347   135.262
13.9394     17.807   112.769
14.1421     18.526    90.830
14.3478     19.280    69.974
14.5565     20.112    51.447
14.7683     20.855    35.179
14.9831     21.531    20.656
15.2010     22.014     9.322
15.4221     22.441    -0.847
15.6464     22.773    -8.289
15.8740     23.142   -14.393
16.1049     23.542   -19.426
16.3392     24.094   -23.767
16.5768     24.674   -28.380
16.8179     25.286   -33.428
17.0626     25.786   -39.466
17.3107     26.165   -45.923
17.5625     26.382   -52.823
17.8180     26.267   -59.794
18.0771     25.916   -66.397
18.3401     25.303   -72.426
18.6068     24.244   -76.722
18.8775     22.771   -77.633
19.1521     21.106   -73.298
19.4306     19.520   -62.020
19.7133     19.774   -41.788
20.0000     21.660   -28.903
20.2909     23.944   -23.701
20.5860     25.996   -25.230
20.8855     27.521   -30.600
21.1893     28.378   -37.872
21.4975     28.675   -45.195
21.8102     28.435   -51.287
22.1274     27.722   -54.408
22.4492     26.803   -52.502
22.7758     26.254   -44.719
23.1071     26.801   -34.289
23.4432     28.287   -28.468
23.7841     29.734   -28.881
24.1301     30.695   -32.084
24.4811     31.153   -35.383
24.8372     31.270   -36.759
25.1984     31.374   -35.239
25.5649     31.826   -31.897
25.9368     32.687   -29.315
26.3141     33.694   -29.081
26.6968     34.552   -30.760
27.0851     35.149   -32.898
27.4791     35.561   -34.111
27.8788     36.002   -33.993
28.2843     36.619   -33.504
28.6957     37.369   -33.857
29.1131     38.087   -35.420
29.5365     38.645   -37.561
29.9661     39.034   -39.272
30.4020     39.366   -39.849
30.8442     39.823   -39.456
31.2929     40.435   -39.238
31.7480     41.104   -39.830
32.2098     41.713   -41.060
32.6783     42.215   -42.164
33.1536     42.708   -42.645
33.6359     43.287   -42.770
34.1251     43.970   -43.280
34.6215     44.657   -44.566
35.1250     45.263   -46.243
35.6359     45.780   -47.642
36.1543     46.304   -48.515
36.6802     46.903   -49.215
37.2137     47.561   -50.292
37.7550     48.202   -51.786
38.3041     48.790   -53.358
38.8613     49.370   -54.735
39.4265     49.978   -56.027
40.0000     50.609   -57.493
40.5818     51.235   -59.152
41.1721     51.850   -60.865
41.7710     52.468   -62.617
42.3785     53.087   -64.511
42.9949     53.690   -66.502
43.6203     54.280   -68.471
44.2548     54.876   -70.403
44.8985     55.481   -72.413
45.5515     56.083   -74.517
46.2141     56.681   -76.647
46.8863     57.286   -78.793
47.5683     57.900   -81.052
48.2602     58.509   -83.449
48.9621     59.106   -85.903
49.6743     59.701   -88.358
50.3968     60.304   -90.849
51.1299     60.911   -93.437
51.8736     61.519   -96.141
52.6281     62.123   -98.947
53.3936     62.721  -101.827
54.1702     63.317  -104.759
54.9581     63.915  -107.782
55.7575     64.513  -110.950
56.5685     65.097  -114.213
57.3914     65.677  -117.522
58.2261     66.255  -120.941
59.0730     66.821  -124.479
59.9323     67.376  -128.030
60.8040     67.937  -131.624
61.6884     68.500  -135.367
62.5857     69.060  -139.253
63.4960     69.613  -143.315
64.4196     70.150  -147.584
65.3566     70.654  -152.001
66.3073     71.130  -156.458
67.2717     71.587  -160.898
68.2502     72.035  -165.375
69.2429     72.466  -169.907
70.2501     72.890  -174.441
71.2719     73.316  -179.096
72.3086     73.723   176.067
73.3603     74.101   171.119
74.4274     74.446   166.115
75.5099     74.767   161.136
76.6083     75.070   156.100
77.7226     75.340   151.076
78.8531     75.596   146.137
80.0000     75.841   141.144
81.1636     76.065   136.142
82.3442     76.270   131.093
83.5419     76.442   126.031
84.7570     76.586   121.069
85.9899     76.714   116.207
87.2406     76.835   111.399
88.5096     76.944   106.572
89.7970     77.030   101.722
91.1031     77.086    96.861
