"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	68.2038	20.5078	61.3026	20.5078	66.2356	20.5078	63.5924	20.5078	70.5738	20.5078	66.2805
21.9727	68.5151	21.9727	71.6759	21.9727	68.4449	21.9727	70.4722	21.9727	77.5538	21.9727	71.8345
23.4375	76.0376	23.4375	76.7269	23.4375	75.7779	23.4375	76.616	23.4375	81.3719	23.4375	77.3012
24.9023	78.4628	24.9023	78.2223	24.9023	77.9697	24.9023	78.2664	24.9023	83.069	24.9023	79.1288
26.3672	81.1632	26.3672	81.7421	26.3672	80.8622	26.3672	81.7316	26.3672	86.3062	26.3672	82.3488
27.832	83.9527	27.832	84.4399	27.832	83.6431	27.832	84.5218	27.832	88.6536	27.832	85.0052
29.2969	86.8692	29.2969	87.7176	29.2969	86.7419	29.2969	87.616	29.2969	91.3126	29.2969	87.9915
30.7617	90.1018	30.7617	90.8466	30.7617	90.0452	30.7617	90.8395	30.7617	94.0957	30.7617	91.1171
32.2266	93.4655	32.2266	94.0736	32.2266	93.3698	32.2266	94.1394	32.2266	97.0553	32.2266	94.3446
33.6914	96.0842	33.6914	96.601	33.6914	95.9859	33.6914	96.7165	33.6914	99.4298	33.6914	96.8859
35.1562	98.8292	35.1562	99.2596	35.1562	98.7177	35.1562	99.4221	35.1562	101.851	35.1562	99.5386
36.6211	101.119	36.6211	101.562	36.6211	101.028	36.6211	101.716	36.6211	103.982	36.6211	101.805
38.0859	103.396	38.0859	103.754	38.0859	103.289	38.0859	103.939	38.0859	105.988	38.0859	103.999
39.5508	105.282	39.5508	105.617	39.5508	105.185	39.5508	105.793	39.5508	107.611	39.5508	105.825
41.0156	106.861	41.0156	107.124	41.0156	106.752	41.0156	107.327	41.0156	108.975	41.0156	107.339
42.4805	108.044	42.4805	108.248	42.4805	107.923	42.4805	108.472	42.4805	109.987	42.4805	108.47
43.9453	108.839	43.9453	108.994	43.9453	108.713	43.9453	109.235	43.9453	110.625	43.9453	109.221
45.4102	109.409	45.4102	109.516	45.4102	109.27	45.4102	109.776	45.4102	111.058	45.4102	109.749
46.875	109.776	46.875	109.856	46.875	109.636	46.875	110.118	46.875	111.288	46.875	110.083
48.3398	109.924	48.3398	110.001	48.3398	109.784	48.3398	110.267	48.3398	111.364	48.3398	110.22
51.2695	110.17	51.2695	110.078	51.2695	109.997	51.2695	110.387	51.2695	111.233	51.2695	110.335
52.7344	110.135	52.7344	110.039	52.7344	109.964	52.7344	110.34	52.7344	111.121	52.7344	110.285
54.1992	110.043	54.1992	109.967	54.1992	109.883	54.1992	110.257	54.1992	110.992	54.1992	110.196
55.6641	109.965	55.6641	109.858	55.6641	109.799	55.6641	110.156	55.6641	110.83	55.6641	110.093
58.5938	109.799	58.5938	109.602	58.5938	109.609	58.5938	109.93	58.5938	110.482	58.5938	109.862
60.0586	109.747	60.0586	109.522	60.0586	109.556	60.0586	109.852	60.0586	110.323	60.0586	109.783
62.9883	109.528	62.9883	109.247	62.9883	109.33	62.9883	109.583	62.9883	109.935	62.9883	109.515
64.4531	109.429	64.4531	109.129	64.4531	109.225	64.4531	109.474	64.4531	109.798	64.4531	109.404
67.3828	109.315	67.3828	108.956	67.3828	109.093	67.3828	109.32	67.3828	109.577	67.3828	109.249
68.8477	109.274	68.8477	108.882	68.8477	109.043	68.8477	109.258	68.8477	109.483	68.8477	109.188
71.7773	109.216	71.7773	108.786	71.7773	108.983	71.7773	109.163	71.7773	109.303	71.7773	109.096
74.707	109.239	74.707	108.789	74.707	109.01	74.707	109.144	74.707	109.187	74.707	109.085
77.6367	109.183	77.6367	108.698	77.6367	108.942	77.6367	109.065	77.6367	109.074	77.6367	109.006
79.1016	109.222	79.1016	108.698	79.1016	108.972	79.1016	109.073	79.1016	109.031	79.1016	109.017
82.0312	109.299	82.0312	108.684	82.0312	109.032	82.0312	109.071	82.0312	108.867	82.0312	109.021
84.9609	108.837	84.9609	108.361	84.9609	108.597	84.9609	108.719	84.9609	108.704	84.9609	108.658
87.8906	108.868	87.8906	108.386	87.8906	108.582	87.8906	108.805	87.8906	109.016	87.8906	108.732
90.8203	108.791	90.8203	108.242	90.8203	108.514	90.8203	108.674	90.8203	108.81	90.8203	108.614
