Frequency Spectrum for Input Signal

Data Shown:    2-Way Speaker (Lspk, Inc.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 100°

Freq [Hz]	Signal Level [dBSPL]
22.4	-127.1
23	-126.3
23.6	-125.3
24	-124.4
25	-123.4
25.8	-122.6
26.5	-122
27.2	-121.2
28	-120.3
29	-119.1
30	-118.2
30.7	-117.3
31.5	-116.4
32.5	-115.5
33.5	-114.5
34.5	-113.8
35.5	-113.1
36.5	-112.3
37.5	-111.4
38.7	-110.6
40	-110
41.2	-109.5
42.5	-109
43.7	-108.5
45	-108
46.2	-107.6
47.5	-107.2
48.7	-107
50	-106.8
51.5	-106.6
53	-106.3
54.5	-106
56	-105.8
58	-105.8
60	-105.8
61.5	-105.8
63	-105.8
65	-105.7
67	-105.6
69	92.2
71	92.2
73	92.2
75	92.3
77.5	92.3
80	92.3
82.5	92.3
85	92.1
87.5	91.7
90	91.1
92.5	90.4
95	90.3
97.5	91.1
100	92.3
103	93
106	93
109	92.6
112	92.4
115	92.4
118	92.4
122	92.5
125	92.6
128	92.6
132	92.7
136	92.8
140	93
145	93.3
150	93.6
155	93.7
160	93.4
165	92.8
170	92
175	91.2
180	90.6
185	90.3
190	90.3
195	90.6
200	90.9
206	91
212	90.8
218	90.8
224	91.1
230	91.4
236	91.5
240	91.3
250	91.4
258	91.8
265	92
272	91.7
280	90.7
290	89.7
300	89.4
307	89
315	88.4
325	88.1
335	87.7
345	87.8
355	87.7
365	87
375	86.1
387	85.4
400	84.6
412	82.1
425	78.4
437	75.7
450	74.9
462	76.8
475	77.7
487	77.2
500	77
515	77.7
530	77.8
545	76.4
560	74.2
580	73.5
600	74.7
615	75.9
630	76.1
650	75.8
670	76.2
690	77.4
710	78.6
730	79.3
750	79.4
775	78.9
800	78.1
825	77.1
850	75.9
875	74.6
900	73.4
925	72.4
950	72
975	72.2
1000	73.2
1030	74.9
1060	76.6
1090	77.5
1120	77.3
1150	76.3
1180	74.8
1220	73.3
1250	72.6
1280	72.3
1320	72.2
1360	72.1
1400	72.5
1450	73.2
1500	73.9
1550	74.2
1600	74
1650	73.2
1700	71.9
1750	70.3
1800	68.6
1850	67.2
1900	66.3
1950	66.1
2000	66.6
2060	67.8
2120	68.6
2180	68.1
2240	66.9
2300	66.6
2360	67.5
2400	68.3
2500	68
2580	67
2650	65.9
2720	64.8
2800	63.4
2900	62.1
3000	61.5
3070	62
3150	63
3250	63
3350	61.8
3450	60.5
3550	60.5
3650	61.4
3750	62
3870	62
4000	61.2
4120	59.6
4250	58.4
4370	58.5
4500	59.2
4620	58.9
4750	57.6
4870	56.5
5000	56.8
5150	58
5300	58.8
5450	58.5
5600	57.2
5800	55.1
6000	53.4
6150	54
6300	55.6
6500	55.9
6700	55.4
6900	55.8
7100	58.1
7300	59.9
7500	58.7
7750	54.4
8000	51.1
8250	51.2
8500	52.3
8750	52.2
9000	51.3
9250	51.3
9500	52.3
9750	52.2
10000	50
10300	47.2
10600	46.4
10900	47.7
11200	49.1
11500	49.4
11800	49.1
12200	49.6
12500	51.1
12800	52.1
13200	52.4
13600	52.6
14000	53
14500	53.3
15000	52.9
15500	52.4
16000	49.7
16500	49.6
17000	50.6
17500	42.4
18000	55.5
18500	51
19000	62.8
19500	67.5
20000	71.6
20600	76
21200	78
21800	84.7
22400	88
