Frequency Spectrum for Input Signal

Data Shown:    9310 (JBL Professional)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 180°

Freq [Hz]	Signal Level [dBSPL]
22.4	44.5
23	45.5
23.6	46.6
24	47.6
25	48.7
25.8	49.7
26.5	50.7
27.2	51.7
28	52.7
29	53.7
30	54.6
30.7	55.6
31.5	56.5
32.5	57.5
33.5	58.4
34.5	59.3
35.5	60.2
36.5	61.1
37.5	62.1
38.7	63
40	63.9
41.2	64.9
42.5	65.8
43.7	66.8
45	67.7
46.2	68.6
47.5	69.5
48.7	70.3
50	71.1
51.5	71.8
53	72.5
54.5	73.2
56	73.8
58	74.4
60	75
61.5	75.6
63	76.1
65	76.8
67	77.3
69	77.9
71	78.5
73	79
75	79.5
77.5	79.9
80	80.2
82.5	80.4
85	80.6
87.5	80.7
90	80.9
92.5	81
95	81.3
97.5	81.7
100	82.2
103	82.9
106	83.7
109	84.5
112	85.5
115	86.4
118	87.2
122	88
125	88.6
128	89
132	89.3
136	89.4
140	89.5
145	89.5
150	89.4
155	89.4
160	89.3
165	89.4
170	89.5
175	89.6
180	89.7
185	89.8
190	89.9
195	90
200	90
206	89.9
212	89.8
218	89.6
224	89.4
230	89.2
236	88.9
240	88.6
250	88.4
258	88.2
265	87.9
272	87.7
280	87.5
290	87.3
300	87.2
307	87
315	86.8
325	86.6
335	86.3
345	86.1
355	85.9
365	85.7
375	85.5
387	85.3
400	85.1
412	84.9
425	84.8
437	84.6
450	84.5
462	84.3
475	84.1
487	84
500	83.8
515	83.6
530	83.3
545	83.1
560	82.9
580	82.6
600	82.4
615	82.2
630	82
650	81.8
670	81.7
690	81.5
710	81.3
730	81
750	80.7
775	80.3
800	79.8
825	79.2
850	78.5
875	77.8
900	77
925	76.2
950	75.4
975	74.7
1000	74.1
1030	73.6
1060	73.2
1090	72.8
1120	72.4
1150	72
1180	71.5
1220	70.9
1250	70.2
1280	69.3
1320	68.3
1360	67.3
1400	66.4
1450	65.5
1500	64.8
1550	64.4
1600	64.4
1650	64.7
1700	65.3
1750	66.2
1800	67.2
1850	68.2
1900	69.1
1950	69.9
2000	70.4
2060	70.5
2120	70.4
2180	70
2240	69.4
2300	68.7
2360	68
2400	67.2
2500	66.4
2580	65.8
2650	65.2
2720	64.7
2800	64.2
2900	63.6
3000	62.9
3070	62.1
3150	61.2
3250	60
3350	58.8
3450	57.5
3550	56.4
3650	55.4
3750	54.6
3870	54.2
4000	54.2
4120	54.8
4250	55.7
4370	57
4500	58.5
4620	60.1
4750	61.7
4870	63.1
5000	64.3
5150	65.3
5300	65.9
5450	66.2
5600	66.3
5800	66.2
6000	65.9
6150	65.4
6300	64.9
6500	64.2
6700	63.5
6900	62.7
7100	61.8
7300	61
7500	60.1
7750	59.2
8000	58.4
8250	57.6
8500	56.8
8750	56.1
9000	55.5
9250	54.9
9500	54.4
9750	54
10000	53.7
10300	53.4
10600	53.3
10900	53.2
11200	53.2
11500	53.2
11800	53.2
12200	53.2
12500	53.2
12800	53.1
13200	53
13600	52.9
14000	52.8
14500	52.6
15000	52.5
15500	52.3
16000	52.1
16500	51.9
17000	51.7
17500	51.5
18000	51.2
18500	51
19000	50.8
19500	50.5
20000	50.2
20600	49.9
21200	49.6
21800	49.2
22400	48.9
