Frequency Spectrum for Input Signal

Data Shown:    JBL C211 (JBL Professional)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 50°  

Freq [Hz]	Signal Level [dBSPL]
22.4	54.5
23	56.1
23.6	58.2
24	60.1
25	61.4
25.8	62.4
26.5	63.2
27.2	64.2
28	65.7
29	67.4
30	68.8
30.7	69.9
31.5	71
32.5	72.1
33.5	73.2
34.5	74.2
35.5	75.1
36.5	76
37.5	77.1
38.7	78
40	78.7
41.2	79.3
42.5	79.8
43.7	80.4
45	81
46.2	81.5
47.5	81.9
48.7	82.1
50	82.3
51.5	82.6
53	83
54.5	83.4
56	83.7
58	83.9
60	84
61.5	84.1
63	84.3
65	84.6
67	84.8
69	85.1
71	85.3
73	85.4
75	85.6
77.5	85.7
80	85.9
82.5	86.2
85	86.4
87.5	86.6
90	86.7
92.5	86.8
95	86.9
97.5	86.9
100	87
103	87.1
106	87.2
109	87.3
112	87.4
115	87.6
118	87.8
122	88.1
125	88.4
128	88.6
132	88.8
136	88.9
140	88.9
145	88.9
150	88.8
155	88.7
160	88.7
165	88.8
170	89.1
175	89.4
180	89.5
185	89.3
190	89
195	88.9
200	88.8
206	88.2
212	87.3
218	86.9
224	87.8
230	89.3
236	90.6
240	91.1
250	91
258	90.3
265	89.4
272	88.8
280	88.5
290	88.5
300	88.6
307	88.4
315	87.7
325	87.2
335	87.3
345	87.9
355	88.1
365	87.7
375	87.3
387	87.5
400	88
412	87.7
425	86.8
437	86
450	86.2
462	86.7
475	86.3
487	85.4
500	85.2
515	86.4
530	87.3
545	86.8
560	85.4
580	84.7
600	85.2
615	85.7
630	85.2
650	84.3
670	84.1
690	84.8
710	85.9
730	86.9
750	87.3
775	86.8
800	85.7
825	84.7
850	84.2
875	83.8
900	83.4
925	83.3
950	83.5
975	83.9
1000	84
1030	83.6
1060	83.4
1090	84
1120	85
1150	85.6
1180	85.6
1220	85
1250	84
1280	82.8
1320	81.9
1360	80.8
1400	78.9
1450	76.3
1500	74.2
1550	74
1600	75.7
1650	78.4
1700	81.5
1750	85.4
1800	89.9
1850	93.6
1900	94.4
1950	92.5
2000	90
2060	88.3
2120	87.1
2180	86.1
2240	85.2
2300	84.3
2360	83.6
2400	83.1
2500	82.8
2580	82.8
2650	83
2720	83.3
2800	83.7
2900	83.9
3000	83.7
3070	83.1
3150	82.4
3250	82.1
3350	82.2
3450	82.4
3550	82.6
3650	82.6
3750	82.7
3870	82.9
4000	83
4120	83
4250	83.1
4370	83.1
4500	83.1
4620	82.7
4750	82
4870	81.3
5000	80.9
5150	80.8
5300	80.8
5450	80.8
5600	80.5
5800	79.8
6000	79
6150	78.6
6300	78.5
6500	78.6
6700	78.7
6900	78.4
7100	77.5
7300	76.5
7500	76.1
7750	76.4
8000	77
8250	77.4
8500	77.5
8750	77
9000	76.3
9250	75.7
9500	75.5
9750	75.8
10000	76.7
10300	77.5
10600	77.5
10900	77.1
11200	77.6
11500	79.3
11800	80.4
12200	79.2
12500	77
12800	76.5
13200	77.9
13600	78.6
14000	76.5
14500	73.6
15000	73.2
15500	74.8
16000	75.4
16500	73.7
17000	71.5
17500	71
18000	71.1
18500	69.5
19000	65.7
19500	62.7
20000	63.1
20600	65.1
21200	66.6
21800	67.9
22400	69.2
