Frequency Spectrum for Input Signal

Data Shown:    JBL C211 (JBL Professional)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 60°

Freq [Hz]	Signal Level [dBSPL]
22.4	54.3
23	55.8
23.6	58
24	59.9
25	61.3
25.8	62.3
26.5	63
27.2	64.1
28	65.6
29	67.2
30	68.6
30.7	69.7
31.5	70.8
32.5	72
33.5	73.1
34.5	74
35.5	74.9
36.5	75.9
37.5	76.9
38.7	77.9
40	78.5
41.2	79.1
42.5	79.6
43.7	80.2
45	80.8
46.2	81.3
47.5	81.7
48.7	81.9
50	82.1
51.5	82.4
53	82.8
54.5	83.2
56	83.4
58	83.6
60	83.7
61.5	83.8
63	84
65	84.2
67	84.5
69	84.8
71	85
73	85.1
75	85.2
77.5	85.3
80	85.5
82.5	85.8
85	86
87.5	86.1
90	86.2
92.5	86.3
95	86.4
97.5	86.4
100	86.5
103	86.5
106	86.6
109	86.6
112	86.7
115	86.9
118	87
122	87.2
125	87.5
128	87.7
132	87.9
136	88
140	88.1
145	88
150	87.9
155	87.8
160	87.7
165	87.8
170	88.1
175	88.5
180	88.6
185	88.3
190	88
195	87.9
200	87.8
206	87.3
212	86.4
218	86.1
224	86.9
230	88.3
236	89.5
240	90.1
250	90
258	89.5
265	88.7
272	88
280	87.7
290	87.6
300	87.6
307	87.3
315	86.7
325	86.1
335	86.2
345	86.7
355	87
365	86.8
375	86.6
387	86.7
400	87
412	86.7
425	85.8
437	85.2
450	85.4
462	85.9
475	85.5
487	84.6
500	84.4
515	85.5
530	86.3
545	85.6
560	83.9
580	83.1
600	83.7
615	84.2
630	83.7
650	82.8
670	82.7
690	83.6
710	84.9
730	85.9
750	86.2
775	85.6
800	84.4
825	83.1
850	82.2
875	81.5
900	81.1
925	80.9
950	80.9
975	80.9
1000	80.7
1030	80.3
1060	80.3
1090	81.4
1120	82.9
1150	83.9
1180	84
1220	83.2
1250	81.8
1280	80.1
1320	78.6
1360	77.2
1400	75.6
1450	74
1500	73.4
1550	74.9
1600	77.6
1650	80
1700	81.9
1750	84.3
1800	88.2
1850	91.7
1900	92.2
1950	89.8
2000	87
2060	85.3
2120	84.2
2180	83.2
2240	82.2
2300	81.3
2360	80.4
2400	79.9
2500	79.8
2580	80
2650	80.2
2720	80.4
2800	80.5
2900	80.5
3000	80.3
3070	79.6
3150	78.9
3250	78.6
3350	78.7
3450	79
3550	79.1
3650	79.1
3750	79.3
3870	79.6
4000	79.8
4120	79.7
4250	79.4
4370	79
4500	78.5
4620	78
4750	77.6
4870	77.2
5000	76.9
5150	76.5
5300	76.1
5450	75.8
5600	75.5
5800	75.3
6000	74.9
6150	74.3
6300	73.7
6500	73.6
6700	74
6900	74.1
7100	73.3
7300	72.3
7500	71.8
7750	72.1
8000	72.6
8250	73.1
8500	73.2
8750	72.6
9000	71.7
9250	71
9500	70.8
9750	71
10000	71.5
10300	71.8
10600	71.5
10900	71.1
11200	71.6
11500	73.2
11800	74.2
12200	72.9
12500	70.5
12800	69.6
13200	70.6
13600	71
14000	68.8
14500	66
15000	65.5
15500	67
16000	67.5
16500	65.7
17000	63.4
17500	62.7
18000	62.6
18500	60.9
19000	57.3
19500	54.3
20000	54.3
20600	55.7
21200	56.7
21800	57.5
22400	58.3
