Frequency Spectrum for Input Signal

Data Shown:    Control 25T (JBL Professional)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 70°

Freq [Hz]	Signal Level [dBSPL]
22.4	-16
23	-14.1
23.6	-12.3
24	-10.4
25	-8.6
25.8	-6.8
26.5	-5
27.2	-3.2
28	-1.4
29	0.3
30	2.1
30.7	3.8
31.5	5.6
32.5	7.3
33.5	9
34.5	10.7
35.5	12.4
36.5	14.1
37.5	15.7
38.7	17.4
40	19
41.2	20.7
42.5	22.3
43.7	24
45	25.6
46.2	27.3
47.5	28.9
48.7	30.6
50	32.3
51.5	34
53	35.6
54.5	37.4
56	39.1
58	40.8
60	42.6
61.5	44.4
63	46.2
65	48.1
67	49.9
69	51.8
71	53.7
73	55.6
75	57.5
77.5	59.4
80	61.2
82.5	63.1
85	65
87.5	66.8
90	68.6
92.5	70.3
95	72.1
97.5	73.7
100	75.4
103	77
106	78.5
109	80
112	81.4
115	82.7
118	84
122	85.1
125	86.2
128	87.2
132	88.2
136	89
140	89.8
145	90.4
150	91
155	91.6
160	92
165	92.5
170	92.8
175	93.1
180	93.4
185	93.6
190	93.7
195	93.9
200	93.9
206	94
212	94
218	94
224	94
230	93.9
236	93.9
240	93.8
250	93.7
258	93.6
265	93.6
272	93.5
280	93.4
290	93.3
300	93.2
307	93.1
315	93
325	92.9
335	92.8
345	92.7
355	92.6
365	92.6
375	92.5
387	92.4
400	92.3
412	92.3
425	92.2
437	92.1
450	92.1
462	92
475	92
487	92
500	92
515	92
530	92
545	92
560	92
580	92
600	92.1
615	92.1
630	92.1
650	92.2
670	92.2
690	92.3
710	92.3
730	92.4
750	92.4
775	92.4
800	92.5
825	92.5
850	92.5
875	92.5
900	92.5
925	92.5
950	92.5
975	92.5
1000	92.5
1030	92.4
1060	92.4
1090	92.3
1120	92.2
1150	92.1
1180	92
1220	92
1250	91.8
1280	91.7
1320	91.6
1360	91.5
1400	91.4
1450	91.2
1500	91.1
1550	91
1600	90.9
1650	90.7
1700	90.6
1750	90.5
1800	90.4
1850	90.2
1900	90.2
1950	90
2000	90
2060	89.9
2120	89.8
2180	89.7
2240	89.7
2300	89.6
2360	89.6
2400	89.5
2500	89.5
2580	89.5
2650	89.4
2720	89.4
2800	89.4
2900	89.4
3000	89.4
3070	89.4
3150	89.4
3250	89.4
3350	89.4
3450	89.4
3550	89.4
3650	89.4
3750	89.4
3870	89.4
4000	89.4
4120	89.4
4250	89.4
4370	89.4
4500	89.4
4620	89.4
4750	89.4
4870	89.4
5000	89.4
5150	89.4
5300	89.4
5450	89.3
5600	89.3
5800	89.2
6000	89.1
6150	89
6300	88.9
6500	88.8
6700	88.6
6900	88.5
7100	88.3
7300	88.1
7500	87.9
7750	87.7
8000	87.4
8250	87.2
8500	86.9
8750	86.6
9000	86.2
9250	85.9
9500	85.4
9750	85.1
10000	84.6
10300	84.2
10600	83.8
10900	83.3
11200	82.9
11500	82.4
11800	81.9
12200	81.4
12500	80.9
12800	80.4
13200	79.8
13600	79.3
14000	78.8
14500	78.3
15000	77.7
15500	77.2
16000	76.6
16500	76
17000	75.5
17500	74.9
18000	74.3
18500	73.7
19000	73
19500	72.4
20000	71.7
20600	71
21200	70.3
21800	69.6
22400	68.9
