Freq[Hz]     dBSPL  Phase[Deg]
5.00000     44.777  -161.018
5.07273     44.690  -161.291
5.14651     44.603  -161.568
5.22137     44.515  -161.849
5.29732     44.428  -162.134
5.37437     44.341  -162.423
5.45254     44.254  -162.716
5.53185     44.167  -163.014
5.61231     44.079  -163.316
5.69394     43.992  -163.622
5.77676     43.905  -163.933
5.86079     43.818  -164.248
5.94604     43.731  -164.568
6.03252     43.643  -164.893
6.12027     43.556  -165.222
6.20929     43.469  -165.556
6.29961     43.382  -165.895
6.39124     43.295  -166.239
6.48420     43.207  -166.588
6.57851     43.120  -166.942
6.67420     43.033  -167.301
6.77128     42.946  -167.665
6.86977     42.859  -168.035
6.96969     42.771  -168.410
7.07107     42.684  -168.790
7.17392     42.597  -169.176
7.27827     42.510  -169.568
7.38413     42.422  -169.965
7.49154     42.335  -170.368
7.60050     42.248  -170.777
7.71105     42.161  -171.192
7.82321     42.074  -171.613
7.93701     41.986  -172.040
8.05245     41.899  -172.474
8.16958     41.812  -172.913
8.28841     41.725  -173.359
8.40896     41.638  -173.811
8.53128     41.550  -174.270
8.65537     41.463  -174.736
8.78126     41.376  -175.209
8.90899     41.289  -175.688
9.03857     41.202  -176.174
9.17004     41.114  -176.668
9.30342     41.027  -177.168
9.43874     40.940  -177.676
9.57603     40.853  -178.191
9.71532     40.766  -178.714
9.85663     40.678  -179.244
10.0000     40.591  -179.783
10.1455     40.564  -179.919
10.2930     40.516   179.911
10.4427     40.414   179.646
10.5946     40.311   179.382
10.7487     40.218   179.002
10.9051     40.125   178.599
11.0637     40.036   178.127
11.2246     39.949   177.581
11.3879     39.863   177.003
11.5535     39.778   176.311
11.7216     39.693   175.618
11.8921     39.606   174.781
12.0650     39.519   173.944
12.2405     39.426   172.981
12.4186     39.333   172.001
12.5992     39.232   170.907
12.7825     39.129   169.787
12.9684     39.014   168.557
13.1570     38.897   167.301
13.3484     38.764   165.933
13.5426     38.629   164.546
13.7395     38.473   163.038
13.9394     38.313   161.510
14.1421     38.128   159.875
14.3478     37.934   158.202
14.5565     37.719   156.448
14.7683     37.481   154.629
14.9831     37.228   152.759
15.2010     36.935   150.793
15.4221     36.625   148.791
15.6464     36.271   146.696
15.8740     35.881   144.539
16.1049     35.460   142.332
16.3392     34.961   140.013
16.5768     34.415   137.638
16.8179     33.808   135.191
17.0626     33.079   132.618
17.3107     32.259   129.963
17.5625     31.327   127.206
17.8180     30.138   124.232
18.0771     28.713   121.054
18.3401     26.988   117.604
18.6068     24.559   113.430
18.8775     20.715   107.015
19.1521     14.021    74.575
19.4306      5.387     4.750
19.7133     16.725   -50.849
20.0000     22.868   -68.634
20.2909     26.664   -74.591
20.5860     29.405   -79.157
20.8855     31.580   -83.281
21.1893     33.356   -87.243
21.4975     34.913   -91.183
21.8102     36.308   -95.144
22.1274     37.574   -99.157
22.4492     38.738  -103.241
22.7758     39.818  -107.413
23.1071     40.827  -111.683
23.4432     41.777  -116.062
23.7841     42.673  -120.563
24.1301     43.523  -125.185
24.4811     44.335  -129.931
24.8372     45.111  -134.803
25.1984     45.855  -139.803
25.5649     46.568  -144.930
25.9368     47.251  -150.185
26.3141     47.904  -155.563
26.6968     48.532  -161.061
27.0851     49.130  -166.674
27.4791     49.700  -172.397
27.8788     50.239  -178.221
28.2843     50.751   175.870
28.6957     51.229   169.890
29.1131     51.677   163.858
29.5365     52.090   157.793
29.9661     52.466   151.722
30.4020     52.803   145.673
30.8442     53.095   139.696
31.2929     53.342   133.834
31.7480     53.542   128.141
32.2098     53.694   122.687
32.6783     53.788   117.616
33.1536     53.835   113.014
33.6359     53.840   109.000
34.1251     53.812   105.822
34.6215     53.784   103.662
35.1250     53.795   102.580
35.6359     53.926   102.797
36.1543     54.241   103.996
36.6802     54.808   105.727
37.2137     55.663   107.301
37.7550     56.745   108.094
38.3041     58.006   107.567
38.8613     59.344   105.768
39.4265     60.704   102.627
40.0000     62.035    98.441
40.5818     63.313    93.356
41.1721     64.516    87.552
41.7710     65.643    81.224
42.3785     66.680    74.452
42.9949     67.632    67.385
43.6203     68.500    60.116
44.2548     69.278    52.723
44.8985     69.968    45.303
45.5515     70.576    37.940
46.2141     71.103    30.724
46.8863     71.552    23.752
47.5683     71.927    17.145
48.2602     72.244    11.011
48.9621     72.521     5.457
49.6743     72.784     0.571
50.3968     73.067    -3.611
51.1299     73.412    -7.144
51.8736     73.854   -10.208
52.6281     74.421   -13.099
53.3936     75.114   -16.172
54.1702     75.912   -19.747
54.9581     76.779   -24.052
55.7575     77.664   -29.173
56.5685     78.531   -35.064
57.3914     79.346   -41.620
58.2261     80.089   -48.705
59.0730     80.738   -56.180
59.9323     81.290   -63.859
60.8040     81.745   -71.587
61.6884     82.097   -79.192
62.5857     82.363   -86.525
63.4960     82.554   -93.419
64.4196     82.696   -99.778
65.3566     82.823  -105.517
66.3073     82.973  -110.700
67.2717     83.182  -115.455
68.2502     83.469  -120.053
69.2429     83.834  -124.776
70.2501     84.257  -129.877
71.2719     84.700  -135.482
72.3086     85.126  -141.587
73.3603     85.505  -148.089
74.4274     85.818  -154.818
75.5099     86.060  -161.580
76.6083     86.242  -168.195
77.7226     86.383  -174.536
78.8531     86.513   179.433
80.0000     86.659   173.636
81.1636     86.838   167.899
82.3442     87.048   162.009
83.5419     87.270   155.789
84.7570     87.468   149.165
85.9899     87.610   142.199
87.2406     87.666   135.046
88.5096     87.628   127.939
89.7970     87.500   121.124
91.1031     87.303   114.814
92.4282     87.075   109.122
93.7726     86.858   104.010
95.1366     86.681    99.312
96.5204     86.549    94.783
97.9243     86.449    90.244
99.3486     86.351    85.655
100.794     86.237    81.115
102.260     86.106    76.781
103.747     85.980    72.761
105.256     85.888    69.032
106.787     85.846    65.434
108.340     85.856    61.762
109.916     85.894    57.869
111.515     85.934    53.738
113.137     85.952    49.470
114.783     85.943    45.213
116.452     85.916    41.106
118.146     85.890    37.228
119.865     85.890    33.556
121.608     85.934    29.964
123.377     86.024    26.257
125.171     86.142    22.265
126.992     86.254    17.956
128.839     86.334    13.462
130.713     86.376     9.004
132.615     86.405     4.743
134.543     86.459     0.553
136.500     86.547    -3.746
138.486     86.639    -7.801
140.500     86.715   -12.445
142.544     86.751   -17.469
144.617     86.758   -21.768
146.721     86.781   -25.730
148.855     86.856   -29.925
151.020     86.977   -34.289
153.217     87.102   -38.995
155.445     87.184   -43.936
157.706     87.206   -48.821
160.000     87.187   -53.749
162.327     87.180   -58.246
164.688     87.213   -62.220
167.084     87.270   -66.655
169.514     87.308   -71.488
171.980     87.328   -75.969
174.481     87.402   -79.765
177.019     87.565   -83.760
179.594     87.759   -88.846
182.206     87.851   -94.924
184.856     87.803  -100.688
187.545     87.720  -105.284
190.273     87.681  -109.720
193.041     87.688  -114.062
195.849     87.722  -118.368
198.697     87.796  -123.105
201.587     87.855  -128.277
204.520     87.812  -133.518
207.494     87.705  -138.040
210.512     87.668  -142.192
213.574     87.708  -146.578
216.681     87.711  -150.936
219.833     87.684  -155.261
223.030     87.694  -159.680
226.274     87.696  -164.224
229.565     87.676  -168.463
232.905     87.716  -172.514
236.292     87.771  -177.007
239.729     87.739   178.185
243.216     87.684   173.935
246.754     87.669   169.857
250.343     87.647   165.571
253.984     87.630   161.478
257.678     87.610   157.445
261.426     87.595   153.569
265.229     87.656   149.626
269.087     87.665   145.256
273.001     87.625   141.503
276.972     87.677   137.866
281.000     87.697   133.707
285.088     87.714   129.709
289.234     87.729   125.564
293.441     87.754   122.099
297.709     87.943   117.844
302.040     87.881   112.496
306.433     87.704   108.903
310.890     87.734   105.242
315.412     87.713   101.370
320.000     87.766    97.481
324.655     87.709    93.218
329.377     87.662    89.927
334.168     87.698    85.908
339.028     87.679    81.821
343.959     87.640    77.694
348.962     87.548    74.044
354.038     87.535    70.533
359.188     87.466    66.743
364.412     87.458    63.125
369.713     87.368    58.953
375.090     87.276    56.018
380.546     87.313    52.224
386.081     87.238    48.284
391.697     87.132    44.408
397.394     87.019    41.006
403.175     86.953    37.598
409.039     86.878    34.161
414.989     86.754    30.394
421.025     86.622    27.245
427.149     86.510    23.813
433.362     86.342    20.548
439.665     86.147    17.244
446.060     85.915    14.219
452.548     85.685    11.486
459.131     85.425     9.024
465.809     85.191     6.836
472.584     84.967     4.813
479.458     84.745     3.169
486.432     84.577     1.741
493.507     84.445     0.403
500.686     84.357    -0.855
507.968     84.332    -2.098
515.357     84.351    -3.448
522.853     84.418    -4.985
530.458     84.520    -6.807
538.174     84.642    -8.874
546.002     84.777   -11.188
553.943     84.920   -13.816
562.001     85.063   -16.765
570.175     85.196   -20.034
578.469     85.312   -23.609
586.883     85.402   -27.390
595.419     85.461   -31.341
604.080     85.484   -35.520
612.866     85.468   -39.896
621.780     85.406   -44.440
630.824     85.293   -49.116
640.000     85.130   -53.789
649.309     84.914   -58.418
658.753     84.640   -63.048
668.335     84.296   -67.708
678.056     83.894   -72.153
687.919     83.423   -76.383
697.925     82.884   -80.301
708.077     82.292   -83.717
718.376     81.643   -86.565
728.825     80.955   -88.678
739.426     80.255   -89.896
750.181     79.587   -90.091
761.093     79.011   -89.262
772.163     78.599   -87.635
783.394     78.389   -85.619
794.789     78.398   -83.758
806.349     78.592   -82.642
818.078     78.910   -82.595
829.977     79.282   -83.714
842.050     79.652   -85.960
