"Estimated In-Room Response"
"Estimated In-Room Response"
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
20.5078	67.5304
23.4375	67.4937
26.3672	67.3159
29.2969	65.954
32.2266	66.8601
35.1563	71.0101
38.0859	74.4595
41.0156	79.8364
43.9453	81.2249
46.875	82.4136
49.8047	83.3648
52.7344	84.1524
55.6641	84.7927
58.5938	85.3517
61.5234	85.8728
64.4531	86.641
67.3828	86.9424
70.3125	87.2688
73.2422	87.5811
76.1719	87.8983
79.1016	88.0626
82.0313	88.2085
84.9609	88.2807
87.8906	88.3553
90.8203	88.3565
93.75	88.677
96.6797	88.654
102.539	88.6147
105.469	88.6331
108.398	88.8536
111.328	89.0004
117.188	88.957
120.117	89.069
125.977	89.0334
128.906	89.0111
134.766	89.1741
137.695	89.0684
143.555	88.83
149.414	88.5381
155.273	88.4284
158.203	88.6073
164.063	88.7834
169.922	88.6467
175.781	88.4292
181.641	88.1269
190.43	88.1799
196.289	88.471
202.148	88.4554
210.938	87.9776
216.797	87.8592
225.586	88.1773
234.375	88.1108
240.234	88.0272
249.023	87.6313
257.813	88.0407
266.602	88.5887
278.32	87.6911
287.109	87.7249
295.898	87.5835
307.617	87.8983
319.336	87.5928
331.055	87.8567
342.773	88.5445
354.492	88.4369
366.211	87.709
377.93	87.7256
392.578	87.9911
407.227	86.9142
421.875	87.558
436.523	87.2609
451.172	87.2084
465.82	86.6095
483.398	86.9802
500.977	86.5022
518.555	86.6204
536.133	86.7884
553.711	86.0716
574.219	86.8362
594.727	86.3979
615.234	87.159
638.672	87.8528
659.18	88.2228
682.617	88.6721
706.055	88.1815
732.422	87.358
758.789	87.1816
785.156	86.6671
811.523	86.4409
840.82	86.524
870.117	86.8563
902.344	87.5217
931.641	87.3552
966.797	87.5818
999.023	87.419
1,034.18	87.3153
1,072.27	87.1717
1,110.35	86.9202
1,148.44	86.9644
1,189.45	87.1992
1,230.47	87.4299
1,274.41	87.5635
1,318.36	87.0573
1,365.23	86.4927
1,415.04	85.9184
1,464.84	86.0357
1,514.65	86.6983
1,570.31	86.49
1,623.05	86.1046
1,681.64	85.2061
1,740.23	84.9625
1,801.76	84.9679
1,866.21	84.5001
1,930.66	83.3351
2,000.98	83.5977
2,071.29	84.3241
2,144.53	84.2778
2,217.77	83.6752
2,296.88	84.7512
2,378.91	85.5649
2,460.94	85.19
2,548.83	85.1389
2,639.65	85.5019
2,733.4	85.4056
2,827.15	85.4481
2,926.76	85.409
3,032.23	84.9656
3,137.7	85.2388
3,249.02	85.1503
3,363.28	84.992
3,483.4	85.0005
3,606.45	84.9873
3,732.42	84.9203
3,864.26	84.9399
3,999.02	85.0138
4,139.65	85.1663
4,286.13	85.1316
4,438.48	85.147
4,593.75	84.9861
4,757.81	84.842
4,924.8	84.781
5,097.66	84.1804
5,279.3	84.3895
5,463.87	84.1354
5,657.23	83.6817
5,856.45	83.8721
6,061.52	84.0857
6,275.39	84.1282
6,498.05	84.5148
6,726.56	84.8507
6,963.87	84.8289
7,209.96	84.5381
7,464.84	84.3007
7,728.52	84.4948
8,000.98	85.0328
8,282.23	85.4292
8,575.2	85.3111
8,876.95	84.7735
9,190.43	84.0147
9,512.7	82.5282
9,849.61	81.8704
10,195.3	81.4034
10,555.7	81.811
10,927.7	83.2042
11,314.5	84.2229
11,712.9	84.5671
12,126	85.083
12,553.7	85.1139
12,996.1	85.0787
13,453.1	85.498
13,927.7	85.3601
14,419.9	84.8716
14,929.7	84.7195
15,454.1	84.5411
15,999	84.137
16,564.5	83.5382
17,147.5	83.8313
17,753.9	87.1364
18,377.9	90.013
19,028.3	91.4536
19,699.2	91.8619
19,998	91.7669
