Frequency Spectrum for Input Signal

Data Shown:    PRX908 (JBL Professional)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 20°

Freq [Hz]	Signal Level [dBSPL]
22.4	42.2
23	42.4
23.6	40.8
24	40.8
25	41
25.8	40
26.5	39.5
27.2	39.1
28	38.7
29	38.7
30	40.1
30.7	41.7
31.5	42.9
32.5	45.4
33.5	47.9
34.5	49.8
35.5	52.9
36.5	54.9
37.5	56.3
38.7	58.5
40	60.5
41.2	62.1
42.5	63
43.7	64.5
45	66
46.2	67.3
47.5	69.1
48.7	70.4
50	71.5
51.5	72.6
53	74.1
54.5	75.4
56	76.3
58	77.6
60	79.1
61.5	80.2
63	81.2
65	82.4
67	83.5
69	84.4
71	85.2
73	85.9
75	86.5
77.5	87
80	87.3
82.5	87.4
85	87.4
87.5	87.3
90	87
92.5	86.8
95	86.5
97.5	86.2
100	85.9
103	85.6
106	85.3
109	84.9
112	84.4
115	84
118	83.8
122	83.6
125	83.4
128	83.3
132	83.2
136	83.1
140	83
145	82.9
150	82.8
155	82.7
160	82.6
165	82.5
170	82.4
175	82.5
180	82.6
185	82.7
190	82.7
195	82.6
200	82.6
206	82.5
212	82.6
218	82.9
224	83
230	83.1
236	83.3
240	83.4
250	83.5
258	83.4
265	83.2
272	83
280	83.2
290	83.4
300	83.5
307	83.4
315	83
325	82.5
335	82.2
345	82.4
355	83
365	83.7
375	84
387	84
400	83.9
412	83.8
425	83.6
437	83.4
450	83.7
462	84.3
475	84.5
487	84.5
500	84.2
515	84.2
530	84.4
545	84.2
560	84
580	84.1
600	84.4
615	84.3
630	84.4
650	84.6
670	84.5
690	84.2
710	84.2
730	84.2
750	84
775	84.2
800	84.8
825	85
850	84.6
875	84.2
900	84
925	83.8
950	83.9
975	83.9
1000	83.9
1030	83.3
1060	82.3
1090	82.4
1120	83
1150	83.2
1180	83.2
1220	83.3
1250	83.5
1280	82.9
1320	82.1
1360	82
1400	81.8
1450	81.4
1500	81.4
1550	80.9
1600	80.5
1650	80.6
1700	80.7
1750	80.3
1800	80.4
1850	80.6
1900	80.1
1950	79.6
2000	79.7
2060	80
2120	80
2180	79.9
2240	80.5
2300	81
2360	81.2
2400	81.3
2500	81.9
2580	82.5
2650	82.2
2720	82.4
2800	82.2
2900	82
3000	82.4
3070	83
3150	83.8
3250	84.5
3350	84.3
3450	83.6
3550	83.2
3650	83.3
3750	82.9
3870	82.6
4000	82.9
4120	83.2
4250	83.4
4370	82.5
4500	81.7
4620	81.2
4750	80.9
4870	80.4
5000	80.2
5150	80.5
5300	81.3
5450	82.4
5600	83.4
5800	83.8
6000	83.8
6150	83
6300	82.3
6500	82.2
6700	83
6900	83.5
7100	83.3
7300	83.1
7500	84
7750	85
8000	86
8250	85.7
8500	83.8
8750	81.7
9000	79.2
9250	80.6
9500	83.7
9750	85.7
10000	85.2
10300	82.9
10600	80.6
10900	79.5
11200	82.2
11500	87.1
11800	88.4
12200	83.3
12500	77.1
12800	74
13200	77.2
13600	81.7
14000	82.3
14500	81.5
15000	81.7
15500	78.9
16000	76.6
16500	78.5
17000	79.8
17500	77
18000	71.9
18500	72.8
19000	73.6
19500	67.7
20000	62.4
20600	58.4
21200	51.9
21800	45.6
22400	40.9
