Frequency Spectrum for Input Signal

Data Shown:    PRX915 (JBL Professional)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 170°  

Freq [Hz]	Signal Level [dBSPL]
22.4	52.3
23	51.8
23.6	51.2
24	51.8
25	51.4
25.8	51
26.5	51.2
27.2	51
28	52.3
29	53.8
30	56.8
30.7	59
31.5	60
32.5	62.4
33.5	64.4
34.5	65.8
35.5	68.2
36.5	69.9
37.5	71.1
38.7	72.9
40	74.5
41.2	75.9
42.5	76.7
43.7	78
45	79.3
46.2	80.5
47.5	82
48.7	83.1
50	84
51.5	84.8
53	85.9
54.5	87
56	87.6
58	88.4
60	89.5
61.5	90.3
63	91
65	91.9
67	92.8
69	93.5
71	94.2
73	94.6
75	95
77.5	95.4
80	95.6
82.5	95.5
85	95.1
87.5	94.4
90	94.2
92.5	93.9
95	93.4
97.5	93.2
100	93.1
103	92.7
106	92.4
109	92.3
112	91.8
115	91.3
118	90.9
122	90.5
125	90.2
128	90.1
132	90
136	89.9
140	89.5
145	89.6
150	89.5
155	88.9
160	89.1
165	89.1
170	88.7
175	88.6
180	88.6
185	87.8
190	87.2
195	86.8
200	87
206	87.2
212	86.9
218	85.5
224	83.8
230	83.7
236	84.4
240	86.2
250	88
258	88.2
265	87.7
272	86.4
280	85.8
290	85.9
300	85.1
307	85
315	85
325	85.7
335	84.3
345	83.3
355	85.1
365	86.2
375	84.5
387	82.5
400	84
412	84.7
425	84
437	84.4
450	83.4
462	82.6
475	82.7
487	82.6
500	82.8
515	81.2
530	82.1
545	82
560	77.9
580	78.6
600	80.8
615	76.7
630	70.3
650	74.8
670	70.2
690	68.9
710	68.4
730	70.7
750	76.8
775	72.9
800	76.1
825	71
850	72.5
875	76
900	74.5
925	73.9
950	71.2
975	71.7
1000	70.3
1030	64.7
1060	66.5
1090	58.2
1120	64.6
1150	71.4
1180	64.9
1220	68.6
1250	68.8
1280	63.6
1320	66.2
1360	68.5
1400	66.1
1450	62.7
1500	68
1550	72.9
1600	72.4
1650	70.5
1700	68.2
1750	64.5
1800	61.7
1850	62.3
1900	57.3
1950	52
2000	61.7
2060	65
2120	65.4
2180	67.1
2240	66.2
2300	63.8
2360	62.5
2400	59.8
2500	61.7
2580	60.8
2650	61.3
2720	66
2800	61.5
2900	55
3000	55.6
3070	57
3150	55.6
3250	53.3
3350	48.6
3450	43.5
3550	45.3
3650	48.2
3750	48.8
3870	50
4000	51.6
4120	49.5
4250	50.7
4370	47.2
4500	49.4
4620	45.7
4750	43.2
4870	50.4
5000	53.4
5150	56
5300	53.3
5450	51.7
5600	53.1
5800	44.1
6000	42.8
6150	46.8
6300	48.8
6500	50.9
6700	50.4
6900	48.8
7100	49.5
7300	48.6
7500	47.4
7750	45.8
8000	47.6
8250	51.1
8500	57.5
8750	62
9000	58.6
9250	55.6
9500	57.1
9750	60.2
10000	57.2
10300	55.7
10600	54.7
10900	53.6
11200	59.8
11500	59.4
11800	45.9
12200	53.1
12500	61.8
12800	60.5
13200	56.8
13600	57.7
14000	58.3
14500	59.1
15000	68.7
15500	64.4
16000	61.1
16500	64.2
17000	61.8
17500	61.2
18000	62.3
18500	57.6
19000	56.6
19500	56.3
20000	59.2
20600	63.1
21200	65.7
21800	67.3
22400	69.1
