Freq[Hz]     dBSPL  Phase[Deg]
5.00000     -9.482   161.411
5.07273    -11.978   163.260
5.14651    -13.177   151.257
5.22137    -10.756   100.569
5.29732     -8.334    49.881
5.37437     -5.912    -0.808
5.45254     -3.490   -51.496
5.53185     -1.570   -79.212
5.61231     -0.182   -82.629
5.69394      1.206   -86.046
5.77676      2.594   -89.463
5.86079      3.965   -92.901
5.94604      4.348   -97.579
6.03252      4.730  -102.256
6.12027      5.112  -106.933
6.20929      5.495  -111.611
6.29961      5.120  -117.026
6.39124      4.577  -122.605
6.48420      4.034  -128.184
6.57851      3.491  -133.763
6.67420      0.493  -143.956
6.77128     -2.903  -154.898
6.86977     -6.299  -165.839
6.96969     -8.922   178.947
7.07107     -5.656   131.229
7.17392     -2.390    83.511
7.27827      0.877    35.794
7.38413      3.391    10.756
7.49154      5.325     3.240
7.60050      7.259    -4.276
7.71105      8.937   -11.740
7.82321      9.490   -18.978
7.93701     10.044   -26.216
8.05245     10.597   -33.453
8.16958      9.900   -41.463
8.28841      9.155   -49.502
8.40896      8.411   -57.541
8.53128      3.355   -83.707
8.65537     -2.258  -112.212
8.78126     -7.871  -140.717
8.90899     -1.724   -64.803
9.03857      5.194    17.953
9.17004     11.615    90.481
9.30342     14.081    81.601
9.43874     16.546    72.720
9.57603     18.515    64.183
9.71532     19.727    56.170
9.85663     20.939    48.156
10.0000     21.461    40.698
10.1455     21.791    33.394
10.2930     21.873    26.647
10.4427     21.261    21.455
10.5946     20.650    16.263
10.7487     19.126    19.051
10.9051     17.421    23.432
11.0637     16.987    36.174
11.2246     17.899    57.759
11.3879     19.218    75.152
11.5535     22.017    77.262
11.7216     24.799    79.238
11.8921     26.549    73.330
12.0650     28.299    67.423
12.2405     29.349    59.779
12.4186     30.308    51.912
12.5992     30.726    43.802
12.7825     31.025    35.640
12.9684     30.763    28.315
13.1570     30.372    21.185
13.3484     29.273    17.473
13.5426     28.059    14.315
13.7395     26.527    23.237
13.9394     25.309    33.498
14.1421     26.571    50.417
14.3478     28.178    62.591
14.5565     30.527    64.560
14.7683     32.435    62.597
14.9831     34.004    57.598
15.2010     34.934    51.212
15.4221     35.637    44.738
15.6464     35.826    38.914
15.8740     35.740    34.811
16.1049     35.434    32.083
16.3392     35.074    34.792
16.5768     35.052    39.448
16.8179     35.524    46.637
17.0626     36.825    51.262
17.3107     38.276    53.534
17.5625     39.792    52.726
17.8180     41.008    49.252
18.0771     42.014    45.222
18.3401     42.807    40.892
18.6068     43.348    37.088
18.8775     43.786    34.241
19.1521     44.201    32.216
19.4306     44.644    30.971
19.7133     45.204    30.138
20.0000     45.840    28.974
20.2909     46.492    27.357
20.5860     47.115    25.300
20.8855     47.666    22.983
21.1893     48.116    20.885
21.4975     48.528    19.350
21.8102     48.962    18.376
22.1274     49.469    17.756
22.4492     50.069    17.117
22.7758     50.744    16.061
23.1071     51.443    14.357
23.4432     52.099    12.067
23.7841     52.672     9.482
24.1301     53.170     6.988
24.4811     53.620     4.823
24.8372     54.066     3.053
25.1984     54.545     1.561
25.5649     55.075     0.126
25.9368     55.644    -1.467
26.3141     56.230    -3.326
26.6968     56.806    -5.433
27.0851     57.358    -7.685
27.4791     57.882    -9.956
27.8788     58.388   -12.151
28.2843     58.891   -14.251
28.6957     59.404   -16.297
29.1131     59.928   -18.361
29.5365     60.459   -20.506
29.9661     60.987   -22.751
30.4020     61.508   -25.070
30.8442     62.014   -27.415
31.2929     62.514   -29.754
31.7480     63.011   -32.096
32.2098     63.504   -34.465
32.6783     63.991   -36.874
33.1536     64.465   -39.289
33.6359     64.932   -41.671
34.1251     65.397   -44.002
34.6215     65.868   -46.318
35.1250     66.346   -48.678
35.6359     66.828   -51.153
36.1543     67.304   -53.749
36.6802     67.769   -56.440
37.2137     68.218   -59.178
37.7550     68.662   -61.936
38.3041     69.103   -64.741
38.8613     69.544   -67.631
39.4265     69.978   -70.627
40.0000     70.406   -73.704
40.5818     70.826   -76.877
41.1721     71.235   -80.188
41.7710     71.618   -83.614
42.3785     71.962   -87.029
42.9949     72.284   -90.277
43.6203     72.610   -93.355
44.2548     72.956   -96.399
44.8985     73.312   -99.552
45.5515     73.662  -102.814
46.2141     74.003  -106.143
46.8863     74.332  -109.521
47.5683     74.653  -112.940
48.2602     74.969  -116.403
48.9621     75.280  -119.949
49.6743     75.579  -123.605
50.3968     75.857  -127.321
51.1299     76.119  -131.040
51.8736     76.373  -134.771
52.6281     76.618  -138.548
53.3936     76.851  -142.364
54.1702     77.073  -146.205
54.9581     77.282  -150.081
55.7575     77.475  -153.988
56.5685     77.649  -157.912
57.3914     77.802  -161.855
58.2261     77.926  -165.794
59.0730     78.021  -169.645
59.9323     78.105  -173.379
60.8040     78.186  -177.097
61.6884     78.257   179.140
62.5857     78.318   175.394
63.4960     78.376   171.624
64.4196     78.419   167.808
65.3566     78.440   164.079
66.3073     78.453   160.444
67.2717     78.445   156.906
68.2502     78.422   153.580
69.2429     78.405   150.400
70.2501     78.389   147.214
71.2719     78.362   144.000
72.3086     78.324   140.760
73.3603     78.267   137.473
74.4274     78.180   134.271
75.5099     78.078   131.269
76.6083     77.967   128.457
77.7226     77.861   125.907
78.8531     77.779   123.453
80.0000     77.707   120.944
81.1636     77.634   118.368
82.3442     77.562   115.749
83.5419     77.489   113.085
84.7570     77.405   110.481
85.9899     77.325   108.012
87.2406     77.250   105.611
88.5096     77.175   103.198
89.7970     77.082   100.735
91.1031     76.966    98.202
92.4282     76.807    95.721
93.7726     76.630    93.603
95.1366     76.491    91.811
96.5204     76.379    90.104
97.9243     76.282    88.581
99.3486     76.213    87.069
100.794     76.152    85.474
102.260     76.098    83.740
103.747     76.044    81.915
105.256     75.996    80.022
106.787     75.951    78.066
108.340     75.877    76.067
109.916     75.764    74.343
111.515     75.677    73.037
113.137     75.633    71.684
114.783     75.603    70.207
116.452     75.577    68.702
118.146     75.559    67.170
119.865     75.549    65.629
121.608     75.539    64.098
123.377     75.533    62.476
125.171     75.532    60.819
126.992     75.528    59.012
128.839     75.532    57.165
130.713     75.524    55.238
132.615     75.486    53.438
134.543     75.453    51.807
136.500     75.439    50.137
138.486     75.425    48.534
140.500     75.412    46.846
142.544     75.395    44.845
144.617     75.319    43.204
146.721     75.280    42.110
148.855     75.336    40.683
151.020     75.389    38.608
153.217     75.358    36.308
155.445     75.280    34.426
157.706     75.221    32.572
160.000     75.084    31.025
162.327     75.036    30.244
164.688     75.058    29.242
167.084     75.180    28.046
169.514     75.266    24.491
171.980     74.946    21.995
174.481     74.799    21.865
177.019     74.797    21.349
179.594     74.806    20.345
182.206     74.818    19.130
184.856     74.886    18.442
187.545     75.017    17.495
190.273     75.192    15.869
193.041     75.350    13.555
195.849     75.406    11.289
198.697     75.446     9.057
201.587     75.526     6.417
204.520     75.460     3.435
207.494     75.316     1.171
210.512     75.181    -0.206
213.574     75.163    -2.044
216.681     75.131    -3.643
219.833     75.023    -5.627
223.030     74.949    -6.908
226.274     74.830    -8.434
229.565     74.826    -9.090
232.905     74.904   -10.382
236.292     74.927   -11.707
239.729     74.998   -13.259
243.216     75.102   -15.518
246.754     75.123   -17.551
250.343     75.136   -19.553
253.984     75.201   -21.730
257.678     75.199   -24.616
261.426     75.119   -27.399
265.229     75.029   -30.896
269.087     74.583   -32.861
273.001     74.435   -33.024
276.972     74.464   -34.505
281.000     74.399   -36.458
285.088     74.309   -38.319
289.234     74.210   -40.154
293.441     74.192   -42.261
297.709     74.101   -44.910
302.040     73.972   -48.011
306.433     73.484   -50.107
310.890     73.386   -50.811
315.412     73.215   -53.758
320.000     72.858   -56.714
324.655     72.314   -57.827
329.377     72.099   -57.681
334.168     71.852   -59.053
339.028     71.580   -59.392
343.959     71.398   -60.109
348.962     71.249   -60.795
354.038     71.084   -61.304
359.188     71.025   -62.065
364.412     70.796   -63.716
369.713     70.563   -63.327
375.090     70.569   -63.693
380.546     70.571   -64.565
386.081     70.504   -65.224
391.697     70.509   -66.121
397.394     70.631   -66.837
403.175     70.553   -69.169
409.039     70.543   -69.757
414.989     70.666   -71.019
421.025     70.810   -72.400
427.149     70.941   -74.252
433.362     71.103   -75.951
439.665     71.369   -78.285
446.060     71.438   -81.588
452.548     71.612   -84.280
459.131     71.704   -87.291
465.809     71.937   -90.335
472.584     72.015   -94.324
479.458     72.105   -97.699
486.432     72.211  -101.521
493.507     72.251  -105.674
500.686     72.279  -109.609
507.968     72.283  -113.672
515.357     72.281  -117.689
522.853     72.242  -121.723
530.458     72.176  -125.739
538.174     72.093  -129.661
546.002     71.985  -133.390
553.943     71.834  -137.111
562.001     71.691  -140.704
570.175     71.491  -144.028
578.469     71.274  -147.348
586.883     71.029  -150.412
595.419     70.770  -153.296
604.080     70.491  -156.022
612.866     70.201  -158.494
621.780     69.906  -160.741
630.824     69.612  -162.641
640.000     69.327  -164.320
649.309     69.083  -165.684
658.753     68.854  -166.829
668.335     68.677  -167.827
678.056     68.545  -168.635
687.919     68.467  -169.471
697.925     68.435  -170.317
708.077     68.460  -171.313
718.376     68.517  -172.393
728.825     68.609  -173.721
739.426     68.733  -175.249
750.181     68.872  -177.063
761.093     69.035  -179.011
772.163     69.203   178.871
783.394     69.388   176.503
794.789     69.589   173.931
806.349     69.806   171.174
818.078     70.034   168.186
829.977     70.284   164.910
842.050     70.541   161.306
854.298     70.808   157.301
866.724     71.078   152.997
879.330     71.332   148.112
892.120     71.573   142.766
905.097     71.777   136.911
918.262     71.941   130.565
931.618     72.049   123.721
945.169     72.080   116.447
958.917     72.024   108.711
972.864     71.870   100.536
987.015     71.602    92.056
1001.37     71.179    83.094
1015.94     70.590    73.846
1030.71     69.817    64.477
1045.71     68.791    54.847
1060.92     67.433    45.151
1076.35     65.644    35.812
1092.00     63.227    27.343
1107.89     59.650    21.560
1124.00     53.827    27.865
1140.35     49.692    85.747
1156.94     55.779   124.011
1173.77     60.422   123.128
1190.84     63.211   115.033
1208.16     65.038   104.775
1225.73     66.268    93.592
1243.56     67.041    81.857
1261.65     67.443    70.105
1280.00     67.510    58.427
1298.62     67.301    47.177
1317.51     66.802    36.510
1336.67     66.047    26.924
1356.11     65.085    19.035
1375.84     64.008    13.597
1395.85     63.008    10.945
1416.15     62.381    10.514
1436.75     62.281    10.451
1457.65     62.609     8.200
1478.85     63.088     3.050
1500.36     63.482    -4.669
1522.19     63.635   -14.174
1544.33     63.515   -24.642
1566.79     63.064   -34.986
1589.58     62.339   -44.450
1612.70     61.435   -51.546
1636.16     60.575   -55.640
1659.95     60.122   -56.900
1684.10     60.365   -58.015
1708.60     61.109   -61.821
1733.45     61.993   -69.221
1758.66     62.687   -79.550
1784.24     63.072   -91.674
1810.19     63.087  -104.125
1836.52     62.706  -115.926
1863.24     61.989  -125.556
1890.34     61.096  -131.525
1917.83     60.436  -133.191
1945.73     60.456  -132.410
1974.03     61.197  -133.328
2002.74     62.110  -137.843
2031.87     62.833  -145.182
