Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -11.624   158.076
5.07273    -14.119   159.872
5.14651    -15.318   147.815
5.22137    -12.896    97.069
5.29732    -10.473    46.323
5.37437     -8.050    -4.423
5.45254     -5.627   -55.169
5.53185     -3.707   -82.946
5.61231     -2.318   -86.425
5.69394     -0.929   -89.903
5.77676      0.460   -93.382
5.86079      1.832   -96.882
5.94604      2.216  -101.625
6.03252      2.599  -106.368
6.12027      2.983  -111.112
6.20929      3.366  -115.855
6.29961      2.993  -121.338
6.39124      2.452  -126.987
6.48420      1.911  -132.635
6.57851      1.370  -138.283
6.67420     -1.626  -148.547
6.77128     -5.021  -159.561
6.86977     -8.415  -170.575
6.96969    -11.035   174.138
7.07107     -7.767   126.346
7.17392     -4.498    78.554
7.27827     -1.230    30.761
7.38413      1.288     5.648
7.49154      3.225    -1.945
7.60050      5.161    -9.538
7.71105      6.842   -17.080
7.82321      7.399   -24.396
7.93701      7.955   -31.713
8.05245      8.512   -39.030
8.16958      7.818   -47.120
8.28841      7.077   -55.240
8.40896      6.336   -63.359
8.53128      1.283   -89.607
8.65537     -4.327  -118.194
8.78126     -9.936  -146.782
8.90899     -3.785   -70.951
9.03857      3.136    11.721
9.17004      9.561    84.165
9.30342     12.030    75.199
9.43874     14.499    66.234
9.57603     16.472    57.610
9.71532     17.687    49.509
9.85663     18.902    41.408
10.0000     19.428    33.860
10.1455     19.761    26.466
10.2930     19.846    19.628
10.4427     19.238    14.343
10.5946     18.630     9.057
10.7487     17.109    11.749
10.9051     15.406    16.033
11.0637     14.976    28.675
11.2246     15.891    50.158
11.3879     17.212    67.448
11.5535     20.015    69.450
11.7216     22.799    71.318
11.8921     24.552    65.296
12.0650     26.304    59.274
12.2405     27.356    51.510
12.4186     28.318    43.521
12.5992     28.739    35.283
12.7825     29.040    26.990
12.9684     28.782    19.528
13.1570     28.393    12.259
13.3484     27.297     8.399
13.5426     26.087     5.093
13.7395     24.559    13.858
13.9394     23.345    23.960
14.1421     24.613    40.712
14.3478     26.226    52.717
14.5565     28.581    54.510
14.7683     30.497    52.368
14.9831     32.074    47.186
15.2010     33.013    40.613
15.4221     33.726    33.949
15.6464     33.927    27.932
15.8740     33.853    23.635
16.1049     33.561    20.711
16.3392     33.216    23.224
16.5768     33.210    27.685
16.8179     33.699    34.679
17.0626     35.019    39.113
17.3107     36.490    41.195
