Freq[Hz]     dBSPL  Phase[Deg]
5.00000    -10.936   159.194
5.07273    -13.431   160.999
5.14651    -14.630   148.950
5.22137    -12.208    98.213
5.29732     -9.786    47.475
5.37437     -7.363    -3.262
5.45254     -4.941   -53.999
5.53185     -3.021   -81.766
5.61231     -1.632   -85.236
5.69394     -0.243   -88.706
5.77676      1.146   -92.176
5.86079      2.518   -95.667
5.94604      2.902  -100.400
6.03252      3.285  -105.134
6.12027      3.669  -109.867
6.20929      4.052  -114.601
6.29961      3.679  -120.074
6.39124      3.138  -125.712
6.48420      2.597  -131.350
6.57851      2.057  -136.988
6.67420     -0.939  -147.241
6.77128     -4.332  -158.243
6.86977     -7.726  -169.246
6.96969    -10.345   175.479
7.07107     -7.076   127.699
7.17392     -3.806    79.919
7.27827     -0.537    32.139
7.38413      1.981     7.039
7.49154      3.919    -0.541
7.60050      5.857    -8.120
7.71105      7.539   -15.647
7.82321      8.097   -22.949
7.93701      8.655   -30.250
8.05245      9.213   -37.552
8.16958      8.520   -45.625
8.28841      7.781   -53.728
8.40896      7.041   -61.831
8.53128      1.990   -88.061
8.65537     -3.618  -116.629
8.78126     -9.225  -145.198
8.90899     -3.073   -69.348
9.03857      3.851    13.344
9.17004     10.277    85.809
9.30342     12.748    76.865
9.43874     15.219    67.921
9.57603     17.195    59.320
9.71532     18.412    51.243
9.85663     19.630    43.166
10.0000     20.158    35.643
10.1455     20.494    28.275
10.2930     20.582    21.464
10.4427     19.977    16.206
10.5946     19.372    10.948
10.7487     17.854    13.670
10.9051     16.155    17.984
11.0637     15.727    30.658
11.2246     16.645    52.174
11.3879     17.970    69.497
11.5535     20.776    71.536
11.7216     23.564    73.440
11.8921     25.321    67.458
12.0650     27.077    61.475
12.2405     28.134    53.753
12.4186     29.100    45.807
12.5992     29.525    37.616
12.7825     29.830    29.371
12.9684     29.576    21.960
13.1570     29.192    14.743
13.3484     28.101    10.940
13.5426     26.895     7.691
13.7395     25.371    16.516
13.9394     24.162    26.681
14.1421     25.434    43.500
14.3478     27.051    55.573
14.5565     29.409    57.438
14.7683     31.328    55.370
14.9831     32.909    50.264
15.2010     33.851    43.770
15.4221     34.568    37.187
15.6464     34.770    31.253
15.8740     34.698    27.040
16.1049     34.407    24.202
16.3392     34.063    26.802
16.5768     34.058    31.350
16.8179     34.548    38.432
17.0626     35.868    42.953
17.3107     37.338    45.123
17.5625     38.874    44.216
17.8180     40.110    40.648
18.0771     41.138    36.527
18.3401     41.953    32.109
18.6068     42.515    28.223
18.8775     42.976    25.300
19.1521     43.413    23.203
19.4306     43.879    21.890
19.7133     44.462    20.996
20.0000     45.121    19.775
20.2909     45.796    18.106
20.5860     46.441    16.000
20.8855     47.015    13.638
21.1893     47.487    11.498
21.4975     47.919     9.921
21.8102     48.375     8.908
22.1274     48.901     8.246
22.4492     49.521     7.565
22.7758     50.215     6.463
23.1071     50.932     4.710
23.4432     51.607     2.365
23.7841     52.198    -0.280
24.1301     52.715    -2.842
24.4811     53.183    -5.082
24.8372     53.649    -6.934
25.1984     54.149    -8.513
25.5649     54.701   -10.043
25.9368     55.294   -11.734
26.3141     55.905   -13.694
26.6968     56.509   -15.903
27.0851     57.090   -18.256
27.4791     57.645   -20.625
27.8788     58.185   -22.911
28.2843     58.724   -25.093
28.6957     59.273   -27.210
29.1131     59.835   -29.334
29.5365     60.405   -31.524
29.9661     60.973   -33.800
30.4020     61.534   -36.137
30.8442     62.079   -38.484
31.2929     62.618   -40.814
31.7480     63.153   -43.137
32.2098     63.683   -45.481
32.6783     64.204   -47.861
33.1536     64.713   -50.245
33.6359     65.212   -52.600
34.1251     65.710   -54.909
34.6215     66.213   -57.208
35.1250     66.723   -59.558
35.6359     67.239   -62.030
36.1543     67.749   -64.628
36.6802     68.249   -67.322
37.2137     68.736   -70.063
37.7550     69.219   -72.818
38.3041     69.703   -75.614
38.8613     70.187   -78.482
39.4265     70.665   -81.444
40.0000     71.138   -84.473
40.5818     71.604   -87.582
41.1721     72.058   -90.816
41.7710     72.485   -94.154
42.3785     72.874   -97.471
42.9949     73.239  -100.614
43.6203     73.608  -103.580
44.2548     73.995  -106.509
44.8985     74.394  -109.543
45.5515     74.785  -112.683
46.2141     75.167  -115.886
46.8863     75.539  -119.132
47.5683     75.902  -122.414
48.2602     76.259  -125.735
48.9621     76.613  -129.133
49.6743     76.952  -132.636
50.3968     77.271  -136.194
51.1299     77.574  -139.751
51.8736     77.870  -143.317
52.6281     78.156  -146.925
53.3936     78.430  -150.567
54.1702     78.693  -154.232
54.9581     78.944  -157.928
55.7575     79.179  -161.652
56.5685     79.395  -165.391
57.3914     79.592  -169.147
58.2261     79.762  -172.894
59.0730     79.905  -176.542
59.9323     80.037   179.943
60.8040     80.171   176.471
61.6884     80.294   172.989
62.5857     80.406   169.562
63.4960     80.510   166.148
64.4196     80.593   162.711
65.3566     80.648   159.365
66.3073     80.689   156.096
67.2717     80.704   152.886
68.2502     80.703   149.844
69.2429     80.711   146.912
70.2501     80.727   143.954
71.2719     80.738   140.977
