"Directivity Index"			
"Sound Power DI"		"Early Reflections DI"	
"Frequency [Hz]"	"[dB] Directivity Index "	"Frequency [Hz]"	"[dB] Directivity Index "
20.5078	-4.44018	20.5078	-0.857886
21.9727	-2.00216	21.9727	-0.199962
23.4375	-2.18197	23.4375	-0.262915
24.9023	-2.14122	24.9023	-0.349667
26.3672	-2.30233	26.3672	-0.496391
27.832	-2.02877	27.832	-0.418224
29.2969	-1.89892	29.2969	-0.443473
30.7617	-1.66419	30.7617	-0.374313
32.2266	-1.60035	32.2266	-0.394202
33.6914	-1.45468	33.6914	-0.363062
35.1562	-1.38721	35.1562	-0.364341
36.6211	-1.28666	36.6211	-0.34681
38.0859	-1.20081	38.0859	-0.335843
39.5508	-1.07134	39.5508	-0.306994
41.0156	-0.963656	41.0156	-0.278031
42.4805	-0.945023	42.4805	-0.283598
43.9453	-0.885378	43.9453	-0.271876
45.4102	-0.809894	45.4102	-0.252306
46.875	-0.763313	46.875	-0.242255
48.3398	-0.736002	48.3398	-0.239485
51.2695	-0.635528	51.2695	-0.215633
52.7344	-0.613428	52.7344	-0.21406
54.1992	-0.573211	54.1992	-0.203824
55.6641	-0.493617	55.6641	-0.178752
58.5938	-0.470133	58.5938	-0.175556
60.0586	-0.411217	60.0586	-0.157026
62.9883	-0.359703	62.9883	-0.142863
64.4531	-0.355032	64.4531	-0.141898
67.3828	-0.347358	67.3828	-0.144125
68.8477	-0.351986	68.8477	-0.148126
71.7773	-0.279257	71.7773	-0.124025
74.707	-0.247333	74.707	-0.115497
77.6367	-0.184052	77.6367	-0.0943245
79.1016	-0.171787	79.1016	-0.0913678
82.0312	-0.15636	82.0312	-0.0873149
84.9609	-0.16539	84.9609	-0.0906058
87.8906	-0.253841	87.8906	-0.125379
90.8203	-0.075832	90.8203	-0.0576097
95.2148	-0.101781	95.2148	-0.0615984
98.1445	0.0155559	98.1445	-0.0180645
101.074	0.0158767	101.074	-0.0203818
105.469	0.101114	105.469	0.0110609
108.398	0.0856618	108.398	0.00361917
112.793	0.203143	112.793	0.0550225
117.188	0.343867	117.188	0.11122
120.117	0.415652	120.117	0.127844
124.512	0.259442	124.512	0.0665303
128.906	0.162753	128.906	0.045067
133.301	0.26331	133.301	0.0919952
139.16	0.27884	139.16	0.102265
143.555	0.293776	143.555	0.119329
147.949	0.537753	147.949	0.220393
153.809	0.624277	153.809	0.240977
159.668	0.581386	159.668	0.231283
165.527	0.51648	165.527	0.209595
171.387	0.600392	171.387	0.259793
177.246	0.707227	177.246	0.307113
183.105	0.770514	183.105	0.333137
188.965	0.889941	188.965	0.386753
196.289	1.00776	196.289	0.439762
203.613	1.24257	203.613	0.528787
210.938	1.28647	210.938	0.523526
218.262	1.12493	218.262	0.458326
225.586	1.26113	225.586	0.549073
232.91	1.59101	232.91	0.632631
241.699	1.53584	241.699	0.609031
250.488	1.68739	250.488	0.688499
259.277	1.73696	259.277	0.703212
268.066	1.7171	268.066	0.749936
276.855	1.77242	276.855	0.67981
287.109	1.78093	287.109	0.72328
297.363	2.05394	297.363	0.779379
307.617	2.07561	307.617	0.738013
319.336	2.28093	319.336	0.887092
329.59	1.95415	329.59	0.655038
341.309	2.00142	341.309	0.813733
353.027	2.32992	353.027	0.917796
366.211	2.69512	366.211	1.10034
379.395	2.59932	379.395	1.01037
392.578	2.34746	392.578	0.924783
405.762	2.98572	405.762	1.27762
420.41	3.21233	420.41	1.15681
435.059	2.80993	435.059	1.10234
451.172	3.33695	451.172	1.21133
465.82	3.27584	465.82	1.1253
483.398	3.25175	483.398	1.16205
499.512	3.59596	499.512	1.33696
517.09	3.13323	517.09	1.08458
536.133	4.22498	536.133	1.78953
555.176	4.44318	555.176	1.71976
574.219	4.41771	574.219	1.62966
594.727	4.61632	594.727	1.90634
615.234	5.06145	615.234	2.12837
637.207	4.64872	637.207	1.89134
659.18	4.73939	659.18	1.81944
682.617	4.80526	682.617	1.96304
707.52	4.39437	707.52	1.72241
732.422	4.37846	732.422	1.71511
757.324	4.57673	757.324	1.93173
785.156	4.88919	785.156	2.07988
811.523	5.31841	811.523	2.37707
840.82	5.19665	840.82	2.21834
870.117	5.43075	870.117	2.36397
900.879	5.5119	900.879	2.31655
933.105	5.67148	933.105	2.43743
965.332	5.72155	965.332	2.47396
1,000.49	5.78614	1,000.49	2.50934
1,035.64	5.78633	1,035.64	2.59366
1,072.27	5.80331	1,072.27	2.53566
1,108.89	5.50869	1,108.89	2.4845
1,148.44	5.65403	1,148.44	2.46403
1,189.45	5.79603	1,189.45	2.62093
1,230.47	5.93173	1,230.47	2.74162
1,274.41	6.17441	1,274.41	2.80337
1,319.82	6.19298	1,319.82	2.74413
1,366.7	6.31049	1,366.7	2.83812
1,413.57	6.18189	1,413.57	2.84545
1,463.38	6.14166	1,463.38	2.83246
1,516.11	5.99607	1,516.11	2.62268
1,568.85	5.97398	1,568.85	2.77815
1,624.51	6.67845	1,624.51	2.99356
1,681.64	7.10123	1,681.64	3.26053
1,741.7	7.43862	1,741.7	3.45336
1,803.22	6.54294	1,803.22	3.11984
1,866.21	5.61115	1,866.21	2.69734
1,932.13	5.14693	1,932.13	2.64799
1,999.51	5.38436	1,999.51	2.65499
2,069.82	5.76974	2,069.82	2.60779
2,143.07	5.7871	2,143.07	2.45424
2,219.24	5.62995	2,219.24	2.34051
2,296.88	5.15836	2,296.88	2.15768
2,378.91	5.55295	2,378.91	2.17022
2,462.4	5.99969	2,462.4	2.36773
2,548.83	5.78789	2,548.83	2.29713
2,639.65	5.14466	2,639.65	1.94063
2,731.93	4.88822	2,731.93	1.822
2,828.61	4.91133	2,828.61	1.8393
2,928.22	4.92984	2,928.22	1.85689
3,030.76	4.74537	3,030.76	1.74591
3,137.7	4.4935	3,137.7	1.4772
3,249.02	4.60127	3,249.02	1.44303
3,363.28	4.95604	3,363.28	1.58412
3,481.93	5.10235	3,481.93	1.57201
3,604.98	4.85612	3,604.98	1.31491
3,732.42	5.1604	3,732.42	1.61144
3,864.26	5.01851	3,864.26	1.46241
4,000.49	4.81252	4,000.49	1.29091
4,141.11	5.55107	4,141.11	1.82582
4,287.6	5.53895	4,287.6	1.95787
4,438.48	5.71359	4,438.48	2.10713
4,595.21	5.61248	4,595.21	1.93059
4,756.35	6.06103	4,756.35	2.24779
4,924.8	6.19097	4,924.8	2.2086
5,097.66	5.98932	5,097.66	2.0086
5,277.83	6.31192	5,277.83	2.14978
5,463.87	6.27761	5,463.87	2.17564
5,657.23	6.94445	5,657.23	2.74223
5,856.45	6.78668	5,856.45	2.59214
6,062.99	7.49965	6,062.99	3.10722
6,276.86	7.54648	6,276.86	3.15518
6,498.05	7.75035	6,498.05	3.40109
6,726.56	7.90297	6,726.56	3.54687
6,963.87	8.20241	6,963.87	3.67913
7,209.96	8.47115	7,209.96	3.78674
7,464.84	8.6683	7,464.84	4.00521
7,727.05	8.95578	7,727.05	4.08915
7,999.51	9.03817	7,999.51	4.07331
8,282.23	9.1084	8,282.23	4.0881
8,573.73	9.40445	8,573.73	4.20729
8,876.95	9.50341	8,876.95	4.28129
9,188.96	9.72396	9,188.96	4.39485
9,514.16	10.0083	9,514.16	4.52262
9,849.61	10.1655	9,849.61	4.59334
10,196.8	10.3188	10,196.8	4.67737
10,555.7	10.4726	10,555.7	4.7683
10,927.7	10.6212	10,927.7	4.83956
11,313	10.7353	11,313	4.93029
11,712.9	10.814	11,712.9	4.98322
12,126	10.9372	12,126	5.07305
12,553.7	11.0271	12,553.7	5.11806
12,996.1	11.078	12,996.1	5.18023
13,454.6	11.1341	13,454.6	5.26967
13,929.2	11.241	13,929.2	5.26681
14,419.9	11.2031	14,419.9	5.23149
14,928.2	11.1041	14,928.2	5.10844
15,455.6	10.9385	15,455.6	5.14632
16,000.5	11.0276	16,000.5	5.24051
16,564.5	11.2104	16,564.5	5.37075
17,148.9	11.8499	17,148.9	5.56751
17,752.4	12.4374	17,752.4	5.70549
18,379.4	12.5745	18,379.4	5.70766
19,026.9	12.6382	19,026.9	5.70003
19,697.8	12.7581	19,697.8	5.74177
19,999.5	12.8286	19,999.5	5.72322
