Frequency Spectrum for Input Signal

Data Shown:    KX12 Horn H (K-array)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 90°  

Freq [Hz]	Signal Level [dBSPL]
22.4	63.6
23	64.1
23.6	65.1
24	68.4
25	70.6
25.8	72.2
26.5	73.3
27.2	73.2
28	69
29	67.2
30	67.3
30.7	70
31.5	71.4
32.5	72.1
33.5	70.5
34.5	67.5
35.5	60.5
36.5	54.1
37.5	51.6
38.7	61.1
40	68.1
41.2	70.6
42.5	70.5
43.7	68.8
45	66.7
46.2	64.5
47.5	61.1
48.7	59.7
50	61.1
51.5	68.4
53	70.9
54.5	69.1
56	65.2
58	67.6
60	68
61.5	63.9
63	64.6
65	67.3
67	65.4
69	63.4
71	64.1
73	65.1
75	65.6
77.5	66.4
80	68.7
82.5	70
85	70.4
87.5	70.3
90	70
92.5	69.3
95	68.9
97.5	68.3
100	67.8
103	69.7
106	71.4
109	74.3
112	76
115	76.8
118	77.8
122	78.4
125	79
128	79.3
132	79.7
136	79.7
140	80.2
145	80.4
150	80.3
155	79.9
160	79.4
165	78.6
170	78.6
175	78.9
180	79.3
185	79.7
190	79.2
195	77.8
200	75.3
206	74.5
212	76.9
218	80
224	81.2
230	81.7
236	81.6
240	79.9
250	81.5
258	81.9
265	83.3
272	84.3
280	84.3
290	82.6
300	81.9
307	80.8
315	78.3
325	74.6
335	69.3
345	69.2
355	74.1
365	79.9
375	82.4
387	84.2
400	84.5
412	85.6
425	86.2
437	85.2
450	84
462	87.8
475	90.3
487	89.9
500	90
515	91
530	89.9
545	87.2
560	84.5
580	86.4
600	85.7
615	87
630	88.1
650	89.4
670	86.1
690	81.4
710	83
730	82.7
750	80
775	82.8
800	83.9
825	83
850	80.7
875	81
900	81.2
925	80.4
950	81.2
975	80.3
1000	81.9
1030	81.2
1060	80.9
1090	82.7
1120	80.4
1150	82.3
1180	79.1
1220	82.8
1250	82.5
1280	84.8
1320	82.6
1360	84.8
1400	87
1450	88.7
1500	90.2
1550	86.8
1600	93
1650	91.4
1700	86.9
1750	84.2
1800	87
1850	85.7
1900	83.8
1950	83.3
2000	81.5
2060	80.3
2120	81.6
2180	78.3
2240	80.1
2300	75.3
2360	73.8
2400	74.4
2500	75.4
2580	74.8
2650	73.6
2720	71.9
2800	72.4
2900	76.5
3000	75.4
3070	74.6
3150	74.4
3250	72.8
3350	69.7
3450	67.9
3550	69.2
3650	69
3750	68.2
3870	70.5
4000	71.6
4120	68.6
4250	69
4370	67
4500	64.7
4620	62.9
4750	61.5
4870	62
5000	61.1
5150	63.3
5300	66.6
5450	67.5
5600	67.4
5800	67.8
6000	70.4
6150	69.5
6300	67.4
6500	64.5
6700	62.8
6900	60.2
7100	59.5
7300	64.6
7500	65.2
7750	60
8000	61.5
8250	59
8500	65.6
8750	68.4
9000	70.4
9250	68.9
9500	69
9750	70.7
10000	68.6
10300	72.2
10600	74.2
10900	75
11200	75.3
11500	71.5
11800	69.7
12200	72.2
12500	73
12800	70
13200	67.4
13600	65.8
14000	70.8
14500	64.4
15000	64.4
15500	67.8
16000	67.3
16500	62.6
17000	62.1
17500	59.7
18000	56.6
18500	53.1
19000	47.5
19500	48.1
20000	48
20600	47.3
21200	44.4
21800	45.5
22400	42.4
