Frequency Spectrum for Input Signal

Data Shown:    KX12 Horn H (K-array)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 120°  

Freq [Hz]	Signal Level [dBSPL]
22.4	63
23	63.5
23.6	64.5
24	67.8
25	70
25.8	71.6
26.5	72.7
27.2	72.6
28	76.1
29	74.2
30	74.1
30.7	76.6
31.5	77.9
32.5	78.5
33.5	76.8
34.5	73.7
35.5	66.7
36.5	60.2
37.5	57.6
38.7	67.1
40	74
41.2	76.5
42.5	76.4
43.7	74.8
45	72.6
46.2	70.4
47.5	67
48.7	65.7
50	67.2
51.5	74.4
53	77.1
54.5	75.4
56	71.6
58	74
60	74.6
61.5	70.6
63	71.4
65	74.2
67	72.5
69	70.6
71	71.4
73	72.6
75	73.2
77.5	74.1
80	76.6
82.5	78.1
85	78.5
87.5	78.2
90	77.7
92.5	77
95	76.5
97.5	75.9
100	75.4
103	77.3
106	79
109	82
112	83.6
115	84.7
118	85.9
122	86.7
125	87.4
128	87.9
132	88.4
136	88.4
140	89.2
145	89.6
150	89.8
155	89.7
160	89.4
165	88.7
170	88.9
175	89.3
180	89.7
185	90.1
190	89.6
195	88.2
200	85.4
206	84.1
212	86.2
218	89
224	89.8
230	89.9
236	89.6
240	87.6
250	88.9
258	89.3
265	90.7
272	91.7
280	91.9
290	90.6
300	90.6
307	90.4
315	89.2
325	87.6
335	86.7
345	83.7
355	86.4
365	90
375	90.2
387	90.4
400	89.4
412	89.3
425	88.6
437	86.2
450	83.7
462	86.2
475	87.4
487	86.2
500	85.6
515	86.2
530	84.9
545	82.4
560	79.9
580	82.2
600	81.5
615	82.7
630	83.9
650	85.8
670	83.4
690	79.8
710	82.6
730	83.8
750	81.2
775	83.1
800	83.8
825	83.1
850	81.3
875	81.9
900	81.7
925	80.5
950	81.3
975	80.5
1000	81.3
1030	78.6
1060	76.2
1090	77.4
1120	75.5
1150	78.4
1180	74.7
1220	75.4
1250	74.5
1280	79.3
1320	76.6
1360	74.1
1400	80.2
1450	83.9
1500	87.2
1550	80.5
1600	87.1
1650	89.3
1700	83.9
1750	77.1
1800	79.7
1850	81.9
1900	80.8
1950	78
2000	78
2060	73.9
2120	80.1
2180	79.8
2240	78.9
2300	79.4
2360	75.3
2400	73.6
2500	73.8
2580	70.7
2650	74.3
2720	69.8
2800	72.7
2900	71.6
3000	76.1
3070	74
3150	74.9
3250	69.7
3350	71.4
3450	72.6
3550	73.5
3650	73.7
3750	73.3
3870	74
4000	72
4120	72.2
4250	68.8
4370	69
4500	69
4620	70
4750	70
4870	71.2
5000	72.7
5150	73.3
5300	72.4
5450	72.3
5600	72.3
5800	69.4
6000	69.8
6150	70
6300	68
6500	66.9
6700	63.8
6900	66.7
7100	67.2
7300	66.6
7500	66.9
7750	68.3
8000	68.8
8250	68.2
8500	68.5
8750	66.8
9000	70.3
9250	70.1
9500	70.3
9750	63.6
10000	68.6
10300	73.7
10600	73.1
10900	74.1
11200	72.2
11500	74.3
11800	74.6
12200	72
12500	74.1
12800	74.7
13200	72
13600	71.4
14000	72.9
14500	71
15000	68.3
15500	62.1
16000	61.4
16500	64.8
17000	63
17500	60.3
18000	59.5
18500	56.9
19000	52.7
19500	51
20000	49.2
20600	53.3
21200	53.8
21800	47.4
22400	49.3
