Frequency Spectrum for Input Signal

Data Shown:    ICS4 (K.M.E.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 50°

Freq [Hz]	Signal Level [dBSPL]
22.4	71.4
23	70.9
23.6	66.7
24	58.1
25	58
25.8	66.7
26.5	66.8
27.2	66.3
28	59.4
29	56.3
30	53.6
30.7	50.6
31.5	59
32.5	59.1
33.5	54.4
34.5	51.4
35.5	55.5
36.5	59.9
37.5	52
38.7	52.3
40	49.6
41.2	48.9
42.5	49.2
43.7	49.1
45	49.4
46.2	51.1
47.5	46.6
48.7	49.4
50	50.7
51.5	50.4
53	49.5
54.5	47
56	47.9
58	46.3
60	46.8
61.5	44.7
63	52.4
65	52.5
67	54.4
69	58.3
71	60.9
73	62.7
75	64.8
77.5	66
80	67.4
82.5	68.2
85	69.2
87.5	70.1
90	70.7
92.5	71
95	71.8
97.5	72.3
100	72.7
103	73.2
106	73.9
109	74.6
112	75.5
115	76.4
118	77
122	77.2
125	77.3
128	77.4
132	77.4
136	77.7
140	78.4
145	79
150	79.4
155	79.8
160	80.1
165	80.5
170	80.7
175	81
180	81.3
185	81.5
190	81.5
195	81.1
200	80.5
206	80.2
212	81
218	82.1
224	82.5
230	82
236	80.8
240	80.1
250	80.2
258	80.5
265	80.9
272	80.8
280	80.7
290	80.6
300	80.5
307	80.9
315	81.2
325	81.1
335	80.5
345	79.8
355	79.4
365	79.2
375	79
387	78.2
400	77.7
412	76.5
425	75.2
437	74.2
450	73.3
462	72.2
475	70.3
487	67.6
500	66.5
515	67.6
530	65.6
545	61.6
560	63.3
580	66.6
600	65.8
615	57.8
630	58.3
650	64.9
670	67.8
690	68.7
710	71.6
730	73.2
750	73.7
775	74.6
800	74.7
825	73.9
850	72.9
875	70.3
900	72.4
925	73
950	72
975	72
1000	73.4
1030	73.9
1060	74.6
1090	76
1120	76.1
1150	75.8
1180	73.3
1220	71.6
1250	69.9
1280	69.6
1320	71.4
1360	68.8
1400	68.7
1450	70.2
1500	70.4
1550	69.6
1600	67.5
1650	68.1
1700	70.8
1750	73.5
1800	73.2
1850	72.4
1900	70.2
1950	71.6
2000	71.3
2060	69.6
2120	68.9
2180	66.2
2240	66.2
2300	64.1
2360	66
2400	70
2500	71
2580	73.1
2650	73.6
2720	74.4
2800	76
2900	76.8
3000	75.8
3070	72.8
3150	73.2
3250	72.5
3350	76.2
3450	73.4
3550	76.4
3650	76.7
3750	79.5
3870	80.4
4000	78.8
4120	78.9
4250	79.5
4370	79.8
4500	79.9
4620	79
4750	79.2
4870	78.8
5000	79.8
5150	79.9
5300	79.6
5450	79
5600	78.2
5800	77.5
6000	76.6
6150	76.8
6300	76.9
6500	75.7
6700	77.3
6900	78.1
7100	78.6
7300	78.9
7500	78.4
7750	78.4
8000	77.5
8250	78.2
8500	78.1
8750	77.9
9000	77.6
9250	77.2
9500	76.9
9750	76
10000	75.7
10300	74.5
10600	72.7
10900	70.7
11200	69
11500	65.9
11800	60.6
12200	58.7
12500	57
12800	58.9
13200	63.6
13600	67.7
14000	69.3
14500	68.9
15000	69.3
15500	69.8
16000	66.5
16500	63.2
17000	64.3
17500	64.2
18000	63.7
18500	63.4
19000	61.5
19500	59.2
20000	57.1
20600	54.7
21200	47.5
21800	38.6
22400	38.2
