Frequency Spectrum for Input Signal

Data Shown:    ICS5 (K.M.E.)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 10°  

Freq [Hz]	Signal Level [dBSPL]
22.4	47.7
23	45.1
23.6	47
24	42.6
25	47
25.8	39.6
26.5	46.2
27.2	45.6
28	47.7
29	55.9
30	52.2
30.7	42.3
31.5	46.5
32.5	45.8
33.5	49.8
34.5	45
35.5	48.9
36.5	51.9
37.5	54.8
38.7	53.5
40	52.4
41.2	53.4
42.5	55.2
43.7	56.3
45	57.3
46.2	57.3
47.5	58.3
48.7	57.9
50	61
51.5	55.2
53	57
54.5	56.4
56	55.2
58	59.2
60	57.2
61.5	59.1
63	60.5
65	66
67	69.3
69	72
71	74.6
73	76.5
75	78.2
77.5	79.8
80	81
82.5	82.3
85	83.3
87.5	84.2
90	84.7
92.5	85.1
95	85.8
97.5	86
100	86.6
103	87.1
106	87.4
109	88.2
112	89.1
115	89.7
118	89.9
122	89.9
125	89.9
128	89.7
132	89.6
136	89.6
140	89.7
145	89.8
150	89.8
155	89.7
160	89.6
165	89.5
170	89.4
175	89.2
180	89.1
185	88.9
190	88.6
195	88.1
200	87.6
206	87.8
212	88.2
218	88.5
224	88.3
230	87.3
236	86.2
240	86
250	86.1
258	86.4
265	86.6
272	86.6
280	86.7
290	86.7
300	86.7
307	86.8
315	86.8
325	86.6
335	86.3
345	86.5
355	87.1
365	87.3
375	87.2
387	87.2
400	87.5
412	86.9
425	86.2
437	85.7
450	85.9
462	87.4
475	90
487	88.7
500	86.8
515	86
530	84.3
545	83.3
560	84.5
580	85.9
600	85.5
615	87
630	88.5
650	88.3
670	87.7
690	86.8
710	86.2
730	85.7
750	85.3
775	85.6
800	85.6
825	84.9
850	84.4
875	83.1
900	82.7
925	83.2
950	84.8
975	84.5
1000	82.7
1030	80
1060	79.7
1090	81.4
1120	81.8
1150	82
1180	82.4
1220	82.8
1250	82.4
1280	80.8
1320	79.6
1360	78.8
1400	78.5
1450	80.5
1500	81
1550	82.4
1600	82.9
1650	81.7
1700	83.5
1750	86.1
1800	86.3
1850	86.6
1900	86.8
1950	87.4
2000	88.7
2060	89
2120	87.1
2180	87
2240	86
2300	86.1
2360	85.2
2400	84
2500	83.8
2580	85.3
2650	87
2720	87.2
2800	86.5
2900	86.4
3000	85.3
3070	84.7
3150	84
3250	85
3350	85.1
3450	85.1
3550	85.9
3650	87.1
3750	89
3870	89.8
4000	89.4
4120	88.5
4250	87.1
4370	86.6
4500	86.4
4620	85.7
4750	85.3
4870	85.9
5000	87
5150	86.5
5300	86
5450	84.4
5600	84
5800	84.2
6000	85.6
6150	85.6
6300	85
6500	83.2
6700	82.7
6900	83.6
7100	84.2
7300	83.7
7500	83.2
7750	82.4
8000	82
8250	82.5
8500	81.9
8750	79.9
9000	78.7
9250	79.6
9500	80.1
9750	76.9
10000	77.8
10300	81.1
10600	79.9
10900	75.5
11200	78.2
11500	79
11800	75.7
12200	74.8
12500	77
12800	70.8
13200	72.9
13600	74.7
14000	79.4
14500	80.8
15000	72.7
15500	74.8
16000	73.2
16500	72.7
17000	80.9
17500	76.2
18000	70
18500	72.4
19000	73.4
19500	72.9
20000	72.6
20600	69.4
21200	68.2
21800	64
22400	63.6
