Frequency Spectrum for Input Signal

Data Shown:    ES_1.0 (KV2)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 110°  

Freq [Hz]	Signal Level [dBSPL]
22.4	-183.1
23	-183.1
23.6	-183.1
24	-183.1
25	-183.1
25.8	-183.1
26.5	-183.1
27.2	-183.1
28	-183.1
29	-183.1
30	-183.2
30.7	-183.2
31.5	-183.2
32.5	-183.2
33.5	70.5
34.5	71.9
35.5	73.1
36.5	74.3
37.5	75.4
38.7	76.4
40	77.4
41.2	78.3
42.5	79.3
43.7	80.2
45	81.1
46.2	82
47.5	82.8
48.7	83.7
50	84.5
51.5	85.3
53	86
54.5	86.7
56	87.3
58	87.8
60	88.1
61.5	88.4
63	88.5
65	88.6
67	88.7
69	89.2
71	89.5
73	89.7
75	89.8
77.5	89.9
80	89.9
82.5	89.8
85	89.8
87.5	89.7
90	89.6
92.5	89.4
95	89.3
97.5	89.2
100	89.2
103	89.5
106	89.8
109	90
112	90.1
115	90.3
118	90.4
122	90.4
125	90.5
128	90.6
132	90.7
136	90.9
140	91.2
145	91.4
150	91.5
155	91.7
160	91.8
165	91.9
170	92
175	92.2
180	92.4
185	92.5
190	92.6
195	92.7
200	92.8
206	92.9
212	92.9
218	93
224	93
230	93
236	93
240	92.9
250	92.9
258	92.8
265	92.7
272	92.5
280	92.4
290	92.2
300	92
307	91.7
315	91.4
325	91.1
335	90.8
345	90.5
355	90.1
365	89.7
375	89.3
387	88.9
400	88.4
412	87.8
425	87.2
437	86.6
450	85.8
462	85
475	84.2
487	83.4
500	82.6
515	82.1
530	81.7
545	81.5
560	81.4
580	81.5
600	81.7
615	82.2
630	82.7
650	83.4
670	84.1
690	84.7
710	85
730	85.2
750	85.1
775	85
800	84.8
825	84.8
850	84.9
875	85
900	85.2
925	85.3
950	85.6
975	85.8
1000	86
1030	86.1
1060	86.2
1090	86.3
1120	86.4
1150	86.4
1180	86.4
1220	86.4
1250	86.2
1280	86
1320	85.6
1360	85.2
1400	84.7
1450	84
1500	83.4
1550	82.6
1600	81.8
1650	80.8
1700	79.8
1750	78.5
1800	76.9
1850	75
1900	72.9
1950	70.6
2000	68.1
2060	66
2120	64.8
2180	64.9
2240	66.3
2300	68.7
2360	70.9
2400	72.7
2500	73.9
2580	74.6
2650	75
2720	75.2
2800	75.3
2900	75.5
3000	75.8
3070	76.1
3150	76.2
3250	76
3350	75.8
3450	75.9
3550	76.3
3650	76.9
3750	77.4
3870	77.7
4000	77.3
4120	76.3
4250	75.2
4370	74.8
4500	74.9
4620	75.1
4750	75.3
4870	75.7
5000	75.7
5150	75.1
5300	74.8
5450	75.2
5600	75.5
5800	75.6
6000	75.6
6150	75.2
6300	75.2
6500	74.9
6700	73.7
6900	73
7100	73.2
7300	73.1
7500	72.6
7750	72.6
8000	72.4
8250	71.9
8500	71.1
8750	70.8
9000	70.3
9250	69.7
9500	69.5
9750	69.6
10000	69.8
10300	70.1
10600	70.2
10900	69.5
11200	69
11500	68.6
11800	67.5
12200	67
12500	66.1
12800	65.8
13200	65
13600	64.1
14000	63
14500	61.4
15000	60.4
15500	58.4
16000	51.1
16500	50.1
17000	50.6
17500	46.2
18000	51.8
18500	54.1
19000	55
19500	50.5
20000	48.6
20600	50.2
21200	49.7
21800	52.9
22400	53.8
