Frequency Spectrum for Input Signal

Data Shown:    EX12 (KV2)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 70°  

Freq [Hz]	Signal Level [dBSPL]
22.4	66.7
23	67.4
23.6	68.2
24	68.9
25	69.8
25.8	70.5
26.5	71.2
27.2	72
28	72.8
29	73.6
30	74.4
30.7	74.5
31.5	75.2
32.5	75.9
33.5	76.6
34.5	77.4
35.5	78.2
36.5	79.1
37.5	79.9
38.7	80.8
40	81.7
41.2	82.6
42.5	83.5
43.7	84.4
45	85.3
46.2	86.2
47.5	87.1
48.7	88.1
50	88.9
51.5	89.8
53	90.6
54.5	91.3
56	92
58	92.7
60	93.2
61.5	93.8
63	94.2
65	94.5
67	94.8
69	95.1
71	95.4
73	95.6
75	95.8
77.5	96
80	96.1
82.5	96.3
85	96.4
87.5	96.6
90	96.7
92.5	96.8
95	96.9
97.5	97
100	97.1
103	97.1
106	97.2
109	97.2
112	97.3
115	97.3
118	97.3
122	97.2
125	97.2
128	97.1
132	96.9
136	96.8
140	96.6
145	96.4
150	96.2
155	96
160	95.8
165	95.6
170	95.4
175	95.3
180	95.2
185	95.1
190	95.1
195	95
200	95
206	95
212	94.9
218	94.8
224	94.8
230	94.8
236	94.8
240	94.9
250	95.2
258	95.6
265	95.9
272	96.1
280	96.1
290	96
300	95.7
307	95.4
315	95.2
325	95.1
335	95
345	94.8
355	94.6
365	94.3
375	94
387	93.6
400	93.4
412	93
425	92.5
437	92.1
450	91.9
462	91.7
475	91.4
487	91
500	90.7
515	90.5
530	90.4
545	90.2
560	89.6
580	89.2
600	89.3
615	89.6
630	89.6
650	89.5
670	88.8
690	88.1
710	87.8
730	87.8
750	87.3
775	86.5
800	85.9
825	85.1
850	84.5
875	83.3
900	82.3
925	81.7
950	81.1
975	80.6
1000	81
1030	81.1
1060	82.1
1090	83.4
1120	84.5
1150	85.2
1180	85.5
1220	84.7
1250	83.4
1280	82.7
1320	82.5
1360	82
1400	81.4
1450	81.2
1500	81.3
1550	80.9
1600	80
1650	79.9
1700	81.4
1750	82.2
1800	82.1
1850	82.1
1900	81.1
1950	80.8
2000	81.9
2060	82.4
2120	82
2180	83.1
2240	84.6
2300	84.5
2360	84.4
2400	84.2
2500	84.4
2580	84
2650	83.4
2720	83.3
2800	83.2
2900	83.5
3000	83.4
3070	82.8
3150	81.7
3250	80.6
3350	80.5
3450	81
3550	82
3650	82.7
3750	83
3870	82.4
4000	81.2
4120	80.6
4250	80.3
4370	80.1
4500	80.8
4620	81.5
4750	81.4
4870	82.2
5000	81.9
5150	80.2
5300	79.6
5450	80.4
5600	80.4
5800	79
6000	78.6
6150	78.9
6300	80.7
6500	81.7
6700	80.6
6900	79.6
7100	80.3
7300	79.6
7500	78.9
7750	77.2
8000	75.9
8250	78.2
8500	81
8750	80.6
9000	80.2
9250	79.8
9500	79.4
9750	79.1
10000	78.4
10300	77.9
10600	76
10900	76.6
11200	76
11500	77
11800	76.4
12200	78.6
12500	78.7
12800	80.1
13200	81.6
13600	81.3
14000	80.1
14500	77.6
15000	78
15500	80.1
16000	72.7
16500	62.8
17000	68.9
17500	62.4
18000	60.2
18500	62.9
19000	57.5
19500	60
20000	62.6
20600	57.1
21200	59.2
21800	58.4
22400	63.3
