Frequency Spectrum for Input Signal

Data Shown:    EX_15 (KV2)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 60°

Freq [Hz]	Signal Level [dBSPL]
22.4	-170.8
23	-170.8
23.6	-170.8
24	-170.8
25	70.7
25.8	74.1
26.5	76.8
27.2	78.6
28	80
29	81.2
30	82.3
30.7	83.2
31.5	84.1
32.5	85
33.5	85.8
34.5	86.5
35.5	87.3
36.5	88
37.5	88.8
38.7	89.5
40	90.2
41.2	90.9
42.5	91.7
43.7	92.4
45	93
46.2	93.7
47.5	94.3
48.7	94.8
50	93.4
51.5	94.2
53	95
54.5	95.5
56	96
58	96.2
60	96.4
61.5	96.5
63	96.6
65	96.6
67	96.6
69	96.6
71	96.6
73	96.6
75	96.6
77.5	96.6
80	96.6
82.5	96.6
85	96.6
87.5	96.7
90	96.7
92.5	96.8
95	96.9
97.5	96.9
100	97
103	96.9
106	96.8
109	96.7
112	96.6
115	96.5
118	96.4
122	96.4
125	96.3
128	96.1
132	95.9
136	95.8
140	95.6
145	95.4
150	95.2
155	95
160	94.9
165	94.8
170	94.7
175	94.6
180	94.6
185	95
190	95.3
195	95.6
200	95.9
206	96.1
212	96.4
218	96.6
224	96.8
230	96.7
236	96.4
240	96
250	95.7
258	95.4
265	95.2
272	95
280	94.9
290	94.8
300	94.9
307	95
315	95.2
325	95.4
335	95.4
345	95.3
355	95.1
365	94.7
375	94.2
387	93.7
400	93.2
412	92.8
425	92.4
437	92.3
450	92.4
462	92.8
475	93.4
487	93.5
500	93.6
515	93.9
530	94.2
545	94.5
560	94.5
580	94.2
600	93.7
615	93.4
630	93.3
650	93.2
670	93
690	92.8
710	92.4
730	92.1
750	91.3
775	90.7
800	90.7
825	90.9
850	91
875	90.6
900	89.9
925	89.7
950	90.3
975	90.3
1000	90
1030	89.8
1060	89.1
1090	88.6
1120	88.3
1150	87.9
1180	88.2
1220	88.6
1250	89.1
1280	89.3
1320	89.3
1360	89
1400	89
1450	89.4
1500	89.1
1550	88.3
1600	87.6
1650	87.1
1700	86.7
1750	86.5
1800	86.6
1850	85.9
1900	85.7
1950	86
2000	86.1
2060	86.2
2120	86.2
2180	85.8
2240	84.7
2300	83.8
2360	83
2400	82.7
2500	84.4
2580	86.1
2650	87.4
2720	88
2800	87.6
2900	87.7
3000	88
3070	87.6
3150	87.5
3250	87.8
3350	87.6
3450	86.7
3550	85.4
3650	83.8
3750	82
3870	79.8
4000	77.4
4120	74
4250	75.6
4370	78.2
4500	80.6
4620	82.9
4750	84.9
4870	86.4
5000	87.2
5150	86.2
5300	84.2
5450	82
5600	84.3
5800	84.7
6000	82
6150	81.5
6300	83.6
6500	85.2
6700	87.5
6900	88.8
7100	89.4
7300	87.2
7500	82.6
7750	84.6
8000	86.1
8250	84
8500	81
8750	80.3
9000	82.4
9250	83.9
9500	84
9750	82.8
10000	79.4
10300	79.9
10600	78.2
10900	77.7
11200	79.5
11500	80
11800	80.1
12200	79.2
12500	75.7
12800	73.8
13200	72.3
13600	69.5
14000	65.8
14500	63
15000	60.9
15500	59.1
16000	57.5
16500	57.4
17000	61.4
17500	66.7
18000	67
18500	62.3
19000	61
19500	61.8
20000	63.8
20600	63.7
21200	66.6
21800	72.2
22400	73.2
