Frequency Spectrum for Input Signal

Data Shown:    CA 106 Pro (KLING&FREITAG GmbH)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 170°

Freq [Hz]	Signal Level [dBSPL]
22.4	-4.4
23	-4.1
23.6	-3.8
24	-3.3
25	-1.1
25.8	2
26.5	6.1
27.2	11.9
28	12.1
29	11.1
30	7.5
30.7	9.8
31.5	15.4
32.5	21.3
33.5	24.2
34.5	25.6
35.5	24.9
36.5	24
37.5	25
38.7	26.8
40	29.2
41.2	31.6
42.5	34.9
43.7	39.1
45	36.5
46.2	36.4
47.5	36.9
48.7	37.1
50	40.1
51.5	43.6
53	47.4
54.5	50
56	52.6
58	54.7
60	56.8
61.5	59.1
63	61.2
65	63.2
67	64.9
69	66.4
71	67.9
73	69.6
75	71.2
77.5	72.9
80	74.6
82.5	76
85	77.4
87.5	78.7
90	79.5
92.5	79.9
95	80.2
97.5	80.5
100	80.8
103	81.4
106	81.9
109	82.3
112	82.4
115	82.6
118	83
122	83.4
125	83.8
128	84.1
132	84.4
136	84.8
140	85.2
145	85.3
150	85.4
155	85.6
160	85.9
165	86
170	86
175	86
180	86.1
185	86.3
190	86.1
195	85.9
200	86.2
206	85.9
212	85.5
218	85.2
224	84.7
230	84.3
236	84.2
240	84.1
250	84.3
258	84.6
265	84.8
272	85.1
280	85.5
290	85.9
300	85.7
307	85.5
315	85.4
325	85.2
335	85.2
345	85
355	84.9
365	84.9
375	84.9
387	84.7
400	84.2
412	83.3
425	82.3
437	82.1
450	82.6
462	83
475	83
487	83.4
500	83.8
515	82.7
530	81.6
545	80.7
560	80.3
580	80.6
600	81
615	81.3
630	81.6
650	82
670	82.4
690	82.4
710	81.7
730	80.7
750	80
775	79.3
800	78.8
825	79.6
850	79.9
875	78.1
900	77.7
925	77.1
950	76.4
975	75.8
1000	75.8
1030	79
1060	78.6
1090	74.8
1120	73.2
1150	76.1
1180	76.3
1220	74.8
1250	75.5
1280	73.6
1320	72.8
1360	74.2
1400	72.8
1450	70.2
1500	70.9
1550	71.9
1600	70.6
1650	69.5
1700	72
1750	69.4
1800	71.4
1850	67
1900	68.8
1950	70
2000	67.7
2060	69.8
2120	68.4
2180	68.3
2240	67.6
2300	68.6
2360	64.2
2400	63.4
2500	60.6
2580	62
2650	59
2720	63
2800	59.8
2900	60.6
3000	60.6
3070	61.1
3150	58.7
3250	62.2
3350	58.2
3450	60.1
3550	60
3650	59.3
3750	61
3870	58
4000	58.3
4120	58.7
4250	48.4
4370	55.4
4500	60.3
4620	60.9
4750	59.6
4870	60.9
5000	59.7
5150	60.4
5300	58.5
5450	59.4
5600	57.7
5800	56.2
6000	59
6150	60.7
6300	60.7
6500	58.4
6700	58.1
6900	59.4
7100	57.5
7300	58.5
7500	59
7750	59.2
8000	58.3
8250	60
8500	57.7
8750	58.2
9000	57.9
9250	56
9500	56.3
9750	59
10000	60.3
10300	59.7
10600	59.6
10900	59.3
11200	57.8
11500	57
11800	55.6
12200	55.6
12500	53.3
12800	54.1
13200	57.6
13600	59.4
14000	58.2
14500	57.3
15000	58
15500	57.7
16000	57.9
16500	56
17000	54.8
17500	54.6
18000	54
18500	51.6
19000	51
19500	50
20000	48.9
20600	49.1
21200	56.2
21800	52.4
22400	50.8
