Frequency Spectrum for Input Signal

Data Shown:    PIA M (KLING&FREITAG GmbH)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 120°

Freq [Hz]	Signal Level [dBSPL]
22.4	3.5
23	5.1
23.6	5.2
24	3.9
25	4.1
25.8	4.7
26.5	5.4
27.2	7.4
28	9.4
29	11.4
30	12.9
30.7	13.8
31.5	14.8
32.5	16.9
33.5	21.2
34.5	25.2
35.5	29.7
36.5	31.9
37.5	33
38.7	34.9
40	39.1
41.2	42.2
42.5	44.9
43.7	48.5
45	47.9
46.2	44.3
47.5	44.8
48.7	48.2
50	50.6
51.5	53.4
53	58.5
54.5	60.5
56	61.4
58	64.6
60	66.4
61.5	67.3
63	70.2
65	73.1
67	73.1
69	74.1
71	75.6
73	76.3
75	77.3
77.5	78.5
80	79.7
82.5	80.8
85	82
87.5	83.3
90	84.4
92.5	85.2
95	86
97.5	86.5
100	86.9
103	87.1
106	87.3
109	87.4
112	87.5
115	87.4
118	87.4
122	87.2
125	87.1
128	86.9
132	86.7
136	86.3
140	85.9
145	85.3
150	84.9
155	84.1
160	83.5
165	82.8
170	81.9
175	81.2
180	80.4
185	79.4
190	78.2
195	76.5
200	73.7
206	69.4
212	63.4
218	66.8
224	70.7
230	72.6
236	73.5
240	75
250	75.6
258	76
265	76.5
272	76.3
280	77
290	79
300	80.6
307	81.2
315	80.9
325	81.8
335	82.8
345	83.4
355	83.1
365	82.5
375	82.6
387	82.3
400	82
412	82.3
425	82.8
437	82.8
450	82.3
462	80.7
475	77.2
487	75.2
500	74.5
515	73.4
530	72.5
545	71.9
560	73
580	75.1
600	77.8
615	79.4
630	81
650	81.7
670	80.9
690	80.4
710	79.8
730	78.5
750	77.4
775	75.6
800	75.1
825	77.5
850	78.7
875	78.8
900	78
925	76.9
950	77.3
975	78
1000	77.8
1030	77
1060	77.1
1090	75.4
1120	68.9
1150	66.9
1180	71.4
1220	69
1250	71.7
1280	68.8
1320	70.2
1360	71.1
1400	65.3
1450	61.7
1500	63.3
1550	71.6
1600	70.2
1650	60.3
1700	67.2
1750	64.8
1800	63.9
1850	68.8
1900	68.2
1950	73.3
2000	75.5
2060	73.2
2120	73.7
2180	74.2
2240	73.2
2300	73.4
2360	74.4
2400	71.4
2500	75
2580	75.5
2650	77.2
2720	73.6
2800	70.6
2900	67.4
3000	69.3
3070	71.2
3150	69.9
3250	70.3
3350	65
3450	66.4
3550	70.1
3650	66.5
3750	61.9
3870	62.2
4000	64.9
4120	64.4
4250	53.8
4370	63.2
4500	60.1
4620	57.2
4750	60.5
4870	59.8
5000	61.5
5150	64
5300	60
5450	65
5600	61.7
5800	59.8
6000	64.6
6150	64.1
6300	66.1
6500	59.7
6700	60.5
6900	62
7100	62.5
7300	58
7500	60.6
7750	63.6
8000	59
8250	55.8
8500	60.6
8750	56.6
9000	61.7
9250	58.4
9500	57.6
9750	58
10000	58.8
10300	57.5
10600	58.8
10900	53.9
11200	54.9
11500	54.5
11800	55.6
12200	55.6
12500	56.4
12800	55.6
13200	54.7
13600	55.4
14000	50.9
14500	57
15000	55.9
15500	53.6
16000	52.5
16500	56.4
17000	52.1
17500	54.2
18000	53.6
18500	55.5
19000	52.5
19500	50.5
20000	51.8
20600	50.5
21200	50.5
21800	46.7
22400	41.1
