Frequency Spectrum for Input Signal

Data Shown:    PIA M (KLING&FREITAG GmbH)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 100°  

Freq [Hz]	Signal Level [dBSPL]
22.4	1.9
23	4.8
23.6	8
24	12
25	15.6
25.8	18.9
26.5	21.8
27.2	22.3
28	22.1
29	21
30	20.9
30.7	24.8
31.5	28.3
32.5	31.8
33.5	34.2
34.5	35.6
35.5	35.2
36.5	31.1
37.5	28.3
38.7	26
40	29
41.2	32.2
42.5	33.2
43.7	32.2
45	36.2
46.2	45.3
47.5	49.8
48.7	48.8
50	50.1
51.5	51.8
53	52.8
54.5	49.9
56	50.6
58	54.1
60	56.7
61.5	59.1
63	61.4
65	63.5
67	64.8
69	66.6
71	68.7
73	70.8
75	72.3
77.5	73.4
80	74.4
82.5	75.8
85	77
87.5	77.9
90	78.9
92.5	80.1
95	81.2
97.5	82.2
100	83.1
103	84
106	84.7
109	85.5
112	85.8
115	86.2
118	86.6
122	87
125	87.5
128	87.8
132	88.2
136	88.4
140	88.5
145	88.4
150	88
155	87.4
160	86.7
165	85.9
170	85.2
175	84.9
180	84.2
185	83.2
190	82
195	80.1
200	77.1
206	72.2
212	73.7
218	76.7
224	78.4
230	79.8
236	80.6
240	80.4
250	80
258	79.5
265	79.1
272	78.7
280	78
290	79.1
300	82.1
307	84.1
315	85
325	85.9
335	86.9
345	87.8
355	88.3
365	88
375	87.2
387	86.7
400	86.4
412	86
425	85.6
437	84.7
450	84.2
462	83.4
475	82.8
487	82
500	81.1
515	81.5
530	82.4
545	83.3
560	83.4
580	84.4
600	84.8
615	85.4
630	86.5
650	86.4
670	86.2
690	85.7
710	84.4
730	82.3
750	82.6
775	82.9
800	83.5
825	85
850	86.3
875	86.9
900	86.4
925	84.7
950	81.8
975	77.8
1000	73.2
1030	79.3
1060	80.4
1090	80.3
1120	80.9
1150	78
1180	77.4
1220	78.5
1250	74.7
1280	65.6
1320	72
1360	69.7
1400	66.5
1450	69.6
1500	73.7
1550	77.4
1600	76.5
1650	72.4
1700	78.3
1750	82.2
1800	82
1850	80
1900	81.6
1950	81.4
2000	83.1
2060	83.3
2120	84
2180	86.1
2240	87.3
2300	85.9
2360	83.7
2400	83.3
2500	85.8
2580	85
2650	84.7
2720	84.2
2800	82.5
2900	80.1
3000	83.1
3070	81.8
3150	78.8
3250	77.9
3350	79.1
3450	75.6
3550	65.3
3650	67.6
3750	70
3870	73.1
4000	71.4
4120	64.2
4250	69.9
4370	64.8
4500	68.4
4620	68.1
4750	67.1
4870	70.1
5000	68.7
5150	71.6
5300	73.5
5450	71.4
5600	71.7
5800	73.2
6000	68.2
6150	63.4
6300	63.2
6500	64.8
6700	70.2
6900	69.8
7100	71.2
7300	67.7
7500	69.6
7750	68.5
8000	71.1
8250	71.6
8500	71.1
8750	70.9
9000	68.2
9250	66.9
9500	64.4
9750	63.2
10000	64.4
10300	63.9
10600	62.3
10900	65.2
11200	61.8
11500	63.5
11800	62.6
12200	63.2
12500	60.5
12800	59.6
13200	58.6
13600	57.5
14000	55.9
14500	57.2
15000	57.2
15500	60.2
16000	61.3
16500	59.7
17000	60.1
17500	63.3
18000	60.8
18500	61.8
19000	59.5
19500	59.6
20000	55
20600	56.5
21200	52.9
21800	52.1
22400	45.1
