Frequency Spectrum for Input Signal

Data Shown:    PIA M (KLING&FREITAG GmbH)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 70°  

Freq [Hz]	Signal Level [dBSPL]
22.4	-2.6
23	-2
23.6	-1.4
24	1.9
25	4.9
25.8	7.6
26.5	10.2
27.2	11.1
28	12.1
29	13.2
30	15
30.7	18.8
31.5	22.4
32.5	25.9
33.5	27.5
34.5	28.3
35.5	28.6
36.5	29
37.5	30.6
38.7	33.6
40	36.6
41.2	38
42.5	38.2
43.7	39.1
45	41.9
46.2	45.1
47.5	47
48.7	48.3
50	50
51.5	51.2
53	49.1
54.5	45.4
56	48
58	52
60	55
61.5	58.2
63	59.8
65	60.8
67	62.5
69	64.2
71	66
73	68.3
75	70.1
77.5	71.5
80	72.8
82.5	74
85	75.5
87.5	76.9
90	78.1
92.5	79.4
95	80.6
97.5	81.6
100	82.7
103	83.7
106	84.7
109	85.5
112	86.1
115	86.8
118	87.6
122	88.2
125	88.9
128	89.6
132	90.1
136	90.6
140	90.9
145	91
150	91.3
155	91.1
160	91
165	90.8
170	90.6
175	90.5
180	90.3
185	90.2
190	90.2
195	90.2
200	90.1
206	90.2
212	90.4
218	90.2
224	90.1
230	90.1
236	90.2
240	90.3
250	90.6
258	90.9
265	91
272	91
280	91
290	90.9
300	90.7
307	90.3
315	89.7
325	89.1
335	88.7
345	88.5
355	88.2
365	87.8
375	87.2
387	86.9
400	86.7
412	86.6
425	86.4
437	86.1
450	86
462	86.2
475	86.3
487	86.2
500	86.1
515	86
530	85.2
545	84.6
560	84.1
580	84.1
600	84.4
615	85.2
630	85.7
650	85.8
670	85.5
690	86
710	85.9
730	84.6
750	84.3
775	84.9
800	85.5
825	85.7
850	86
875	86.2
900	85.9
925	85.6
950	85.1
975	85.4
1000	85.3
1030	86.5
1060	87.1
1090	86.6
1120	85.1
1150	84.2
1180	85
1220	85.6
1250	85.9
1280	85.7
1320	84.8
1360	85.7
1400	86
1450	85.6
1500	86
1550	84.9
1600	85.3
1650	85.6
1700	84.9
1750	84.2
1800	84.7
1850	84.5
1900	84.3
1950	84.6
2000	85.2
2060	85
2120	84.1
2180	85
2240	83.9
2300	81.2
2360	79.3
2400	78.4
2500	75.1
2580	77.3
2650	74.2
2720	72.5
2800	70.3
2900	72.8
3000	72.3
3070	73.7
3150	74.7
3250	76.8
3350	76.4
3450	77.5
3550	79.3
3650	78.6
3750	77.7
3870	80.3
4000	80
4120	81.5
4250	81.1
4370	80.8
4500	80.4
4620	80.1
4750	78.5
4870	78.6
5000	77.9
5150	76.5
5300	77.2
5450	77.8
5600	77
5800	78.8
6000	77.4
6150	77.4
6300	77.2
6500	76.8
6700	75.6
6900	74.2
7100	76.9
7300	76.2
7500	77.3
7750	74.7
8000	71.2
8250	72.7
8500	75.6
8750	72.5
9000	68.4
9250	68.4
9500	71.9
9750	72.1
10000	70.7
10300	70.6
10600	69.9
10900	72.9
11200	75.6
11500	77
11800	77.8
12200	78.4
12500	78.9
12800	78.5
13200	77.5
13600	77.4
14000	76.3
14500	74.6
15000	69.1
15500	69.2
16000	68.8
16500	73.3
17000	75.2
17500	75
18000	73.5
18500	68.1
19000	72
19500	72.6
20000	72
20600	68.7
21200	65.5
21800	63.1
22400	58.8
