Frequency Spectrum for Input Signal

Data Shown:    PIA M (KLING&FREITAG GmbH)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 270°  Par: 20°

Freq [Hz]	Signal Level [dBSPL]
22.4	-1.6
23	0.3
23.6	2
24	3.6
25	4.9
25.8	5.8
26.5	6.9
27.2	11.2
28	15.4
29	19.4
30	22.9
30.7	24.7
31.5	25.7
32.5	23.5
33.5	23.5
34.5	24.6
35.5	25.2
36.5	27.8
37.5	31.7
38.7	37.6
40	36.9
41.2	35.3
42.5	34.1
43.7	34.2
45	34.8
46.2	37.2
47.5	43.8
48.7	45.4
50	47
51.5	49.1
53	51.4
54.5	49.1
56	49.2
58	54.6
60	58
61.5	60.1
63	60.5
65	60.9
67	63
69	64.7
71	66.2
73	68.6
75	70.1
77.5	71.3
80	73
82.5	74.3
85	75.6
87.5	77
90	78.5
92.5	79.8
95	80.7
97.5	81.9
100	82.9
103	84
106	84.8
109	85.6
112	86.3
115	86.8
118	87.4
122	88.2
125	88.8
128	89.4
132	89.9
136	90.3
140	90.5
145	90.5
150	90.3
155	90.3
160	90.2
165	89.9
170	89.7
175	89.4
180	89.4
185	89.1
190	88.8
195	88.5
200	88.2
206	88
212	87.6
218	87.4
224	87.4
230	87.6
236	87.7
240	87.9
250	88
258	88
265	88
272	87.9
280	87.4
290	86.6
300	85.3
307	83.6
315	82.7
325	82.2
335	81.8
345	80.8
355	79.7
365	78.9
375	78.3
387	79.6
400	79.9
412	79.6
425	78.9
437	78.6
450	78.2
462	77.4
475	77.9
487	80
500	81.4
515	82.8
530	83.5
545	83.7
560	83.5
580	84.1
600	85.5
615	86.5
630	87.4
650	87.7
670	87.4
690	87.5
710	88.1
730	88.3
750	87.8
775	87.3
800	87.5
825	88
850	88.4
875	88.7
900	88.3
925	87.7
950	88
975	88.6
1000	88.5
1030	87.9
1060	87.9
1090	87.3
1120	86.7
1150	86.5
1180	87
1220	87.3
1250	88.4
1280	88.1
1320	87.7
1360	87.3
1400	87.1
1450	87.3
1500	86.5
1550	86.1
1600	85.5
1650	86.3
1700	86.7
1750	86
1800	84
1850	82.3
1900	82.4
1950	81.2
2000	78.6
2060	76.8
2120	75.9
2180	76.3
2240	79.2
2300	79.2
2360	70.1
2400	75.2
2500	78.1
2580	74.5
2650	74.4
2720	79.6
2800	78.8
2900	78.3
3000	79.9
3070	80.5
3150	79.6
3250	78.4
3350	75.5
3450	73.4
3550	76.5
3650	73.5
3750	75.2
3870	65.9
4000	72.3
4120	73.2
4250	71.1
4370	70
4500	75.3
4620	76.1
4750	76.2
4870	76.9
5000	76
5150	78
5300	78.7
5450	80.4
5600	82.4
5800	81.8
6000	81.6
6150	80.7
6300	82
6500	82.6
6700	80.7
6900	81
7100	82.9
7300	83.4
7500	83.9
7750	84.8
8000	85.4
8250	84.1
8500	83.4
8750	82.7
9000	83
9250	80.3
9500	79.7
9750	78.4
10000	75.7
10300	75.5
10600	76.9
10900	79.5
11200	80.2
11500	82.1
11800	82.9
12200	84
12500	83.8
12800	85
13200	83.3
13600	84.2
14000	82.9
14500	83.6
15000	84.4
15500	81.6
16000	75.1
16500	73.9
17000	75.6
17500	75.8
18000	77.2
18500	80
19000	73.7
19500	77.2
20000	78.1
20600	76
21200	77.6
21800	75.7
22400	68.8
