Frequency Spectrum for Input Signal

Data Shown:    Spectra 212 (KLING&FREITAG GmbH)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 20°  

Freq [Hz]	Signal Level [dBSPL]
22.4	11.1
23	13.8
23.6	16.4
24	18.5
25	20
25.8	20.9
26.5	21.3
27.2	24
28	27.4
29	31.2
30	35.1
30.7	35.4
31.5	35
32.5	33.6
33.5	37.4
34.5	42.3
35.5	48.9
36.5	53.9
37.5	56.4
38.7	58.5
40	60.7
41.2	61.6
42.5	66.3
43.7	71.1
45	73.7
46.2	74.1
47.5	72.4
48.7	73.8
50	75.8
51.5	79
53	82.6
54.5	83.9
56	85.3
58	87
60	88.7
61.5	90.5
63	92
65	93.6
67	95.5
69	97.2
71	98.6
73	99.7
75	100.6
77.5	101.3
80	102.2
82.5	102.8
85	103.3
87.5	103.6
90	103.8
92.5	104
95	104
97.5	103.9
100	104
103	103.8
106	103.6
109	103.5
112	103.3
115	103.2
118	103.1
122	103
125	102.9
128	102.7
132	102.6
136	102.5
140	102.5
145	102.5
150	102.4
155	102.4
160	102.3
165	102.2
170	102
175	102
180	101.8
185	101.8
190	101.8
195	101.8
200	101.8
206	101.8
212	101.9
218	101.8
224	101.5
230	101.1
236	100.9
240	100.9
250	101.1
258	101.2
265	101.4
272	101.6
280	101.7
290	101.6
300	101.4
307	101.3
315	101.1
325	101
335	100.8
345	100.6
355	100.5
365	100.5
375	100.6
387	100.5
400	100.3
412	100.2
425	100.3
437	100.3
450	100.2
462	100.1
475	100
487	100.3
500	100.7
515	101
530	101.1
545	100.9
560	100.5
580	99.8
600	99.2
615	99.1
630	99.4
650	99.9
670	100.5
690	101
710	101.1
730	101
750	101.3
775	101.9
800	101.9
825	101
850	99.6
875	98.5
900	98.5
925	98.5
950	98.2
975	97.5
1000	97.5
1030	97.3
1060	96.3
1090	95.2
1120	95
1150	93
1180	92.3
1220	92
1250	90
1280	89
1320	88.4
1360	89.9
1400	90.8
1450	90.6
1500	89.7
1550	87.5
1600	87.1
1650	87.9
1700	88.8
1750	88
1800	87.4
1850	87.2
1900	88.2
1950	88.8
2000	88.6
2060	87.5
2120	88.5
2180	87.9
2240	85
2300	86.4
2360	86.6
2400	85.1
2500	83.6
2580	85.5
2650	83.4
2720	83.5
2800	82.4
2900	81
3000	83.6
3070	88.1
3150	86.9
3250	83.4
3350	82.9
3450	85.9
3550	87
3650	83.9
3750	83
3870	78
4000	72.6
4120	75.2
4250	79.2
4370	84.1
4500	87.7
4620	86.8
4750	85.2
4870	87.8
5000	89.9
5150	90.8
5300	87.2
5450	86.3
5600	86.5
5800	87
6000	87.5
6150	89.6
6300	87.4
6500	85.7
6700	82.2
6900	81.1
7100	82.1
7300	81.7
7500	86.3
7750	85.1
8000	83.2
8250	89.9
8500	92
8750	91.6
9000	93.3
9250	94.7
9500	93.1
9750	92.4
10000	92
10300	90.1
10600	90
10900	89.1
11200	88.5
11500	87.9
11800	86.3
12200	85.2
12500	81.4
12800	78
13200	79.1
13600	85.3
14000	89.5
14500	86.6
15000	86.2
15500	81.6
16000	82.7
16500	82.9
17000	95
17500	81
18000	79.2
18500	77.4
19000	71.2
19500	70.7
20000	69.2
20600	75.4
21200	82.4
21800	81
22400	76.6
