Frequency Spectrum for Input Signal

Data Shown:    P SERIES 112P (L-ACOUSTICS)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 90°  Par: 40°  

Freq [Hz]	Signal Level [dBSPL]
22.4	50.8
23	51.8
23.6	52.7
24	53.6
25	54.5
25.8	55.4
26.5	56.2
27.2	57.1
28	57.9
29	58.8
30	59.6
30.7	60.4
31.5	61.2
32.5	62
33.5	62.8
34.5	63.6
35.5	64.5
36.5	65.5
37.5	66.5
38.7	67.7
40	69
41.2	70.4
42.5	72
43.7	73.6
45	75.3
46.2	77.1
47.5	78.8
48.7	80.5
50	82.2
51.5	83.7
53	85.2
54.5	86.5
56	87.7
58	88.7
60	89.7
61.5	90.5
63	91.1
65	91.6
67	92
69	92.2
71	92.4
73	92.4
75	92.4
77.5	92.4
80	92.4
82.5	92.3
85	92.2
87.5	92.2
90	92.1
92.5	92
95	92
97.5	91.9
100	91.8
103	91.8
106	91.7
109	91.7
112	91.7
115	91.6
118	91.6
122	91.6
125	91.6
128	91.7
132	91.7
136	91.7
140	91.7
145	91.8
150	91.8
155	91.8
160	91.7
165	91.7
170	91.6
175	91.6
180	91.5
185	91.4
190	91.3
195	91.3
200	91.2
206	91.2
212	91.2
218	91.2
224	91.2
230	91.2
236	91.3
240	91.2
250	91.2
258	91.2
265	91.1
272	91.1
280	91
290	90.9
300	90.8
307	90.8
315	90.7
325	90.7
335	90.7
345	90.7
355	90.6
365	90.6
375	90.6
387	90.5
400	90.3
412	90.2
425	90
437	89.7
450	89.4
462	89.1
475	88.8
487	88.5
500	88.2
515	88
530	87.7
545	87.5
560	87.3
580	87.2
600	87.1
615	87.1
630	87.2
650	87.4
670	87.6
690	87.9
710	88.3
730	88.8
750	89.3
775	89.9
800	90.6
825	91.2
850	91.9
875	92.6
900	93.2
925	93.7
950	94.1
975	94.3
1000	94.2
1030	94
1060	93.5
1090	92.9
1120	92.2
1150	91.4
1180	90.7
1220	90.1
1250	89.6
1280	89.3
1320	89.1
1360	89.1
1400	89.1
1450	89.2
1500	89.3
1550	89.3
1600	89.3
1650	89.1
1700	88.8
1750	88.5
1800	88.1
1850	87.6
1900	87.2
1950	86.8
2000	86.4
2060	86
2120	85.8
2180	85.6
2240	85.5
2300	85.5
2360	85.6
2400	85.8
2500	86
2580	86.4
2650	86.8
2720	87.4
2800	87.9
2900	88.3
3000	88.8
3070	89.1
3150	89.4
3250	89.5
3350	89.5
3450	89.4
3550	89.2
3650	89
3750	88.8
3870	88.6
4000	88.4
4120	88.3
4250	88.3
4370	88.2
4500	88.3
4620	88.3
4750	88.4
4870	88.4
5000	88.5
5150	88.5
5300	88.5
5450	88.5
5600	88.4
5800	88.3
6000	88.2
6150	88.1
6300	88
6500	87.8
6700	87.6
6900	87.4
7100	87.1
7300	86.8
7500	86.4
7750	86
8000	85.5
8250	85
8500	84.4
8750	83.7
9000	83.1
9250	82.5
9500	81.9
9750	81.4
10000	80.9
10300	80.6
10600	80.3
10900	80.2
11200	80.2
11500	80.2
11800	80.3
12200	80.6
12500	80.9
12800	81.3
13200	81.8
13600	82.1
14000	82.3
14500	82.3
15000	81.9
15500	81.2
16000	80
16500	78.2
17000	76
17500	73.5
18000	70.7
18500	67.7
19000	64.7
19500	61.8
20000	58.9
20600	56.2
21200	53.5
21800	50.7
22400	48
