Frequency Spectrum for Input Signal

Data Shown:    X SERIES X12 (L-ACOUSTICS)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 140°  

Freq [Hz]	Signal Level [dBSPL]
22.4	15.4
23	17.7
23.6	20.1
24	22.5
25	24.8
25.8	27.2
26.5	29.4
27.2	31.8
28	34
29	36.3
30	38.6
30.7	40.9
31.5	43.2
32.5	45.5
33.5	47.8
34.5	50.1
35.5	52.4
36.5	54.6
37.5	56.8
38.7	59
40	61
41.2	63.1
42.5	65
43.7	66.9
45	68.7
46.2	70.5
47.5	72.2
48.7	73.9
50	75.5
51.5	77.1
53	78.6
54.5	80.1
56	81.5
58	82.8
60	84.1
61.5	85.3
63	86.3
65	87.3
67	88.2
69	89
71	89.7
73	90.3
75	90.9
77.5	91.4
80	91.9
82.5	92.3
85	92.7
87.5	93
90	93.3
92.5	93.5
95	93.7
97.5	93.8
100	93.8
103	93.8
106	93.7
109	93.5
112	93.4
115	93.3
118	93.2
122	93.1
125	93.1
128	93.2
132	93.3
136	93.5
140	93.6
145	93.8
150	93.8
155	93.8
160	93.6
165	93.3
170	92.9
175	92.4
180	91.9
185	91.3
190	90.8
195	90.3
200	89.9
206	89.6
212	89.3
218	89.1
224	89
230	88.8
236	88.6
240	88.4
250	88
258	87.5
265	86.9
272	86.3
280	85.6
290	85
300	84.3
307	83.8
315	83.3
325	83
335	82.8
345	82.6
355	82.4
365	82.2
375	81.9
387	81.5
400	80.9
412	80.2
425	79.3
437	78.3
450	77.3
462	76.3
475	75.4
487	74.6
500	74
515	73.7
530	73.6
545	73.7
560	74
580	74.4
600	75
615	75.6
630	76.4
650	77.2
670	77.9
690	78.7
710	79.3
730	79.8
750	80.1
775	80.1
800	79.9
825	79.3
850	78.4
875	77.5
900	76.4
925	75.4
950	74.5
975	73.9
1000	73.6
1030	73.6
1060	74
1090	74.6
1120	75.4
1150	76.3
1180	77.1
1220	77.7
1250	78.2
1280	78.4
1320	78.3
1360	78
1400	77.5
1450	76.9
1500	76.2
1550	75.5
1600	74.8
1650	74.1
1700	73.5
1750	72.9
1800	72.4
1850	71.9
1900	71.5
1950	71.2
2000	70.9
2060	70.7
2120	70.5
2180	70.3
2240	70.2
2300	70
2360	69.9
2400	69.7
2500	69.5
2580	69.2
2650	68.9
2720	68.6
2800	68.3
2900	68
3000	67.8
3070	67.7
3150	67.6
3250	67.7
3350	67.9
3450	68.1
3550	68.3
3650	68.6
3750	68.8
3870	69
4000	69.2
4120	69.2
4250	69.2
4370	69.1
4500	68.9
4620	68.6
4750	68.4
4870	68
5000	67.6
5150	67.2
5300	66.8
5450	66.3
5600	65.8
5800	65.4
6000	64.9
6150	64.4
6300	64
6500	63.6
6700	63.2
6900	62.8
7100	62.4
7300	62
7500	61.7
7750	61.4
8000	61
8250	60.7
8500	60.3
8750	60
9000	59.6
9250	59.3
9500	58.9
9750	58.4
10000	58
10300	57.5
10600	57
10900	56.4
11200	55.8
11500	55.1
11800	54.4
12200	53.7
12500	52.8
12800	52
13200	51
13600	50
14000	49
14500	48
15000	47
15500	46
16000	45.1
16500	44.2
17000	43.4
17500	42.6
18000	41.7
18500	40.9
19000	40.1
19500	39.3
20000	38.4
20600	37.4
21200	36.5
21800	35.5
22400	34.6
