Frequency Spectrum for Input Signal

Data Shown:    X SERIES X15 HiQ (L-ACOUSTICS)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 0°  Par: 110°

Freq [Hz]	Signal Level [dBSPL]
22.4	33.5
23	35.3
23.6	37.1
24	38.9
25	40.7
25.8	42.5
26.5	44.3
27.2	46.1
28	47.8
29	49.6
30	51.3
30.7	53
31.5	54.7
32.5	56.4
33.5	58
34.5	59.7
35.5	61.3
36.5	63
37.5	64.7
38.7	66.5
40	68.3
41.2	70.2
42.5	72.1
43.7	74
45	75.9
46.2	77.7
47.5	79.5
48.7	81.2
50	82.7
51.5	84
53	85.2
54.5	86.3
56	87.3
58	88.1
60	88.9
61.5	89.6
63	90.2
65	90.9
67	91.4
69	92
71	92.5
73	93
75	93.4
77.5	93.9
80	94.3
82.5	94.8
85	95.2
87.5	95.5
90	95.9
92.5	96.1
95	96.3
97.5	96.5
100	96.5
103	96.4
106	96.3
109	96.1
112	95.9
115	95.7
118	95.5
122	95.4
125	95.3
128	95.3
132	95.3
136	95.4
140	95.5
145	95.6
150	95.6
155	95.5
160	95.3
165	94.9
170	94.4
175	93.8
180	93.2
185	92.6
190	91.9
195	91.4
200	90.9
206	90.5
212	90.3
218	90.1
224	90
230	89.9
236	89.8
240	89.7
250	89.5
258	89.3
265	89
272	88.6
280	88.2
290	87.7
300	87.2
307	86.6
315	86
325	85.4
335	84.8
345	84.2
355	83.6
365	83
375	82.5
387	82
400	81.6
412	81.3
425	81
437	80.9
450	80.8
462	80.8
475	81
487	81.2
500	81.5
515	81.9
530	82.3
545	82.8
560	83.1
580	83.3
600	83.3
615	83
630	82.4
650	81.5
670	80.2
690	78.8
710	77.2
730	75.6
750	74.1
775	72.8
800	71.7
825	71
850	70.5
875	70.3
900	70.4
925	70.5
950	70.9
975	71.2
1000	71.6
1030	72
1060	72.4
1090	72.7
1120	73.1
1150	73.4
1180	73.8
1220	74.2
1250	74.6
1280	75
1320	75.4
1360	75.8
1400	76.1
1450	76.4
1500	76.5
1550	76.5
1600	76.3
1650	76
1700	75.5
1750	74.9
1800	74.3
1850	73.8
1900	73.4
1950	73.1
2000	73.1
2060	73.3
2120	73.7
2180	74.3
2240	75
2300	75.6
2360	76.2
2400	76.7
2500	76.9
2580	76.9
2650	76.7
2720	76.3
2800	75.8
2900	75.1
3000	74.4
3070	73.8
3150	73.1
3250	72.5
3350	72.1
3450	71.7
3550	71.4
3650	71.2
3750	71.1
3870	71.2
4000	71.3
4120	71.5
4250	71.8
4370	72.1
4500	72.4
4620	72.6
4750	72.6
4870	72.4
5000	72
5150	71.4
5300	70.5
5450	69.4
5600	68.3
5800	67.1
6000	65.9
6150	64.9
6300	64
6500	63.4
6700	63
6900	62.8
7100	62.7
7300	62.7
7500	62.8
7750	63
8000	63.2
8250	63.3
8500	63.4
8750	63.6
9000	63.6
9250	63.6
9500	63.5
9750	63.3
10000	63
10300	62.6
10600	62.1
10900	61.5
11200	60.9
11500	60.2
11800	59.5
12200	58.9
12500	58.3
12800	57.8
13200	57.3
13600	56.8
14000	56.2
14500	55.5
15000	54.6
15500	53.7
16000	52.5
16500	51.1
17000	49.5
17500	47.8
18000	45.9
18500	43.9
19000	41.8
19500	39.7
20000	37.7
20600	35.7
21200	33.7
21800	31.7
22400	29.8
