Frequency Spectrum for Input Signal

Data Shown:    DDQ Series (LD Systems)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 110°

Freq [Hz]	Signal Level [dBSPL]
22.4	63.6
23	65.3
23.6	67
24	69.5
25	71.4
25.8	72.9
26.5	74.3
27.2	76.3
28	78.3
29	79.9
30	81.4
30.7	82.7
31.5	84.2
32.5	85.4
33.5	86.3
34.5	87.2
35.5	88
36.5	88.8
37.5	89.5
38.7	90.2
40	90.7
41.2	91.2
42.5	91.7
43.7	92.2
45	92.7
46.2	92.6
47.5	92.3
48.7	92.6
50	92.8
51.5	92.6
53	92.4
54.5	92.1
56	91.8
58	91.7
60	91.7
61.5	91.6
63	91.4
65	91.3
67	91.1
69	90.9
71	90.8
73	91
75	91.5
77.5	91.8
80	91.9
82.5	92.1
85	92.3
87.5	92.4
90	92.2
92.5	91.9
95	91.7
97.5	91.6
100	91.6
103	92
106	92.2
109	92.2
112	92.2
115	92.2
118	92.1
122	91.8
125	91.9
128	92.2
132	92.4
136	92.5
140	92.4
145	92.1
150	91.7
155	91.5
160	91.6
165	91.6
170	91.5
175	91.3
180	91.1
185	90.7
190	90.2
195	89.6
200	89
206	88.4
212	87.7
218	87.2
224	87.1
230	87.4
236	87.7
240	87.8
250	87.7
258	87.3
265	87
272	86.6
280	86.1
290	86.3
300	86.6
307	86.9
315	88.3
325	89.4
335	89
345	88.1
355	86.9
365	86.2
375	86.7
387	86.1
400	84.9
412	84.5
425	85
437	86.5
450	86.7
462	86.6
475	86.2
487	86.2
500	85.7
515	85.3
530	85.1
545	85.2
560	83.9
580	83.1
600	83.1
615	82.3
630	82.8
650	83.5
670	84.2
690	83
710	81.8
730	81.4
750	79.7
775	79.8
800	82.4
825	82.1
850	81.7
875	80.8
900	81
925	81.6
950	82.1
975	79.2
1000	75.3
1030	73.9
1060	72.3
1090	68.9
1120	59.1
1150	71.8
1180	67.3
1220	72.3
1250	76
1280	77.1
1320	71
1360	70.9
1400	72.4
1450	71.8
1500	73.4
1550	71.2
1600	71.8
1650	72.7
1700	73.1
1750	75.6
1800	78.2
1850	76.6
1900	76.4
1950	73.9
2000	75
2060	75.5
2120	75.1
2180	72.4
2240	67.6
2300	72.4
2360	69.8
2400	73.3
2500	74.5
2580	71.9
2650	75.2
2720	75.5
2800	75.4
2900	75.4
3000	73.5
3070	71.6
3150	73.6
3250	72.8
3350	70.9
3450	72.1
3550	76
3650	76.3
3750	75.5
3870	73
4000	71.8
4120	72.9
4250	72.1
4370	71.5
4500	71.7
4620	72.4
4750	72.2
4870	70
5000	68.1
5150	67.9
5300	68.4
5450	69.1
5600	71.3
5800	72.3
6000	71.2
6150	70
6300	69.6
6500	70.4
6700	69.8
6900	72.4
7100	72.2
7300	71
7500	68.5
7750	68
8000	68.7
8250	69.8
8500	68.5
8750	64.2
9000	64.8
9250	68
9500	67.4
9750	65.4
10000	65.6
10300	65.2
10600	61.7
10900	58.4
11200	61.3
11500	63.6
11800	62.2
12200	59.4
12500	54.9
12800	57.1
13200	57.5
13600	57.3
14000	52.7
14500	53.8
15000	53.4
15500	55.2
16000	54.4
16500	46.2
17000	48.5
17500	51.6
18000	49.3
18500	48.7
19000	48.5
19500	46.6
20000	43.1
20600	46
21200	44.4
21800	45.5
22400	42.5
