Frequency Spectrum for Input Signal

Data Shown:    DDQ Series (LD Systems)
Display Parameters:   Frequency: 1000Hz (1/24th Octave)   Mer: 180°  Par: 100°  

Freq [Hz]	Signal Level [dBSPL]
22.4	37.8
23	39.3
23.6	40.7
24	42.2
25	43.5
25.8	44.7
26.5	45.8
27.2	47.1
28	48.7
29	50.1
30	51.7
30.7	53.8
31.5	55.9
32.5	58.2
33.5	61.6
34.5	64.1
35.5	66.1
36.5	68.5
37.5	71.6
38.7	75.9
40	74.1
41.2	72.7
42.5	74.8
43.7	80.3
45	90
46.2	86.2
47.5	81.2
48.7	77.7
50	78
51.5	79.6
53	80.9
54.5	81.9
56	82.9
58	83.9
60	85.2
61.5	86.8
63	88.1
65	89.2
67	90.2
69	91.4
71	92.7
73	93.7
75	94.5
77.5	94.9
80	95
82.5	95.1
85	95.4
87.5	95.5
90	95.4
92.5	95.3
95	95.3
97.5	95.2
100	95.2
103	95.3
106	95.3
109	95.2
112	95
115	94.6
118	94.5
122	94.3
125	94.1
128	93.9
132	93.7
136	93.6
140	93.5
145	93.2
150	93.1
155	92.8
160	92.8
165	92.7
170	92.6
175	92.4
180	92.2
185	91.8
190	91.3
195	90.8
200	90.2
206	89.4
212	88.8
218	88.3
224	88
230	88.1
236	88.3
240	88.4
250	88.8
258	89.3
265	90
272	91
280	91.9
290	91.9
300	90.6
307	90.1
315	91.3
325	91.2
335	91.3
345	91.8
355	90.2
365	88.4
375	87.8
387	87
400	85.7
412	85.1
425	86.4
437	87.5
450	88.2
462	88.2
475	88
487	88.2
500	88.4
515	88.5
530	88.4
545	88.3
560	87
580	85.8
600	86
615	86.2
630	86.1
650	85.9
670	86.3
690	86.5
710	85.3
730	84.3
750	81.5
775	77.8
800	77.3
825	74.8
850	77.5
875	80.1
900	78.2
925	78.2
950	80.9
975	80.6
1000	79.7
1030	78.6
1060	73.6
1090	75.5
1120	76.9
1150	79.5
1180	77.6
1220	75.5
1250	76
1280	78.6
1320	79.2
1360	79.4
1400	78.2
1450	78.6
1500	79.5
1550	76.6
1600	79
1650	80.3
1700	80.6
1750	79.3
1800	79
1850	76.9
1900	76.2
1950	77.3
2000	79.9
2060	80.7
2120	76.2
2180	78.9
2240	80.9
2300	81.5
2360	80.3
2400	81.3
2500	80.8
2580	78.3
2650	78.3
2720	80.5
2800	82.5
2900	82.1
3000	79.6
3070	78.8
3150	81
3250	81.5
3350	77.6
3450	75.9
3550	78.2
3650	77.2
3750	73.7
3870	73.7
4000	75.6
4120	75.3
4250	73.1
4370	73.9
4500	76.4
4620	71.5
4750	76.6
4870	76.7
5000	73.2
5150	74.8
5300	70.8
5450	72.6
5600	73.2
5800	70.7
6000	74
6150	71.2
6300	76.2
6500	73.6
6700	76.5
6900	72.9
7100	73.9
7300	71.9
7500	73.6
7750	70.1
8000	71.5
8250	74.6
8500	75.4
8750	74.7
9000	70.6
9250	69.6
9500	67
9750	66.3
10000	67.6
10300	67.4
10600	67.4
10900	66.9
11200	65.3
11500	63.3
11800	59.3
12200	60.8
12500	61.9
12800	58.8
13200	60.1
13600	59.8
14000	58.8
14500	56.5
15000	48.8
15500	58.5
16000	59.1
16500	56.2
17000	51
17500	55.6
18000	59.4
18500	61.1
19000	60.5
19500	59.2
20000	47
20600	48.1
21200	49.4
21800	44.1
22400	45.3
